Entity ID,Entity Name,Plant ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Planned Operation Month,Planned Operation Year,Status,Latitude,Longitude
67114,Santa Teresa Solar,68866,Santa Teresa Solar,Map,Map,NM,Dona Ana,EPE,IPP Non-CHP,STS,,150,150,150,Solar Photovoltaic,SUN,PV,6,2026,"(V) Under construction, more than 50 percent complete",31.805525,-106.6989
67162,"Ferdinand Grid, LLC",68915,Ferdinand Energy Center,Map,Map,TX,Bexar,ERCO,IPP Non-CHP,1,,200,200,200,Batteries,MWH,BA,6,2026,"(V) Under construction, more than 50 percent complete",29.34836,-98.57653
65654,Birch Creek Development,68926,"Blue Jay Road Solar, LLC",Map,Map,MO,Ralls,MISO,IPP Non-CHP,BLUEJ,,60,60,60,Solar Photovoltaic,SUN,PV,6,2026,"(U) Under construction, less than or equal to 50 percent complete",39.380782,-91.53206
67183,Moseley Hermon Solar,68971,Moseley Hermon Solar,Map,Map,VA,Chesterfield,PJM,IPP Non-CHP,39302,,5,5,4.8,Solar Photovoltaic,SUN,PV,6,2026,"(U) Under construction, less than or equal to 50 percent complete",37.46754,-77.73352
67185,Ridge Farm Renewables LLC PV,68973,Ridge Farm Renewables LLC PV,Map,Map,IL,Vermilion,MISO,IPP Non-CHP,13359,,4,4,3.8,Solar Photovoltaic,SUN,PV,6,2026,"(U) Under construction, less than or equal to 50 percent complete",39.891889,-87.6647
20323,"Wellhead Services, Inc",69030,North Johnson Energy Center,Map,Map,CA,San Diego,CISO,Industrial Non-CHP,BESS1,,50,50,50,Batteries,MWH,BA,6,2026,"(U) Under construction, less than or equal to 50 percent complete",32.796106,-116.9721
17650,Southern Power Co,69101,Millers Branch Solar,Map,Map,TX,Haskell,ERCO,IPP Non-CHP,MLB02,,180,180,180,Solar Photovoltaic,SUN,PV,6,2026,"(U) Under construction, less than or equal to 50 percent complete",33.22132,-99.58652
67271,Duff Solar Park LLC,69156,Duff Solar Park,Map,Map,IN,Dubois,MISO,IPP Non-CHP,GEN01,,100,100,100,Solar Photovoltaic,SUN,PV,6,2026,"(U) Under construction, less than or equal to 50 percent complete",38.31341,-87.02063
61194,Generate Capital,69178,Cherry Solar 1,Map,Map,IL,Bureau,MISO,IPP Non-CHP,11237,,5,5,5,Solar Photovoltaic,SUN,PV,6,2026,"(U) Under construction, less than or equal to 50 percent complete",41.450314,-89.22483
61194,Generate Capital,69181,Hillview,Map,Map,NY,Warren,NYIS,IPP Non-CHP,11150,,5,5,5,Solar Photovoltaic,SUN,PV,6,2026,"(U) Under construction, less than or equal to 50 percent complete",43.29864,-73.56023
5416,"Duke Energy Carolinas, LLC",69195,Longtown Energy Storage,Map,Map,SC,Fairfield,DUK,Electric Utility,LONTB,,4.5,4.5,4.5,Batteries,MWH,BA,6,2026,"(U) Under construction, less than or equal to 50 percent complete",34.416433,-80.86814
5416,"Duke Energy Carolinas, LLC",69196,Nebo Energy Storage,Map,Map,NC,Burke,DUK,Electric Utility,NEBOB,,2.7,2.7,2.7,Batteries,MWH,BA,6,2026,"(U) Under construction, less than or equal to 50 percent complete",35.791718,-81.85104
61194,Generate Capital,69204,Little Creek,Map,Map,IL,McDonough,MISO,IPP Non-CHP,11241,,4,4,4,Solar Photovoltaic,SUN,PV,6,2026,"(U) Under construction, less than or equal to 50 percent complete",40.564286,-90.88035
67365,RE Desert Bloom LLC,69290,Desert Bloom,Map,Map,AZ,Maricopa,DOPD,IPP Non-CHP,DSBLM,,150,150,150,Batteries,MWH,BA,6,2026,"(V) Under construction, more than 50 percent complete",33.70299,-112.3219
67408,Regis Medina Lake LLC,69341,Regis Medina Lake,Map,Map,TX,Bandera,ERCO,IPP Non-CHP,MEDLA,,9.9,9.9,9.9,Batteries,MWH,BA,6,2026,"(TS) Construction complete, but not yet in commercial operation",29.612674,-98.93509
67434,Mallory South PV II LLC,69384,Mallory South PV II,Map,Map,NY,Oswego,NYIS,IPP Non-CHP,MALL2,,5,5,5,Solar Photovoltaic,SUN,PV,6,2026,"(V) Under construction, more than 50 percent complete",43.2669,-76.137
5416,"Duke Energy Carolinas, LLC",69404,Craggy Energy Storage,Map,Map,NC,Buncombe,CPLW,Electric Utility,CRAGB,,30.5,30.5,30.5,Batteries,MWH,BA,6,2026,"(U) Under construction, less than or equal to 50 percent complete",35.641793,-82.60868
56990,NJR Clean Energy Ventures Corporation,69515,Mansfield Landfill,Map,Map,CT,Tolland,ISNE,IPP Non-CHP,MNSFL,,1.8,1.8,1.8,Solar Photovoltaic,SUN,PV,6,2026,"(U) Under construction, less than or equal to 50 percent complete",41.78,-72.19
67503,Archtop Property Management LLC,69521,Archtop Solar,Map,Map,IL,Ford,MISO,IPP Non-CHP,ARCH1,,61.4,61.4,61.4,Solar Photovoltaic,SUN,PV,6,2026,"(V) Under construction, more than 50 percent complete",40.469348,-88.40313
67503,Archtop Property Management LLC,69521,Archtop Solar,Map,Map,IL,Ford,MISO,IPP Non-CHP,ARCH5,,49.2,49.2,49.2,Solar Photovoltaic,SUN,PV,6,2026,"(V) Under construction, more than 50 percent complete",40.469348,-88.40313
67503,Archtop Property Management LLC,69521,Archtop Solar,Map,Map,IL,Ford,MISO,IPP Non-CHP,ARCH6,,61.4,61.4,61.4,Solar Photovoltaic,SUN,PV,6,2026,"(V) Under construction, more than 50 percent complete",40.469348,-88.40313
67510,"Catalyze National City Terminal Avenue Microgrid, LLC",69533,CA National City Terminal Ave,Map,Map,CA,San Diego,CISO,IPP Non-CHP,21938,,1.1,1.1,1.1,Solar Photovoltaic,SUN,PV,6,2026,"(U) Under construction, less than or equal to 50 percent complete",32.654,-117.119
67524,Minneola Solar,69562,Minneola Solar,Map,Map,CA,San Bernardino,CISO,IPP Non-CHP,MINNE,,3,3,3,Solar Photovoltaic,SUN,PV,6,2026,"(U) Under construction, less than or equal to 50 percent complete",34.846914,-116.7698
67558,"Greater Bryant G Solar, LLC",69628,GBG SOLAR,Map,Map,TX,Midland,ERCO,Industrial Non-CHP,GBPV1,,22.2,17.7,17.7,Solar Photovoltaic,SUN,PV,6,2026,"(TS) Construction complete, but not yet in commercial operation",31.92835,-102.1617
62759,Geronimo Power,69647,"Jackson County Solar, LLC",Map,Map,MI,Calhoun,MISO,IPP Non-CHP,JCKSN,,125,125,125,Solar Photovoltaic,SUN,PV,6,2026,"(V) Under construction, more than 50 percent complete",42.281921,-84.65668
9418,City of Iola - (KS),1291,Iola,Map,Map,KS,Allen,SWPP,Electric Utility,17,,2,2,2,Petroleum Liquids,DFO,IC,7,2026,"(P) Planned for installation, but regulatory approvals not initiated",37.923076,-95.42557
9418,City of Iola - (KS),1291,Iola,Map,Map,KS,Allen,SWPP,Electric Utility,18,,2,2,2,Petroleum Liquids,DFO,IC,7,2026,"(P) Planned for installation, but regulatory approvals not initiated",37.923076,-95.42557
9418,City of Iola - (KS),1291,Iola,Map,Map,KS,Allen,SWPP,Electric Utility,19,,2,2,2,Petroleum Liquids,DFO,IC,7,2026,"(P) Planned for installation, but regulatory approvals not initiated",37.923076,-95.42557
9418,City of Iola - (KS),1291,Iola,Map,Map,KS,Allen,SWPP,Electric Utility,20,,2,2,2,Petroleum Liquids,DFO,IC,7,2026,"(P) Planned for installation, but regulatory approvals not initiated",37.923076,-95.42557
63527,"Westlands Cherry, LLC",63850,Cherry,Map,Map,CA,Kings,CISO,IPP Non-CHP,BESS2,,110,110,110,Batteries,MWH,BA,7,2026,(T) Regulatory approvals received. Not under construction,36.122457,-119.9232
63527,"Westlands Cherry, LLC",63850,Cherry,Map,Map,CA,Kings,CISO,IPP Non-CHP,CHERY,,249.7,249.7,249.7,Solar Photovoltaic,SUN,PV,7,2026,(T) Regulatory approvals received. Not under construction,36.122457,-119.9232
17609,Southern California Edison Co,65458,Anode (Springville) BESS,Map,Map,CA,Tulare,CISO,Electric Utility,ANOD1,,112.5,112.5,112.5,Batteries,MWH,BA,7,2026,"(TS) Construction complete, but not yet in commercial operation",36.107903,-118.9409
17609,Southern California Edison Co,65458,Anode (Springville) BESS,Map,Map,CA,Tulare,CISO,Electric Utility,ANOD2,,112.5,112.5,112.5,Batteries,MWH,BA,7,2026,"(TS) Construction complete, but not yet in commercial operation",36.107903,-118.9409
61060,Cypress Creek Renewables,66384,"Ostrea Solar, LLC",Map,Map,WA,Yakima,BPAT,IPP Non-CHP,GEN1,,80,80,80,Solar Photovoltaic,SUN,PV,7,2026,"(V) Under construction, more than 50 percent complete",46.52884,-119.9792
65823,"Myrtle Solar, LLC",66910,"Myrtle Solar, LLC",Map,Map,TX,Brazoria,ERCO,IPP Non-CHP,MYR,,313,313,313,Solar Photovoltaic,SUN,PV,7,2026,"(TS) Construction complete, but not yet in commercial operation",29.228486,-95.42744
66002,"Pastoria Solar Energy Company, LLC",67105,Pastoria Solar,Map,Map,CA,Kern,CISO,IPP Non-CHP,GEN1,,80,80,80,Batteries,MWH,BA,7,2026,"(U) Under construction, less than or equal to 50 percent complete",34.955231,-118.8642
66211,"Cherrywood Solar, LLC",67444,Cherrywood Solar I,Map,Map,MD,Caroline,PJM,IPP Non-CHP,6794,,145,145,145,Solar Photovoltaic,SUN,PV,7,2026,"(U) Under construction, less than or equal to 50 percent complete",39.007849,-75.78297
66449,"Potter Solar, LLC",67876,Potter Solar,Map,Map,PA,Potter,PJM,IPP Non-CHP,ENX35,,35,35,35,Solar Photovoltaic,SUN,PV,7,2026,"(U) Under construction, less than or equal to 50 percent complete",41.837559,-78.04845
61950,Terra-Gen Operating Co-Solar,68045,"Desert Breeze Solar, LLC",Map,Map,CA,San Bernardino,CISO,IPP Non-CHP,LOC3,,125,125,125,Solar Photovoltaic,SUN,PV,7,2026,"(V) Under construction, more than 50 percent complete",35.037778,-117.3472
66579,Cape HoldCo LLC,68068,Cape Generating Station,Map,Map,UT,Beaver,LDWP,IPP Non-CHP,CP1G1,,53,28,31,Geothermal,GEO,BT,7,2026,"(U) Under construction, less than or equal to 50 percent complete",38.504443,-112.9212
65869,Prologis Logistics Services Incorporated,68120,Bensenville 13-SLCHI513,Map,Map,IL,DuPage,PJM,IPP Non-CHP,CH513,,1.4,1.4,1.4,Solar Photovoltaic,SUN,PV,7,2026,"(U) Under construction, less than or equal to 50 percent complete",41.987884,-87.95258
65869,Prologis Logistics Services Incorporated,68122,Bensenville 2-SLCHI526,Map,Map,IL,DuPage,PJM,IPP Non-CHP,CH526,,1.9,1.9,1.9,Solar Photovoltaic,SUN,PV,7,2026,"(U) Under construction, less than or equal to 50 percent complete",41.971289,-87.95462
65869,Prologis Logistics Services Incorporated,68137,Glendale Heights 10-SLCHI910,Map,Map,IL,DuPage,PJM,IPP Non-CHP,CH910,,1.3,1.3,1.3,Solar Photovoltaic,SUN,PV,7,2026,"(U) Under construction, less than or equal to 50 percent complete",41.929422,-88.07008
66607,"Belltown Power Texas 2, LLC",68166,Dolomite Storage,Map,Map,TX,Ellis,ERCO,IPP Non-CHP,DOLBA,,125.7,125.7,125.7,Batteries,MWH,BA,7,2026,(L) Regulatory approvals pending. Not under construction,32.456144,-96.73774
66667,"SR Sequatchie, LLC",68254,SR Sequatchie,Map,Map,TN,Sequatchie,TVA,IPP Non-CHP,SEQUA,,8,8,8,Solar Photovoltaic,SUN,PV,7,2026,"(U) Under construction, less than or equal to 50 percent complete",35.412666,-85.3278
67225,"Canyon Peak Power, LLC",68741,Canyon Peak Power Station,Map,Map,CO,Arapahoe,WACM,IPP Non-CHP,CPP_3,,26.1,22.2,27.6,Natural Gas Fired Combustion Turbine,NG,GT,7,2026,"(U) Under construction, less than or equal to 50 percent complete",39.622946,-104.4508
67225,"Canyon Peak Power, LLC",68741,Canyon Peak Power Station,Map,Map,CO,Arapahoe,WACM,IPP Non-CHP,CPP_4,,26.1,22.2,27.6,Natural Gas Fired Combustion Turbine,NG,GT,7,2026,"(U) Under construction, less than or equal to 50 percent complete",39.622946,-104.4508
67083,"1000 Mile Solar, LLC",68847,1000 Mile Solar,Map,Map,TX,Yoakum,SWPP,IPP Non-CHP,PV1,,300,300,300,Solar Photovoltaic,SUN,PV,7,2026,"(V) Under construction, more than 50 percent complete",33.02248,-102.7089
67160,Padua 3,68914,Padua 3,Map,Map,TX,Bexar,ERCO,IPP Non-CHP,12343,,200,200,200,Batteries,MWH,BA,7,2026,"(V) Under construction, more than 50 percent complete",29.325064,-98.32562
67179,"Border Basin, LLC",68968,Border Basin Solar,Map,Map,OH,Hancock,PJM,IPP Non-CHP,ENX37,,120,120,120,Solar Photovoltaic,SUN,PV,7,2026,"(U) Under construction, less than or equal to 50 percent complete",41.107431,-83.5722
67182,Ho-Fel Solar LLC,68970,Ho-Fel Solar,Map,Map,VA,Isle of Wight,PJM,IPP Non-CHP,HOFEL,,50.2,50.2,50.2,Solar Photovoltaic,SUN,PV,7,2026,(T) Regulatory approvals received. Not under construction,36.673032,-76.88201
58509,"Affordable Solar Silver City, LLC",69105,SLO-2,Map,Map,NM,Sandoval,PNM,IPP Non-CHP,SLO-2,,5,5,5,Solar Photovoltaic,SUN,PV,7,2026,"(U) Under construction, less than or equal to 50 percent complete",35.363052,-106.631
61194,Generate Capital,69182,KA 340,Map,Map,IL,Kankakee,PJM,IPP Non-CHP,11225,,5,5,5,Solar Photovoltaic,SUN,PV,7,2026,"(U) Under construction, less than or equal to 50 percent complete",41.245,-87.753
61194,Generate Capital,69203,KN07,Map,Map,IL,Kane,PJM,IPP Non-CHP,11227,,5,5,5,Solar Photovoltaic,SUN,PV,7,2026,"(U) Under construction, less than or equal to 50 percent complete",41.87528,-88.42583
61194,Generate Capital,69207,Osman Trust,Map,Map,IL,McHenry,PJM,IPP Non-CHP,11215,,4.5,4.5,4.5,Solar Photovoltaic,SUN,PV,7,2026,"(U) Under construction, less than or equal to 50 percent complete",42.267124,-88.45245
61194,Generate Capital,69217,Thoroman,Map,Map,IL,Adams,MISO,IPP Non-CHP,11219,,2.5,2.5,2.5,Solar Photovoltaic,SUN,PV,7,2026,"(U) Under construction, less than or equal to 50 percent complete",40.029221,-90.93622
67035,Prologis Logistics Services Incorporated BESS,69246,BESS TX Camarine - BSHOU001,Map,Map,TX,Harris,ERCO,IPP Non-CHP,BSOU1,,9.9,9.9,9.9,Batteries,MWH,BA,7,2026,"(U) Under construction, less than or equal to 50 percent complete",29.86648,-95.43066
67356,"RPC Merchant, LLC",69268,Coyanosa Gas,Map,Map,TX,Pecos,ERCO,IPP Non-CHP,COYA1,,2.5,2.5,2.5,Natural Gas Internal Combustion Engine,NG,IC,7,2026,"(V) Under construction, more than 50 percent complete",31.275177,-103.1126
67356,"RPC Merchant, LLC",69268,Coyanosa Gas,Map,Map,TX,Pecos,ERCO,IPP Non-CHP,COYA2,,2.5,2.5,2.5,Natural Gas Internal Combustion Engine,NG,IC,7,2026,"(V) Under construction, more than 50 percent complete",31.275177,-103.1126
67356,"RPC Merchant, LLC",69268,Coyanosa Gas,Map,Map,TX,Pecos,ERCO,IPP Non-CHP,COYA3,,2.5,2.5,2.5,Natural Gas Internal Combustion Engine,NG,IC,7,2026,"(V) Under construction, more than 50 percent complete",31.275177,-103.1126
67356,"RPC Merchant, LLC",69268,Coyanosa Gas,Map,Map,TX,Pecos,ERCO,IPP Non-CHP,COYA4,,2.5,2.5,2.5,Natural Gas Internal Combustion Engine,NG,IC,7,2026,"(V) Under construction, more than 50 percent complete",31.275177,-103.1126
67433,Mallory South PV I LLC,69383,Mallory South PV I,Map,Map,NY,Oswego,NYIS,IPP Non-CHP,MALL1,,5,5,5,Solar Photovoltaic,SUN,PV,7,2026,"(V) Under construction, more than 50 percent complete",43.2669,-76.137
67463,Barton Branch IA LLC,69392,Barton Branch IA,Map,Map,TX,Robertson,ERCO,IPP Non-CHP,BBIA,,200,200,200,Batteries,MWH,BA,7,2026,"(U) Under construction, less than or equal to 50 percent complete",31.103064,-96.66494
49893,Invenergy Services LLC,69478,Lazbuddie Wind Energy LLC,Map,Map,TX,Parmer,SWPP,IPP Non-CHP,LZBDE,,265,265,265,Onshore Wind Turbine,WND,WT,7,2026,"(V) Under construction, more than 50 percent complete",34.5589,-102.6826
67495,New Hickory Solar LLC,69507,New Hickory Solar,Map,Map,TX,Jackson,ERCO,IPP Non-CHP,NHKRY,,206,206,206,Solar Photovoltaic,SUN,PV,7,2026,"(V) Under construction, more than 50 percent complete",29.069747,-96.8782
67500,BT Amador Storage LLC,69520,Amador BESS,Map,Map,TX,Van Zandt,ERCO,IPP Non-CHP,AMDRB,,220,220,220,Batteries,MWH,BA,7,2026,"(V) Under construction, more than 50 percent complete",32.479347,-96.0321
65869,Prologis Logistics Services Incorporated,69609,San Leandro 10 - sleba702,Map,Map,CA,Alameda,CISO,IPP Non-CHP,EB702,,1,1,1,Solar Photovoltaic,SUN,PV,7,2026,"(U) Under construction, less than or equal to 50 percent complete",37.71422,-122.182
