Entity ID,Plant Name,Google Map,Bing Map,Plant State,County,Balancing Authority Code,Sector,Generator ID,Unit Code,Nameplate Capacity (MW),Net Summer Capacity (MW),Net Winter Capacity (MW),Technology,Energy Source Code,Prime Mover Code,Operating Month,Operating Year
59458,Sarasota County LFGTE Facility,Map,Map,FL,Sarasota,FPL,IPP Non-CHP,LESF2,,1.6,1.6,1.6,Landfill Gas,LFG,IC,2,2015
59458,Sarasota County LFGTE Facility,Map,Map,FL,Sarasota,FPL,IPP Non-CHP,LESF3,,1.6,1.6,1.6,Landfill Gas,LFG,IC,2,2015
59458,Sarasota County LFGTE Facility,Map,Map,FL,Sarasota,FPL,IPP Non-CHP,LESF4,,1.6,1.6,1.6,Landfill Gas,LFG,IC,11,2019
60281,Sun Harvest Solar NDP1,Map,Map,CA,Merced,CISO,IPP Non-CHP,NDP1,,1.5,1.5,1.5,Solar Photovoltaic,SUN,PV,5,2015
61230,Gulf Coast Solar Center I,Map,Map,FL,Okaloosa,SOCO,IPP Non-CHP,GCSC1,,30.0,30.0,30.0,Solar Photovoltaic,SUN,PV,6,2017
61230,Gulf Coast Solar Center II,Map,Map,FL,Santa Rosa,SOCO,IPP Non-CHP,GCSC2,,40.0,40.0,40.0,Solar Photovoltaic,SUN,PV,11,2017
61230,Gulf Coast Solar Center III,Map,Map,FL,Escambia,SOCO,IPP Non-CHP,GCSC3,,50.0,50.0,50.0,Solar Photovoltaic,SUN,PV,11,2017
59463,NBC Field's Point Wind Farm,Map,Map,RI,Providence,ISNE,Commercial Non-CHP,FPWTG,,4.5,4.5,4.5,Onshore Wind Turbine,WND,WT,10,2012
19876,Coastal Virginia Offshore Wind (CVOW) Pilot Project,Map,Map,VA,Virginia Beach,PJM,Electric Utility,OSW1,,12.0,12.0,12.0,Offshore Wind Turbine,WND,WS,1,2021
61119,"Aspen Solar, LLC",Map,Map,NC,Duplin,DUK,IPP Non-CHP,GEN1,,5.0,4.9,4.9,Solar Photovoltaic,SUN,PV,11,2015
60531,"Mt. Home Solar 1, LLC",Map,Map,ID,Elmore,IPCO,IPP Non-CHP,MHPV1,,20.0,20.0,20.0,Solar Photovoltaic,SUN,PV,3,2017
4180,Subase Microgrid Project,Map,Map,CT,New London,ISNE,Electric Utility,SFC1,,3.7,3.7,3.7,Other Natural Gas,NG,FC,12,2022
4180,Subase Microgrid Project,Map,Map,CT,New London,ISNE,Electric Utility,SFC2,,3.7,3.7,3.7,Other Natural Gas,NG,FC,12,2022
60453,"Pavant Solar, LLC",Map,Map,UT,Millard,PACE,IPP Non-CHP,1,,50.0,50.0,50.0,Solar Photovoltaic,SUN,PV,12,2015
60453,"Cottonwood Solar, LLC Cottonwood Carport",Map,Map,CA,Marin,CISO,IPP Non-CHP,1,,1.0,1.0,1.0,Solar Photovoltaic,SUN,PV,5,2016
61909,"Shell New Energies, Junction City",Map,Map,OR,Lane,BPAT,Industrial CHP,JCBIO,,1.6,1.6,1.6,Other Waste Biomass,OBG,GT,10,2011
65164,Steel Sun,Map,Map,NY,Erie,NYIS,IPP Non-CHP,SSUN2,,2.0,2.0,1.7,Solar Photovoltaic,SUN,PV,12,2016
61119,BRE,Map,Map,NC,Granville,DUK,IPP Non-CHP,NB005,,5.0,4.9,4.9,Solar Photovoltaic,SUN,PV,12,2015
61060,Franklinton Solar,Map,Map,NC,Franklin,CPLE,IPP Non-CHP,5MWPV,,5.0,5.0,5.0,Solar Photovoltaic,SUN,PV,3,2017
59483,St. Paul Intl Airport Red & Blue Parking,Map,Map,MN,Hennepin,MISO,IPP Non-CHP,PV1,,2.3,2.3,2.3,Solar Photovoltaic,SUN,PV,12,2015
59483,St. Paul Intl Airport Red & Blue Parking,Map,Map,MN,Hennepin,MISO,IPP Non-CHP,PV2,,0.9,0.9,0.9,Solar Photovoltaic,SUN,PV,12,2016
55858,Sand Valley Power Station,Map,Map,AL,Dekalb,TVA,IPP Non-CHP,GMA,,1.6,1.6,1.6,Landfill Gas,LFG,IC,11,2013
55858,Sand Valley Power Station,Map,Map,AL,Dekalb,TVA,IPP Non-CHP,GMB,,1.6,1.6,1.6,Landfill Gas,LFG,IC,11,2013
55858,Sand Valley Power Station,Map,Map,AL,Dekalb,TVA,IPP Non-CHP,GMC,,1.6,1.6,1.6,Landfill Gas,LFG,IC,11,2013
63199,"CII Methane Management IV, LLC",Map,Map,NC,Johnston,CPLE,IPP Non-CHP,GEN1,,1.6,1.5,1.5,Landfill Gas,LFG,IC,6,2014
57416,"San Roman Wind I, LLC",Map,Map,TX,Cameron,ERCO,IPP Non-CHP,SRWI,,95.3,95.3,95.3,Onshore Wind Turbine,WND,WT,2,2017
60496,Holdrege Solar Center,Map,Map,NE,Lancaster,SWPP,IPP Non-CHP,HDSC,,4.0,4.0,4.0,Solar Photovoltaic,SUN,PV,6,2016
57389,IKEA St. Louis 410,Map,Map,MO,St Louis City,MISO,Commercial Non-CHP,IK410,,1.0,1.0,1.0,Solar Photovoltaic,SUN,PV,9,2015
59287,DD Hay Road Solar 23 LLC,Map,Map,DE,New Castle,PJM,IPP Non-CHP,PV1,,1.2,1.2,1.2,Solar Photovoltaic,SUN,PV,5,2015
