Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Checkable deposts and currency,Time deposits and short-term investments,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Pension entitlements,Equity in noncorpoate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaind life insurance premiums,Net worth,Household count,Minimum Income Cutoff,Maximum Income Cutoff
1998:Q3,pct20to40,3017832,1289233,1003120,286113,1728599,43801,368582,60148,107883,76358,31525,12292,3637,8656,247486,45359,619262,189434,34352,420051,418829,247195,165135,1588,4911,1222,2597781,20514406,13866,26352
1998:Q3,pct00to20,1392736,682341,543572,138769,710394,18004,166475,22352,57463,39976,17487,16591,15673,918,72671,19252,209786,109885,17916,182038,181521,86430,90241,1072,3778,517,1210697,20501383,0,13854
1998:Q4,pct99to100,7761432,1246951,975706,271245,6514480,72177,279684,296046,880699,667629,213070,156229,141647,14582,2855734,67390,543624,1337976,24922,367375,367181,243002,23971,6670,93538,194,7394056,1028507,,
1998:Q4,pct80to99,18215030,5162623,4097936,1064687,13052407,207115,930289,377932,802720,592886,209834,134315,104479,29836,3799282,339662,4315471,2010721,134900,2485913,2477431,1865120,436028,17690,158593,8481,15729118,19542731,,
1998:Q4,pct60to80,7986187,2863194,2231520,631674,5122992,84307,471810,123745,224672,166664,58007,31729,10681,21049,880049,160521,2652472,413789,79898,1543636,1539247,1074665,413960,7064,43558,4389,6442550,20567449,,
1998:Q4,pct40to60,4642563,1822305,1387551,434753,2820258,58123,343801,54710,96362,84053,12308,33081,21172,11909,395270,86191,1416483,284099,52139,852524,849930,534736,302357,4303,8533,2595,3790039,20571010,,
1998:Q4,pct20to40,3069994,1297861,1002732,295129,1772133,42696,375810,59055,105428,74070,31358,8641,0,8641,268726,50560,646795,180771,33651,433393,431826,251727,172710,2104,5284,1568,2636601,20573446,,
1998:Q4,pct00to20,1376445,654192,517882,136310,722253,19565,173508,22105,54536,38233,16304,15578,14361,1217,85177,12660,215948,105706,17470,186060,186060,88192,92245,1516,4108,0,1190385,20560476,,
1999:Q1,pct99to100,7720234,1255636,978555,277082,6464597,72834,300652,320401,840022,622924,217099,156596,141099,15497,2796697,74725,562508,1316589,23573,374375,373299,248399,26158,6447,92295,1076,7345859,1031290,,
1999:Q1,pct80to99,18469476,5257798,4177898,1079901,13211678,202380,949916,406020,812038,586635,225404,134733,103669,31064,3809292,339174,4391323,2029633,137168,2537454,2528626,1907215,439560,16238,165612,8828,15932023,19599298,,
