"","periodFrom","Spain","Portugal","France","Belgium","Netherlands","UK","Poland","Lithuania","Greece","Croatia","Italy","yw","Total"
"757",2021-01-26,306288110.428571,180310318.285714,161077082.857143,11590290.8571429,15090168.4142857,680203161.142857,41821036.2857143,22651543,43936063.4285714,0,186572633.571429,"2021 4",1649540408.27143
"758",2021-01-27,306288110.428571,180310318.285714,161077082.857143,11590290.8571429,15090168.4142857,680203161.142857,41821036.2857143,22651543,43936063.4285714,0,186572633.571429,"2021 4",1649540408.27143
"759",2021-01-28,306288110.428571,180310318.285714,161077082.857143,11590290.8571429,15090168.4142857,680203161.142857,41821036.2857143,22651543,43936063.4285714,0,186572633.571429,"2021 4",1649540408.27143
"760",2021-01-29,326568861.285714,166602930.857143,169543081.428571,14134706.7142857,42019200.7,682034360,40217730.8571429,25703578.2857143,27609549.5714286,0,237254338,"2021 5",1731688337.7
"761",2021-01-30,326568861.285714,166602930.857143,169543081.428571,14134706.7142857,42019200.7,682034360,40217730.8571429,25703578.2857143,27609549.5714286,0,237254338,"2021 5",1731688337.7
"762",2021-01-31,326568861.285714,166602930.857143,169543081.428571,14134706.7142857,42019200.7,682034360,40217730.8571429,25703578.2857143,27609549.5714286,0,237254338,"2021 5",1731688337.7
"763",2021-02-01,326568861.285714,166602930.857143,169543081.428571,14134706.7142857,42019200.7,682034360,40217730.8571429,25703578.2857143,27609549.5714286,0,237254338,"2021 5",1731688337.7
"764",2021-02-02,326568861.285714,166602930.857143,169543081.428571,14134706.7142857,42019200.7,682034360,40217730.8571429,25703578.2857143,27609549.5714286,0,237254338,"2021 5",1731688337.7
"765",2021-02-03,326568861.285714,166602930.857143,169543081.428571,14134706.7142857,42019200.7,682034360,40217730.8571429,25703578.2857143,27609549.5714286,0,237254338,"2021 5",1731688337.7
"766",2021-02-04,326568861.285714,166602930.857143,169543081.428571,14134706.7142857,42019200.7,682034360,40217730.8571429,25703578.2857143,27609549.5714286,0,237254338,"2021 5",1731688337.7
"767",2021-02-05,369655538.142857,176423091,312782809.142857,31467670.4285714,163706992.071429,1164606469.71429,62599595.4285714,33555691.4285714,34486469.4285714,0,175673604.857143,"2021 6",2524957931.64286
"768",2021-02-06,369655538.142857,176423091,312782809.142857,31467670.4285714,163706992.071429,1164606469.71429,62599595.4285714,33555691.4285714,34486469.4285714,0,175673604.857143,"2021 6",2524957931.64286
"769",2021-02-07,369655538.142857,176423091,312782809.142857,31467670.4285714,163706992.071429,1164606469.71429,62599595.4285714,33555691.4285714,34486469.4285714,0,175673604.857143,"2021 6",2524957931.64286
"770",2021-02-08,369655538.142857,176423091,312782809.142857,31467670.4285714,163706992.071429,1164606469.71429,62599595.4285714,33555691.4285714,34486469.4285714,0,175673604.857143,"2021 6",2524957931.64286
"771",2021-02-09,369655538.142857,176423091,312782809.142857,31467670.4285714,163706992.071429,1164606469.71429,62599595.4285714,33555691.4285714,34486469.4285714,0,175673604.857143,"2021 6",2524957931.64286
"772",2021-02-10,369655538.142857,176423091,312782809.142857,31467670.4285714,163706992.071429,1164606469.71429,62599595.4285714,33555691.4285714,34486469.4285714,0,175673604.857143,"2021 6",2524957931.64286
"773",2021-02-11,369655538.142857,176423091,312782809.142857,31467670.4285714,163706992.071429,1164606469.71429,62599595.4285714,33555691.4285714,34486469.4285714,0,175673604.857143,"2021 6",2524957931.64286
"774",2021-02-12,396714598.142857,155605412.428571,437647292.857143,34612653.7142857,263016008.285714,1157269106.85714,86705398.2857143,32710763.8571429,71136952.2857143,0,292682769.714286,"2021 7",2928100956.42857
"775",2021-02-13,396714598.142857,155605412.428571,437647292.857143,34612653.7142857,263016008.285714,1157269106.85714,86705398.2857143,32710763.8571429,71136952.2857143,0,292682769.714286,"2021 7",2928100956.42857
"776",2021-02-14,396714598.142857,155605412.428571,437647292.857143,34612653.7142857,263016008.285714,1157269106.85714,86705398.2857143,32710763.8571429,71136952.2857143,0,292682769.714286,"2021 7",2928100956.42857
"777",2021-02-15,396714598.142857,155605412.428571,437647292.857143,34612653.7142857,263016008.285714,1157269106.85714,86705398.2857143,32710763.8571429,71136952.2857143,0,292682769.714286,"2021 7",2928100956.42857
"778",2021-02-16,396714598.142857,155605412.428571,437647292.857143,34612653.7142857,263016008.285714,1157269106.85714,86705398.2857143,32710763.8571429,71136952.2857143,0,292682769.714286,"2021 7",2928100956.42857
"779",2021-02-17,396714598.142857,155605412.428571,437647292.857143,34612653.7142857,263016008.285714,1157269106.85714,86705398.2857143,32710763.8571429,71136952.2857143,0,292682769.714286,"2021 7",2928100956.42857
"780",2021-02-18,396714598.142857,155605412.428571,437647292.857143,34612653.7142857,263016008.285714,1157269106.85714,86705398.2857143,32710763.8571429,71136952.2857143,0,292682769.714286,"2021 7",2928100956.42857
"781",2021-02-19,355896891.714286,155598124.142857,427369652.428571,64442768.2857143,196047273.342857,839492443.714286,136843046.714286,54235164.1428571,39356027.7142857,0,299313487.285714,"2021 8",2568594879.48571
"782",2021-02-20,355896891.714286,155598124.142857,427369652.428571,64442768.2857143,196047273.342857,839492443.714286,136843046.714286,54235164.1428571,39356027.7142857,0,299313487.285714,"2021 8",2568594879.48571
"783",2021-02-21,355896891.714286,155598124.142857,427369652.428571,64442768.2857143,196047273.342857,839492443.714286,136843046.714286,54235164.1428571,39356027.7142857,0,299313487.285714,"2021 8",2568594879.48571
"784",2021-02-22,355896891.714286,155598124.142857,427369652.428571,64442768.2857143,196047273.342857,839492443.714286,136843046.714286,54235164.1428571,39356027.7142857,0,299313487.285714,"2021 8",2568594879.48571
"785",2021-02-23,355896891.714286,155598124.142857,427369652.428571,64442768.2857143,196047273.342857,839492443.714286,136843046.714286,54235164.1428571,39356027.7142857,0,299313487.285714,"2021 8",2568594879.48571
"786",2021-02-24,355896891.714286,155598124.142857,427369652.428571,64442768.2857143,196047273.342857,839492443.714286,136843046.714286,54235164.1428571,39356027.7142857,0,299313487.285714,"2021 8",2568594879.48571
"787",2021-02-25,355896891.714286,155598124.142857,427369652.428571,64442768.2857143,196047273.342857,839492443.714286,136843046.714286,54235164.1428571,39356027.7142857,0,299313487.285714,"2021 8",2568594879.48571
"788",2021-02-26,365295002.714286,159882108.857143,603448152.285714,96525599.4285714,269050463.614286,1098637294,126391028.571429,41844286.4285714,48434235.4285714,0,346930213.285714,"2021 9",3156438384.61429
"789",2021-02-27,365295002.714286,159882108.857143,603448152.285714,96525599.4285714,269050463.614286,1098637294,126391028.571429,41844286.4285714,48434235.4285714,0,346930213.285714,"2021 9",3156438384.61429
"790",2021-02-28,365295002.714286,159882108.857143,603448152.285714,96525599.4285714,269050463.614286,1098637294,126391028.571429,41844286.4285714,48434235.4285714,0,346930213.285714,"2021 9",3156438384.61429
"791",2021-03-01,365295002.714286,159882108.857143,603448152.285714,96525599.4285714,269050463.614286,1098637294,126391028.571429,41844286.4285714,48434235.4285714,0,346930213.285714,"2021 9",3156438384.61429
"792",2021-03-02,365295002.714286,159882108.857143,603448152.285714,96525599.4285714,269050463.614286,1098637294,126391028.571429,41844286.4285714,48434235.4285714,0,346930213.285714,"2021 9",3156438384.61429
"793",2021-03-03,365295002.714286,159882108.857143,603448152.285714,96525599.4285714,269050463.614286,1098637294,126391028.571429,41844286.4285714,48434235.4285714,0,346930213.285714,"2021 9",3156438384.61429
"794",2021-03-04,365295002.714286,159882108.857143,603448152.285714,96525599.4285714,269050463.614286,1098637294,126391028.571429,41844286.4285714,48434235.4285714,0,346930213.285714,"2021 9",3156438384.61429
"795",2021-03-05,396927210,177304338.285714,812654505.857143,262405067.571429,371188053.642857,918664003.142857,127073542.142857,47804295.4285714,73693775.2857143,0,377479489.428571,"2021 10",3565194280.78571
"796",2021-03-06,396927210,177304338.285714,812654505.857143,262405067.571429,371188053.642857,918664003.142857,127073542.142857,47804295.4285714,73693775.2857143,0,377479489.428571,"2021 10",3565194280.78571
"797",2021-03-07,396927210,177304338.285714,812654505.857143,262405067.571429,371188053.642857,918664003.142857,127073542.142857,47804295.4285714,73693775.2857143,0,377479489.428571,"2021 10",3565194280.78571
"798",2021-03-08,396927210,177304338.285714,812654505.857143,262405067.571429,371188053.642857,918664003.142857,127073542.142857,47804295.4285714,73693775.2857143,0,377479489.428571,"2021 10",3565194280.78571
"799",2021-03-09,396927210,177304338.285714,812654505.857143,262405067.571429,371188053.642857,918664003.142857,127073542.142857,47804295.4285714,73693775.2857143,0,377479489.428571,"2021 10",3565194280.78571
"800",2021-03-10,396927210,177304338.285714,812654505.857143,262405067.571429,371188053.642857,918664003.142857,127073542.142857,47804295.4285714,73693775.2857143,0,377479489.428571,"2021 10",3565194280.78571
"801",2021-03-11,396927210,177304338.285714,812654505.857143,262405067.571429,371188053.642857,918664003.142857,127073542.142857,47804295.4285714,73693775.2857143,0,377479489.428571,"2021 10",3565194280.78571
"802",2021-03-12,333480233.142857,157613296.142857,721231185.285714,284048164.428571,360934092.971429,1175444963.85714,153608981.142857,70672230.7142857,72381201.5714286,0,301076897.571429,"2021 11",3630491246.82857
"803",2021-03-13,333480233.142857,157613296.142857,721231185.285714,284048164.428571,360934092.971429,1175444963.85714,153608981.142857,70672230.7142857,72381201.5714286,0,301076897.571429,"2021 11",3630491246.82857
"804",2021-03-14,333480233.142857,157613296.142857,721231185.285714,284048164.428571,360934092.971429,1175444963.85714,153608981.142857,70672230.7142857,72381201.5714286,0,301076897.571429,"2021 11",3630491246.82857
"805",2021-03-15,333480233.142857,157613296.142857,721231185.285714,284048164.428571,360934092.971429,1175444963.85714,153608981.142857,70672230.7142857,72381201.5714286,0,301076897.571429,"2021 11",3630491246.82857
"806",2021-03-16,333480233.142857,157613296.142857,721231185.285714,284048164.428571,360934092.971429,1175444963.85714,153608981.142857,70672230.7142857,72381201.5714286,0,301076897.571429,"2021 11",3630491246.82857
"807",2021-03-17,333480233.142857,157613296.142857,721231185.285714,284048164.428571,360934092.971429,1175444963.85714,153608981.142857,70672230.7142857,72381201.5714286,0,301076897.571429,"2021 11",3630491246.82857
"808",2021-03-18,333480233.142857,157613296.142857,721231185.285714,284048164.428571,360934092.971429,1175444963.85714,153608981.142857,70672230.7142857,72381201.5714286,0,301076897.571429,"2021 11",3630491246.82857
"809",2021-03-19,365319688.142857,182059239,986334987.428571,355957823.714286,361024686.042857,1254127907.71429,153771857.285714,70911484.1428571,65746815.1428571,0,406355230.714286,"2021 12",4201609719.32857
"810",2021-03-20,365319688.142857,182059239,986334987.428571,355957823.714286,361024686.042857,1254127907.71429,153771857.285714,70911484.1428571,65746815.1428571,0,406355230.714286,"2021 12",4201609719.32857
"811",2021-03-21,365319688.142857,182059239,986334987.428571,355957823.714286,361024686.042857,1254127907.71429,153771857.285714,70911484.1428571,65746815.1428571,0,406355230.714286,"2021 12",4201609719.32857
"812",2021-03-22,365319688.142857,182059239,986334987.428571,355957823.714286,361024686.042857,1254127907.71429,153771857.285714,70911484.1428571,65746815.1428571,0,406355230.714286,"2021 12",4201609719.32857
"813",2021-03-23,365319688.142857,182059239,986334987.428571,355957823.714286,361024686.042857,1254127907.71429,153771857.285714,70911484.1428571,65746815.1428571,0,406355230.714286,"2021 12",4201609719.32857
"814",2021-03-24,365319688.142857,182059239,986334987.428571,355957823.714286,361024686.042857,1254127907.71429,153771857.285714,70911484.1428571,65746815.1428571,0,406355230.714286,"2021 12",4201609719.32857
"815",2021-03-25,365319688.142857,182059239,986334987.428571,355957823.714286,361024686.042857,1254127907.71429,153771857.285714,70911484.1428571,65746815.1428571,0,406355230.714286,"2021 12",4201609719.32857
"816",2021-03-26,339723040.142857,175070667.714286,905059203,158373254,350800728.642857,766766590.714286,133049261.571429,56609407.7142857,72271439.2857143,0,341006545,"2021 13",3298730137.78571
