DATE,CSI1_12M
1999-03-01,1.54
1999-04-01,1.56
1999-05-01,1.56
1999-06-01,1.49
1999-07-01,1.53
1999-08-01,1.52
1999-09-01,1.57
1999-10-01,1.51
1999-11-01,1.63
1999-12-01,1.69
2000-01-01,1.80
2000-02-01,1.90
2000-03-01,2.08
2000-04-01,1.97
2000-05-01,2.16
2000-06-01,2.37
2000-07-01,2.44
2000-08-01,2.48
2000-09-01,2.51
2000-10-01,2.57
2000-11-01,2.51
2000-12-01,2.67
2001-01-01,2.73
2001-02-01,2.78
2001-03-01,2.74
2001-04-01,2.85
2001-05-01,2.78
2001-06-01,2.78
2001-07-01,2.82
2001-08-01,2.86
2001-09-01,2.76
2001-10-01,2.81
2001-11-01,2.86
2001-12-01,2.70
2002-01-01,2.60
2002-02-01,2.59
2002-03-01,2.58
2002-04-01,2.60
2002-05-01,2.42
2002-06-01,2.26
2002-07-01,2.22
2002-08-01,2.15
2002-09-01,2.16
2002-10-01,2.06
2002-11-01,1.99
2002-12-01,1.99
2003-01-01,1.96
2003-02-01,1.94
2003-03-01,1.98
2003-04-01,1.74
2003-05-01,1.74
2003-06-01,1.70
2003-07-01,1.61
2003-08-01,1.68
2003-09-01,1.75
2003-10-01,1.80
2003-11-01,1.84
2003-12-01,1.91
2004-01-01,1.84
2004-02-01,1.80
2004-03-01,1.79
2004-04-01,2.05
2004-05-01,2.20
2004-06-01,2.35
2004-07-01,2.34
2004-08-01,2.27
2004-09-01,2.17
2004-10-01,2.14
2004-11-01,2.13
2004-12-01,2.06
2005-01-01,2.15
2005-02-01,2.05
2005-03-01,2.07
2005-04-01,2.10
2005-05-01,2.03
2005-06-01,1.85
2005-07-01,1.96
2005-08-01,1.93
2005-09-01,2.11
2005-10-01,2.20
2005-11-01,2.20
2005-12-01,2.18
2006-01-01,2.27
2006-02-01,2.36
2006-03-01,2.35
2006-04-01,2.25
2006-05-01,2.31
2006-06-01,2.55
2006-07-01,2.62
2006-08-01,2.74
2006-09-01,2.61
2006-10-01,2.56
2006-11-01,2.52
2006-12-01,2.56
2007-01-01,2.54
2007-02-01,2.68
2007-03-01,2.74
2007-04-01,2.72
2007-05-01,2.68
2007-06-01,2.59
2007-07-01,2.42
2007-08-01,2.32
2007-09-01,2.42
2007-10-01,2.46
2007-11-01,2.56
2007-12-01,2.59
2008-01-01,2.64
2008-02-01,2.54
2008-03-01,2.49
2008-04-01,2.69
2008-05-01,2.76
2008-06-01,2.93
2008-07-01,3.20
2008-08-01,3.27
2008-09-01,3.18
2008-10-01,3.06
2008-11-01,2.90
2008-12-01,2.69
2009-01-01,2.41
2009-02-01,2.22
2009-03-01,1.96
2009-04-01,1.53
2009-05-01,1.25
2009-06-01,0.98
2009-07-01,0.49
2009-08-01,0.33
2009-09-01,0.06
2009-10-01,-0.04
2009-11-01,-0.17
2009-12-01,-0.21
2010-01-01,-0.25
2010-02-01,-0.30
2010-03-01,-0.23
2010-04-01,-0.13
2010-05-01,-0.08
2010-06-01,-0.18
2010-07-01,-0.02
2010-08-01,-0.03
2010-09-01,0.10
2010-10-01,0.10
2010-11-01,0.23
2010-12-01,0.28
2011-01-01,0.45
2011-02-01,0.70
2011-03-01,0.83
2011-04-01,0.91
2011-05-01,1.08
2011-06-01,1.17
2011-07-01,1.31
2011-08-01,1.49
2011-09-01,1.59
2011-10-01,1.65
2011-11-01,1.68
2011-12-01,1.84
2012-01-01,1.91
2012-02-01,1.71
2012-03-01,1.68
2012-04-01,1.67
2012-05-01,1.55
2012-06-01,1.60
2012-07-01,1.48
2012-08-01,1.37
2012-09-01,1.35
2012-10-01,1.45
2012-11-01,1.49
2012-12-01,1.43
2013-01-01,1.32
2013-02-01,1.45
2013-03-01,1.39
2013-04-01,1.38
2013-05-01,1.45
2013-06-01,1.47
2013-07-01,1.49
2013-08-01,1.53
2013-09-01,1.52
2013-10-01,1.48
2013-11-01,1.47
2013-12-01,1.52
2014-01-01,1.57
2014-02-01,1.57
2014-03-01,1.75
2014-04-01,1.86
2014-05-01,1.89
2014-06-01,1.86
2014-07-01,1.97
2014-08-01,1.95
2014-09-01,1.94
2014-10-01,1.99
2014-11-01,1.94
2014-12-01,1.89
2015-01-01,1.87
2015-02-01,1.90
2015-03-01,1.72
2015-04-01,1.64
2015-05-01,1.63
2015-06-01,1.77
2015-07-01,1.69
2015-08-01,1.77
2015-09-01,1.85
2015-10-01,1.82
2015-11-01,1.80
2015-12-01,1.74
2016-01-01,1.68
2016-02-01,1.66
2016-03-01,1.66
2016-04-01,1.81
2016-05-01,1.69
2016-06-01,1.53
2016-07-01,1.59
2016-08-01,1.55
2016-09-01,1.52
2016-10-01,1.48
2016-11-01,1.48
2016-12-01,1.54
2017-01-01,1.76
2017-02-01,1.84
2017-03-01,1.79
2017-04-01,1.71
2017-05-01,1.83
2017-06-01,1.87
2017-07-01,1.97
2017-08-01,1.97
2017-09-01,1.99
2017-10-01,2.06
2017-11-01,2.06
2017-12-01,2.10
2018-01-01,2.05
2018-02-01,1.89
2018-03-01,2.00
2018-04-01,2.01
2018-05-01,1.97
2018-06-01,2.02
2018-07-01,1.95
2018-08-01,1.96
2018-09-01,1.95
2018-10-01,1.88
2018-11-01,2.04
2018-12-01,2.16
2019-01-01,2.01
2019-02-01,2.04
2019-03-01,2.14
2019-04-01,2.02
2019-05-01,2.01
2019-06-01,2.06
2019-07-01,1.96
2019-08-01,1.95
2019-09-01,1.94
2019-10-01,2.03
2019-11-01,1.90
2019-12-01,1.76
2020-01-01,1.86
2020-02-01,1.98
2020-03-01,1.91
2020-04-01,2.10
2020-05-01,2.27
2020-06-01,2.10
2020-07-01,2.11
2020-08-01,2.15
2020-09-01,2.00
2020-10-01,1.94
2020-11-01,1.93
2020-12-01,2.13
2021-01-01,1.89
2021-02-01,1.90
2021-03-01,1.92
2021-04-01,2.06
2021-05-01,2.18
2021-06-01,2.47
2021-07-01,2.74
2021-08-01,3.01
2021-09-01,3.43
2021-10-01,3.89
2021-11-01,4.11
2021-12-01,4.14
2022-01-01,4.69
2022-02-01,5.09
2022-03-01,5.38
2022-04-01,5.45
2022-05-01,5.70
2022-06-01,6.10
2022-07-01,6.31
