snapped_at,price,market_cap,total_volume
2020-07-11 00:00:00 UTC,0.99985745,9803667487,17302019437
2020-07-12 00:00:00 UTC,0.99988363,9824421803,15114579704
2020-07-13 00:00:00 UTC,0.999738479,9823245541,16323711435
2020-07-14 00:00:00 UTC,0.999953767,9848359866,19668542757
2020-07-15 00:00:00 UTC,0.999646721,9845335827,18335355882
2020-07-16 00:00:00 UTC,0.998741983,9858754629,16408360294
2020-07-17 00:00:00 UTC,0.999882382,9880260498,18648706543
2020-07-18 00:00:00 UTC,0.999897295,9880407857,15220945795
2020-07-19 00:00:00 UTC,1.000236941,9884364193,14258134178
2020-07-20 00:00:00 UTC,1.000195876,9913964260,15535523295
2020-07-21 00:00:00 UTC,1.000156455,9913573515,17854702862
2020-07-22 00:00:00 UTC,1.000215344,9921658840,19597893160
2020-07-23 00:00:00 UTC,1.001198523,10016213022,18165018452
2020-07-24 00:00:00 UTC,0.99929192,10062892351,19021249993
2020-07-25 00:00:00 UTC,1.000437121,10162563058,19953796003
2020-07-26 00:00:00 UTC,0.999789253,10213180914,23254711181
2020-07-27 00:00:00 UTC,1.000130986,10216671824,26864814369
2020-07-28 00:00:00 UTC,0.994901743,10163253370,39319586341
2020-07-29 00:00:00 UTC,1.000034711,10472196877,34821890824
2020-07-30 00:00:00 UTC,0.997848734,10617855494,28422173044
2020-07-31 00:00:00 UTC,1.000772717,10707864336,28117378155
2020-08-01 00:00:00 UTC,0.999825831,10778488967,27673049712
2020-08-02 00:00:00 UTC,1.000382339,10941249519,35103857611
2020-08-03 00:00:00 UTC,0.999685275,11062349222,40139374760
2020-08-04 00:00:00 UTC,0.999690952,11118634671,28941879576
2020-08-05 00:00:00 UTC,0.999922849,11182209135,28762359114
2020-08-06 00:00:00 UTC,1.002225666,11252929576,27504907872
2020-08-07 00:00:00 UTC,1.000232877,11334228794,27830621832
2020-08-08 00:00:00 UTC,1.001861866,11495140100,31470497321
2020-08-09 00:00:00 UTC,1.000347256,11578515769,25882723936
2020-08-10 00:00:00 UTC,0.999929028,11650317902,26752535463
2020-08-11 00:00:00 UTC,1.000243294,11698790362,34055074963
2020-08-12 00:00:00 UTC,1.002243953,11858746978,35736281859
2020-08-13 00:00:00 UTC,1.000761214,11896892578,34892410681
2020-08-14 00:00:00 UTC,1.000956564,12000642229,38251376245
2020-08-15 00:00:00 UTC,1.00165863,12238797983,33091182634
2020-08-16 00:00:00 UTC,0.99778561,12215059078,34427440251
