snapped_at,price,market_cap,total_volume
2021-07-30 00:00:00 UTC,6.128455063990783e-07,0.0,1029547.7981910189
2021-07-31 00:00:00 UTC,6.04790092391749e-07,0.0,1517335.0769825368
2021-08-01 00:00:00 UTC,5.924574849716196e-07,0.0,536766.2093652447
2021-08-02 00:00:00 UTC,5.986340283367855e-07,0.0,522701.654231375
2021-08-03 00:00:00 UTC,5.672688880216241e-07,0.0,549155.6933555858
2021-08-04 00:00:00 UTC,6.465984798807028e-07,0.0,614697.1973789438
2021-08-05 00:00:00 UTC,6.17398386116161e-07,0.0,495252.5855139882
2021-08-06 00:00:00 UTC,5.920365426642337e-07,0.0,335313.3715540451
2021-08-07 00:00:00 UTC,5.940884850594208e-07,0.0,435600.6440195584
2021-08-08 00:00:00 UTC,6.185185648864374e-07,0.0,732949.1077762387
2021-08-09 00:00:00 UTC,5.818109029774751e-07,0.0,543382.4838049386
2021-08-10 00:00:00 UTC,6.252005194979967e-07,0.0,532000.5516246518
2021-08-11 00:00:00 UTC,5.732538834651726e-07,0.0,723645.9640387002
2021-08-12 00:00:00 UTC,5.597629451520366e-07,0.0,502669.4361442706
2021-08-13 00:00:00 UTC,5.662187964226674e-07,0.0,445273.82692840113
2021-08-14 00:00:00 UTC,1.000216974682815e-06,0.0,3107422.536123601
2021-08-15 00:00:00 UTC,8.078496036001712e-07,0.0,1943826.628665476
2021-08-16 00:00:00 UTC,8.147632957229398e-07,0.0,487704.4154806064
2021-08-17 00:00:00 UTC,8.789606271344798e-07,0.0,903021.5653169297
2021-08-18 00:00:00 UTC,8.322439093924892e-07,0.0,777262.4940635773
2021-08-19 00:00:00 UTC,9.246499713854961e-07,0.0,945867.741816075
