ID_RSSD,ID_RSSD_PARENT,CERT,TICKER
1893049,1026632,33497,SCHW
1917301,2260406,27589,WTFC
1971901,3587146,33621,BK
1918344,1918344,33539,PFBC
1945247,1117129,33568,FULT
1994393,1117316,33702,ASRV
2119773,2260406,33849,WTFC
2044811,2260406,33803,WTFC
2142155,2125813,33867,QCRH
2142294,1070644,33874,CTBI
2181444,1039502,34018,JPM
2182786,2380443,33124,GS
2209553,2634874,33905,HTBK
2236821,2840479,33928,PNBK
2239288,2260406,33935,WTFC
2262718,1078846,33962,SNV
2265456,1037003,34069,MTB
2293860,1085509,34004,CCBG
2193616,3815157,33893,RJF
2298995,2260406,34011,WTFC
2163477,3815157,33879,RJF
2328137,2337401,34047,FCCO
2337335,1049828,34065,UMBF
2372774,1247679,34102,SMMF
2339795,2260406,34073,WTFC
2353595,1478017,13012,FCBC
2354985,4284536,34444,CUBI
2444336,1951350,34159,C
2488264,2078816,34227,COLB
2489805,2162966,34221,MS
2362458,1120754,5146,WFC
2385514,2385493,34217,FBMS
2508751,2260406,34395,WTFC
2434113,2631510,34147,BRKL
2531991,1120754,34465,WFC
2608754,2608763,34598,MBWM
2562164,3203008,34403,CCB
2634191,2003975,30788,GBCI
2567123,1119794,34588,USB
2634351,2634696,34618,MCBC
2652092,2652104,34742,EGBN
2653802,1049828,35120,UMBF
2618780,2706735,34383,TCBI
2623627,1111435,34693,STT
2624400,2260406,34681,WTFC
2646886,1071191,35191,FMNB
2693264,2260406,34717,WTFC
2713920,3063622,33785,SF
2667920,1119794,34813,USB
2649122,1206546,34726,HTLF
2764212,3347292,34888,PKBK
2743244,2743235,34980,RRBI
2697963,3260841,34352,BYFC
2719810,2260406,35063,WTFC
2797210,1076673,35248,OPOF
2797724,2797724,35095,TOWN
2781282,3587146,35205,BK
2808602,2808590,35278,CBNK
2736291,1129382,34967,BPOP
2864774,1074156,35483,TFC
2787770,3217032,35207,BOTJ
2849801,2849799,35295,SFST
2916963,1119794,57047,USB
2917317,3814310,35546,AX
2895424,1073757,35594,BAC
2858960,2858951,35444,TBBK
2941068,3103603,57038,NIC
2925666,2925657,35583,PNFP
2757205,3211601,34603,MVBF
2758613,3393178,34607,INBK
2760232,3251027,35111,VBFC
2970657,2260406,57103,WTFC
2938198,2260406,57082,WTFC
2953418,3251661,35430,OPHC
2954059,3170539,35541,BCBP
3029589,2125813,57244,QCRH
3066025,2380443,57337,GS
3103591,1202258,57391,ATLO
3076220,3063622,57358,SF
3076248,3063622,57311,SF
3138146,2349815,57512,WAL
3158546,3189906,57607,MYFW
3109043,3553815,57368,BWFG
3150205,1133286,57414,BANF
3150447,1026632,57450,SCHW
3229875,3005332,57793,FNB
3212402,3595084,57463,PCB
3213735,1102312,57757,FFIN
3216017,2260406,57701,WTFC
3248849,4977397,57742,MNSB
3303298,1132449,57957,CFG
3303953,5374461,57849,PBFS
3281510,3281510,57716,BCML
3325759,3325740,57968,FRST
3221468,4105266,57665,VBTX
3284070,1562859,57803,ALLY
3348888,3635319,57993,SFBS
3268249,2728607,57710,GCBC
3357219,3357219,57944,OPBK
3317932,1048764,57919,CNOB
3271799,3271799,57777,MRBK
3447820,3447820,58140,ESQ
3449066,4090054,58316,ISTR
3470239,2433312,58303,AMP
3401970,3401970,58481,FRBA
3404207,2260406,58314,WTFC
3475083,3815157,58457,RJF
3476192,3476192,58596,CARE
3437456,4750086,58181,MCBS
3408728,3488850,58228,BFST
3465226,1206546,58458,HTLF
3465392,1133286,58483,BANF
3579589,3594872,58629,STEL
3532641,1131497,58463,SMBK
3614976,3614976,58696,FVCB
3594005,3903661,58648,CFB
3595271,3595271,58513,BPRN
3637685,3842658,58647,FFWM
3650808,3884863,58665,LOB
3378773,3378764,58210,BWB
