Date,Price
30-Sep-20,0.87
29-Sep-20,0.855
28-Sep-20,0.881
25-Sep-20,0.898
24-Sep-20,0.878
23-Sep-20,0.852
22-Sep-20,0.867
21-Sep-20,0.941
18-Sep-20,0.969
17-Sep-20,0.956
16-Sep-20,0.973
15-Sep-20,0.999
14-Sep-20,1.021
11-Sep-20,1.041
10-Sep-20,1.075
9-Sep-20,1.091
8-Sep-20,1.103
7-Sep-20,1.12
4-Sep-20,1.083
3-Sep-20,1.062
2-Sep-20,1.035
1-Sep-20,1.107
31-Aug-20,1.159
28-Aug-20,1.102
27-Aug-20,1.086
26-Aug-20,1.086
25-Aug-20,1.096
24-Aug-20,1.007
21-Aug-20,1.006
20-Aug-20,0.98
19-Aug-20,0.979
18-Aug-20,0.993
17-Aug-20,1.004
14-Aug-20,1.056
13-Aug-20,1.077
12-Aug-20,1.027
11-Aug-20,1.014
10-Aug-20,0.985
7-Aug-20,0.987
6-Aug-20,0.99
5-Aug-20,1.04
4-Aug-20,1.019
3-Aug-20,1.075
31-Jul-20,1.077
30-Jul-20,1.033
29-Jul-20,1.063
28-Jul-20,1.075
27-Jul-20,1.049
24-Jul-20,1.071
23-Jul-20,1.048
22-Jul-20,1.1
21-Jul-20,1.139
20-Jul-20,1.158
19-Jul-20,1.232
17-Jul-20,1.24
16-Jul-20,1.243
15-Jul-20,1.27
14-Jul-20,1.277
13-Jul-20,1.308
10-Jul-20,1.288
9-Jul-20,1.282
8-Jul-20,1.275
7-Jul-20,1.288
6-Jul-20,1.308
3-Jul-20,1.33
2-Jul-20,1.286
1-Jul-20,1.343
30-Jun-20,1.327
29-Jun-20,1.364
27-Jun-20,1.362
26-Jun-20,1.372
25-Jun-20,1.368
24-Jun-20,1.34
23-Jun-20,1.334
22-Jun-20,1.357
20-Jun-20,1.322
19-Jun-20,1.323
18-Jun-20,1.343
17-Jun-20,1.375
16-Jun-20,1.362
15-Jun-20,1.401
13-Jun-20,1.408
12-Jun-20,1.418
11-Jun-20,1.485
10-Jun-20,1.514
9-Jun-20,1.463
8-Jun-20,1.407
5-Jun-20,1.422
4-Jun-20,1.42
3-Jun-20,1.552
2-Jun-20,1.509
1-Jun-20,1.469
29-May-20,1.491
28-May-20,1.435
27-May-20,1.491
26-May-20,1.553
25-May-20,1.588
23-May-20,1.594
22-May-20,1.606
21-May-20,1.634
20-May-20,1.635
19-May-20,1.647
18-May-20,1.703
15-May-20,1.854
14-May-20,1.822
13-May-20,1.807
12-May-20,1.892
11-May-20,1.887
8-May-20,1.839
7-May-20,1.903
6-May-20,1.978
5-May-20,1.874
4-May-20,1.755
1-May-20,1.783
30-Apr-20,1.777
29-Apr-20,1.769
28-Apr-20,1.735
27-Apr-20,1.759
24-Apr-20,1.89
23-Apr-20,2.006
22-Apr-20,2.107
21-Apr-20,1.978
20-Apr-20,1.952
17-Apr-20,1.79
16-Apr-20,1.857
15-Apr-20,1.908
14-Apr-20,1.789
13-Apr-20,1.587
10-Apr-20,1.592
9-Apr-20,1.599
8-Apr-20,1.656
7-Apr-20,1.602
6-Apr-20,1.542
3-Apr-20,1.542
2-Apr-20,1.492
1-Apr-20,1.547
31-Mar-20,1.534
30-Mar-20,1.486
27-Mar-20,1.334
26-Mar-20,1.243
25-Mar-20,1.576
24-Mar-20,1.592
23-Mar-20,1.605
20-Mar-20,1.635
19-Mar-20,1.819
18-Mar-20,2.495
17-Mar-20,2.391
16-Mar-20,2.164
13-Mar-20,1.805
12-Mar-20,1.895
11-Mar-20,1.186
10-Mar-20,1.386
9-Mar-20,1.408
7-Mar-20,1.051
6-Mar-20,1.079
5-Mar-20,1.068
4-Mar-20,1.017
3-Mar-20,0.985
2-Mar-20,1.154
28-Feb-20,1.127
27-Feb-20,1.074
26-Feb-20,0.994
25-Feb-20,0.982
24-Feb-20,0.968
22-Feb-20,0.91
21-Feb-20,0.907
20-Feb-20,0.913
19-Feb-20,0.942
18-Feb-20,0.929
17-Feb-20,0.906
14-Feb-20,0.924
13-Feb-20,0.896
12-Feb-20,0.922
11-Feb-20,0.972
10-Feb-20,0.952
7-Feb-20,0.948
6-Feb-20,0.969
5-Feb-20,0.967
4-Feb-20,0.948
3-Feb-20,0.957
31-Jan-20,0.924
30-Jan-20,0.939
29-Jan-20,0.963
28-Jan-20,1.028
27-Jan-20,1.043
