Date,Price
11-Sep-20,1.115
10-Sep-20,1.135
9-Sep-20,1.148
8-Sep-20,1.174
7-Sep-20,1.16
4-Sep-20,1.139
3-Sep-20,1.132
2-Sep-20,1.129
1-Sep-20,1.16
31-Aug-20,1.113
29-Aug-20,1.095
28-Aug-20,1.098
27-Aug-20,1.113
26-Aug-20,1.128
25-Aug-20,1.104
24-Aug-20,1.09
22-Aug-20,1.086
21-Aug-20,1.094
20-Aug-20,1.097
19-Aug-20,1.094
18-Aug-20,1.096
17-Aug-20,1.108
16-Aug-20,1.125
15-Aug-20,1.125
14-Aug-20,1.138
13-Aug-20,1.114
12-Aug-20,1.095
11-Aug-20,1.084
10-Aug-20,1.05
7-Aug-20,1.014
6-Aug-20,1.019
5-Aug-20,1.054
4-Aug-20,1.044
3-Aug-20,1.099
31-Jul-20,1.091
30-Jul-20,1.075
29-Jul-20,1.104
28-Jul-20,1.102
27-Jul-20,1.101
26-Jul-20,1.06
24-Jul-20,1.108
23-Jul-20,1.088
22-Jul-20,1.173
21-Jul-20,1.167
20-Jul-20,1.172
17-Jul-20,1.214
16-Jul-20,1.264
15-Jul-20,1.302
14-Jul-20,1.287
13-Jul-20,1.231
11-Jul-20,1.089
10-Jul-20,1.232
9-Jul-20,1.117
8-Jul-20,1.121
7-Jul-20,1.127
6-Jul-20,1.194
5-Jul-20,1.153
3-Jul-20,1.18
2-Jul-20,1.198
1-Jul-20,1.194
30-Jun-20,1.226
29-Jun-20,1.29
27-Jun-20,1.264
26-Jun-20,1.282
25-Jun-20,1.309
24-Jun-20,1.276
23-Jun-20,1.29
22-Jun-20,1.308
21-Jun-20,1.276
19-Jun-20,1.292
18-Jun-20,1.323
17-Jun-20,1.174
16-Jun-20,1.145
15-Jun-20,1.203
12-Jun-20,1.276
11-Jun-20,1.323
10-Jun-20,1.385
9-Jun-20,1.464
8-Jun-20,1.408
5-Jun-20,1.351
4-Jun-20,1.383
3-Jun-20,1.505
2-Jun-20,1.5
1-Jun-20,1.502
29-May-20,1.512
28-May-20,1.514
27-May-20,1.577
26-May-20,1.654
25-May-20,1.672
22-May-20,1.702
21-May-20,1.756
20-May-20,1.801
19-May-20,1.868
18-May-20,1.999
15-May-20,2.06
14-May-20,2.046
13-May-20,2.097
12-May-20,2.15
11-May-20,2.172
8-May-20,2.184
7-May-20,2.195
6-May-20,2.185
5-May-20,2.197
4-May-20,2.168
1-May-20,2.157
30-Apr-20,2.169
29-Apr-20,2.184
28-Apr-20,2.171
27-Apr-20,2.214
24-Apr-20,2.302
23-Apr-20,2.341
22-Apr-20,2.539
21-Apr-20,2.289
20-Apr-20,2.122
17-Apr-20,2.112
16-Apr-20,2.105
15-Apr-20,2.022
14-Apr-20,1.888
13-Apr-20,1.776
10-Apr-20,1.78
9-Apr-20,1.829
8-Apr-20,1.83
7-Apr-20,1.826
6-Apr-20,1.898
3-Apr-20,1.972
2-Apr-20,1.774
1-Apr-20,1.766
31-Mar-20,1.643
30-Mar-20,1.635
27-Mar-20,1.585
26-Mar-20,1.625
25-Mar-20,2.434
24-Mar-20,2.453
23-Mar-20,2.487
20-Mar-20,2.463
19-Mar-20,2.38
18-Mar-20,3.795
17-Mar-20,3.514
16-Mar-20,2.567
13-Mar-20,2.005
12-Mar-20,1.755
11-Mar-20,1.556
10-Mar-20,1.674
9-Mar-20,1.894
6-Mar-20,1.452
5-Mar-20,1.297
4-Mar-20,1.223
3-Mar-20,1.317
2-Mar-20,1.378
28-Feb-20,1.355
27-Feb-20,1.268
26-Feb-20,1.206
