Date,reserves
2012-05-23,230031
2012-05-16,231216
2012-05-09,231187
2012-05-02,230146
2012-04-25,226233
2012-04-18,220101
2012-04-11,215294
2012-04-04,210767
2012-03-28,206987
2012-03-21,204514
2012-03-14,201491
2012-03-07,196101
2012-02-29,195587
2012-02-22,192156
2012-02-15,188975
2012-02-08,185831
2012-02-01,184047
2012-01-25,179033
2012-01-18,174323
2012-01-11,173551
2012-01-04,167141
2011-12-28,164040
2011-12-21,165103
2011-12-14,166100
2011-12-07,160378
2011-11-30,159879
2011-11-23,155203
2011-11-16,151601
2011-11-09,147465
2011-11-02,143395
2011-10-26,138860
2011-10-19,133819
2011-10-12,128402
2011-10-05,125953
2011-09-28,126023
2011-09-21,125526
2011-09-14,123430
2011-09-07,123941
2011-08-31,126379
2011-08-24,127196
2011-08-17,127978
2011-08-10,128307
2011-08-03,128302
2011-07-27,127856
2011-07-20,127531
2011-07-13,125951
2011-07-06,127445
2011-06-29,127423
2011-06-22,127999
2011-06-15,129315
2011-06-08,129033
2011-06-01,130747
2011-05-25,130972
2011-05-18,131244
2011-05-11,132138
2011-05-04,131740
2011-04-27,131411
2011-04-20,132054
2011-04-13,132652
2011-04-06,134032
2011-03-30,133968
2011-03-23,134331
2011-03-16,134006
2011-03-09,135928
2011-03-02,138867
2011-02-23,137899
2011-02-16,138015
2011-02-09,138846
2011-02-02,139239
2011-01-26,139132
2011-01-19,138664
2011-01-12,140020
2011-01-05,139165
2010-12-29,138349
2010-12-22,138321
2010-12-15,139699
2010-12-08,140041
2010-12-01,143357
2010-11-24,144327
2010-11-17,142354
2010-11-10,143538
2010-11-03,143755
2010-10-27,143329
2010-10-20,142878
2010-10-13,142714
2010-10-06,143692
2010-09-29,143841
2010-09-22,143847
2010-09-15,143594
2010-09-08,144195
2010-09-01,146421
2010-08-25,147556
2010-08-18,151082
2010-08-11,151676
2010-08-04,151165
2010-07-28,151116
2010-07-21,150937
2010-07-14,148110
2010-07-07,150041
2010-06-30,149534
2010-06-23,149685
2010-06-16,149003
2010-06-09,149564
2010-06-02,150899
2010-05-26,150918
2010-05-19,150934
2010-05-12,151440
2010-05-05,150509
2010-04-28,151493
2010-04-21,151808
2010-04-14,151924
2010-04-07,152307
2010-03-31,152945
2010-03-24,153404
2010-03-17,150034
2010-03-10,150352
2010-03-03,154642
2010-02-24,155646
2010-02-17,155165
2010-02-10,154730
2010-02-03,160079
2010-01-27,159434
2010-01-20,156592
2010-01-13,151976
2010-01-06,147181
2009-12-30,144026
2009-12-23,144446
2009-12-16,147356
2009-12-09,145872
2009-12-02,147452
2009-11-25,145583
2009-11-18,150483
2009-11-11,147528
2009-11-04,151727
2009-10-28,150669
2009-10-21,146633
2009-10-14,140779
2009-10-07,136421
2009-09-30,138591
2009-09-23,135025
2009-09-16,139814
2009-09-09,135833
2009-09-02,137648
2009-08-26,136357
2009-08-19,137850
2009-08-12,133654
2009-08-05,163866
2009-07-29,161288
2009-07-22,158171
2009-07-15,153035
2009-07-08,147469
2009-07-01,140453
2009-06-24,135300
2009-06-17,129525
2009-06-10,121059
2009-06-03,115650
2009-05-27,109631
2009-05-20,102669
2009-05-13,95033
2009-05-06,87422
2009-04-29,80830
2009-04-22,79475
2009-04-15,68723
2009-04-08,69401
2009-04-01,58138
2009-03-25,44544
2009-03-18,50892
2009-03-11,36162
2009-03-04,31436
2009-02-25,46246
2009-02-18,33700
2009-02-11,42701
2009-02-04,35219
2009-01-28,24022
2009-01-21,37881
2009-01-14,53388
2009-01-07,46409
2008-12-31,48628
2008-12-24,41415
2008-12-17,37343
2008-12-10,49468
2008-12-03,38637
2008-11-26,43797
2008-11-19,36590
2008-11-12,52904
2008-11-05,49193
2008-10-29,42418
2008-10-22,41861
2008-10-15,52568
2008-10-08,49301
2008-10-01,55687
2008-09-24,34449
2008-09-17,50847
2008-09-10,27592
2008-09-03,32347
2008-08-27,28493
2008-08-20,29126
2008-08-13,27737
2008-08-06,29428
2008-07-30,28046
2008-07-23,28623
2008-07-16,27943
2008-07-09,28772
2008-07-02,26325
2008-06-25,28649
2008-06-18,23216
2008-06-11,28498
2008-06-04,32914
2008-05-28,25632
2008-05-21,26300
2008-05-14,27127
2008-05-07,30985
2008-04-30,22983
2008-04-23,28026
2008-04-16,28241
2008-04-09,26755
2008-04-02,27231
2008-03-26,23683
2008-03-19,27196
2008-03-12,20896
2008-03-05,30979
2008-02-27,22045
2008-02-20,23824
