Date,Price,Open,High,Low,Vol.,Change %
2022-08-04,68.88,68.88,68.88,68.88,,-7.84%
2022-08-03,74.74,74.74,74.74,74.74,,-3.44%
2022-08-02,77.4,77.4,77.4,77.4,,1.12%
2022-08-01,76.54,76.54,76.54,76.54,,-7.57%
2022-07-29,82.81,82.81,82.81,82.81,,1.81%
2022-07-28,81.34,81.34,81.34,81.34,,0.59%
2022-07-27,80.86,80.86,80.86,80.86,,1.81%
2022-07-26,79.42,79.42,79.42,79.42,,0.79%
2022-07-25,78.8,78.8,78.8,78.8,,-1.24%
2022-07-22,79.79,79.79,79.79,79.79,,-5.24%
2022-07-21,84.2,84.2,84.2,84.2,,-2.69%
2022-07-20,86.53,86.53,86.53,86.53,,2.61%
2022-07-19,84.33,84.33,84.33,84.33,,-4.19%
2022-07-18,88.02,88.02,88.02,88.02,,4.92%
2022-07-15,83.89,83.89,83.89,83.89,,11.27%
2022-07-14,75.39,75.39,75.39,75.39,,-3.52%
2022-07-13,78.14,78.14,78.14,78.14,,-1.36%
2022-07-12,79.22,79.22,79.22,79.22,,-6.96%
2022-07-11,85.15,85.15,85.15,85.15,,0.33%
2022-07-08,84.87,84.87,84.87,84.87,,-0.49%
2022-07-07,85.29,85.29,85.29,85.29,,6.93%
2022-07-06,79.76,79.76,79.76,79.76,,-2.11%
2022-07-05,81.48,81.48,81.48,81.48,,-12.26%
2022-07-04,92.87,92.87,92.87,92.87,,3.73%
2022-07-01,89.53,89.53,89.53,89.53,,-1.60%
2022-06-30,90.99,90.99,90.99,90.99,,-3.12%
2022-06-29,93.92,93.92,93.92,93.92,,1.71%
2022-06-28,92.34,92.34,92.34,92.34,,1.90%
2022-06-27,90.62,90.62,90.62,90.62,,1.59%
2022-06-24,89.2,89.2,89.2,89.2,,2.85%
2022-06-23,86.73,86.73,86.73,86.73,,1.06%
2022-06-22,85.82,85.82,85.82,85.82,,-4.25%
2022-06-21,89.63,89.63,89.63,89.63,,0.81%
2022-06-20,88.91,88.91,88.91,88.91,,-2.67%
2022-06-17,91.35,91.35,91.35,91.35,,-3.66%
2022-06-16,94.82,94.82,94.82,94.82,,-3.48%
2022-06-15,98.24,98.24,98.24,98.24,,-3.45%
2022-06-14,101.75,101.75,101.75,101.75,,3.82%
2022-06-13,98.01,98.01,98.01,98.01,,0.22%
2022-06-10,97.79,97.79,97.79,97.79,,-2.41%
2022-06-09,100.2,100.2,100.2,100.2,,0.98%
2022-06-08,99.23,99.23,99.23,99.23,,1.74%
2022-06-07,97.53,97.53,97.53,97.53,,1.66%
2022-06-06,95.94,95.94,95.94,95.94,,-0.82%
2022-06-03,96.73,96.73,96.73,96.73,,0.24%
2022-06-02,96.5,94.53,94.53,94.53,,2.08%
2022-06-01,94.53,94.53,94.53,94.53,,-3.57%
2022-05-31,98.03,98.03,98.03,98.03,,5.60%
2022-05-30,92.83,92.83,92.83,92.83,,2.29%
2022-05-27,90.75,90.75,90.75,90.75,,0.04%
2022-05-26,90.71,90.71,90.71,90.71,,4.11%
2022-05-25,87.13,87.13,87.13,87.13,,0.33%
2022-05-24,86.84,86.84,86.84,86.84,,0.82%
2022-05-23,86.13,86.13,86.13,86.13,,1.99%
2022-05-20,84.45,84.45,84.45,84.45,,2.71%
2022-05-19,82.22,82.22,82.22,82.22,,0.75%
2022-05-18,81.61,81.61,81.61,81.61,,-5.93%
2022-05-17,86.75,86.75,86.75,86.75,,3.11%
2022-05-16,84.13,84.13,84.13,84.13,,2.20%
2022-05-13,82.32,82.32,82.32,82.32,,3.31%
2022-05-12,79.68,79.68,79.68,79.68,,1.23%
2022-05-11,78.71,78.71,78.71,78.71,,4.61%
2022-05-10,75.24,75.24,75.24,75.24,,-3.64%
2022-05-09,78.08,78.08,78.08,78.08,,-8.90%
2022-05-06,85.71,85.71,85.71,85.71,,2.63%
2022-05-05,83.51,83.51,83.51,83.51,,4.47%
2022-05-04,79.94,79.94,79.94,79.94,,3.83%
2022-05-03,76.99,76.99,76.99,76.99,,-3.05%
2022-05-02,79.41,79.41,79.41,79.41,,0.00%
2022-04-29,79.41,79.41,79.41,79.41,,4.93%
2022-04-28,75.68,75.68,75.68,75.68,,3.13%
2022-04-27,73.38,73.38,73.38,73.38,,0.51%
2022-04-26,73.01,73.01,73.01,73.01,,7.51%
2022-04-25,67.91,67.91,67.91,67.91,,-11.11%
2022-04-22,76.4,76.4,76.4,76.4,,-2.06%
2022-04-21,78.01,78.01,78.01,78.01,,2.27%
2022-04-20,76.28,76.28,76.28,76.28,,-0.43%
2022-04-19,76.61,76.61,76.61,76.61,,-1.97%
2022-04-18,78.15,78.15,78.15,78.15,,0.00%
2022-04-15,78.15,78.15,78.15,78.15,,0.00%
2022-04-14,78.15,78.15,78.15,78.15,,0.79%
2022-04-13,77.54,77.54,77.54,77.54,,1.83%
2022-04-12,76.15,76.15,76.15,76.15,,9.52%
2022-04-11,69.53,69.53,69.53,69.53,,-1.92%
2022-04-08,70.89,70.89,70.89,70.89,,1.56%
2022-04-07,69.8,69.8,69.8,69.8,,-6.98%
2022-04-06,75.04,75.04,75.04,75.04,,-3.88%
2022-04-05,78.07,78.07,78.07,78.07,,-2.07%
2022-04-04,79.72,79.72,79.72,79.72,,-2.58%
2022-04-01,81.83,81.83,81.83,81.83,,-1.30%
2022-03-31,82.91,82.91,82.91,82.91,,-8.34%
2022-03-30,90.45,90.45,90.45,90.45,,4.06%
2022-03-29,86.92,86.92,86.92,86.92,,-3.68%
2022-03-28,90.24,90.24,90.24,90.24,,-7.74%
2022-03-25,97.81,97.81,97.81,97.81,,-2.08%
2022-03-24,99.89,99.89,99.89,99.89,,-1.89%
2022-03-23,101.81,101.81,101.81,101.81,,6.60%
2022-03-22,95.51,95.51,95.51,95.51,,0.22%
2022-03-21,95.3,95.3,95.3,95.3,,7.76%
2022-03-18,88.44,88.44,88.44,88.44,,0.76%
2022-03-17,87.77,87.77,87.77,87.77,,8.67%
2022-03-16,80.77,80.77,80.77,80.77,,-1.62%
2022-03-15,82.1,82.1,82.1,82.1,,-3.45%
2022-03-14,85.03,85.03,85.03,85.03,,-7.30%
2022-03-11,91.73,91.73,91.73,91.73,,-2.13%
2022-03-10,93.73,93.73,93.73,93.73,,-8.00%
2022-03-09,101.88,101.88,101.88,101.88,,-8.22%
2022-03-08,111.01,111.01,111.01,111.01,,5.49%
2022-03-07,105.23,105.23,105.23,105.23,,11.35%
2022-03-04,94.5,94.5,94.5,94.5,,-4.32%
2022-03-03,98.77,98.77,98.77,98.77,,-3.07%
2022-03-02,101.9,101.9,101.9,101.9,,3.67%
2022-03-01,98.29,98.29,98.29,98.29,,4.25%
2022-02-28,94.28,94.28,94.28,94.28,,2.65%
2022-02-25,91.85,91.85,91.85,91.85,,-3.31%
2022-02-24,94.99,94.99,94.99,94.99,,0.00%
2022-02-23,94.99,94.99,94.99,94.99,,0.59%
2022-02-22,94.43,94.43,94.43,94.43,,-1.17%
2022-02-21,95.55,95.55,95.55,95.55,,2.99%
2022-02-18,92.78,92.78,92.78,92.78,,0.98%
2022-02-17,91.88,91.88,91.88,91.88,,-4.12%
2022-02-16,95.83,95.83,95.83,95.83,,0.30%
2022-02-15,95.54,95.54,95.54,95.54,,-2.10%
2022-02-14,97.59,97.59,97.59,97.59,,4.14%
2022-02-11,93.71,93.71,93.71,93.71,,-1.71%
2022-02-10,95.34,95.34,95.34,95.34,,0.88%
