Date,Subways: Total Estimated Ridership,Subways: % Change From Pre-Pandemic Equivalent Day,Buses: Total Estimated Ridership,Buses: % Change From Pre-Pandemic Equivalent Day,LIRR: Total Estimated Ridership,LIRR: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % Change From Pre-Pandemic Equivalent Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % Change From Pre-Pandemic Equivalent Day
11/11/2021,2921893,-39.20%,1113957,-38.60%,143400,-50%,122900,-53%,19846,-10.20%,895643,5.40%
11/10/2021,3355470,-42.40%,1485186,-32.40%,159300,-44%,134400,-48%,24608,-23.70%,926005,0.90%
11/9/2021,3286401,-43.40%,1506668,-31.30%,157200,-46%,134100,-48%,24504,-22.40%,898518,1.20%
11/8/2021,3071952,-47.30%,1455845,-37.00%,159700,-45%,131100,-51%,22136,-26.50%,889544,-3.20%
11/7/2021,1891664,-34.30%,613276,-38.20%,81200,-13%,72200,-10%,10647,-37.00%,780686,0.50%
11/6/2021,2197991,-32.10%,863544,-33.90%,84900,-25%,80800,-16%,13672,-22.90%,910587,-0.40%
11/5/2021,3299918,-43.70%,1453258,-33.40%,150200,-50%,121800,-55%,23009,-22.30%,966007,-1.50%
11/4/2021,3291340,-45.40%,1484213,-36.60%,151400,-47%,126500,-51%,24009,-25.50%,931012,-2.50%
11/3/2021,3300953,-45.20%,1505746,-36.70%,154200,-46%,131000,-49%,23349,-29.90%,901230,-3.70%
11/2/2021,2853817,-48.50%,1257244,-40.30%,147800,-49%,129300,-50%,22016,-27.80%,853432,-4.30%
11/1/2021,3041031,-47.80%,1447371,-37.40%,158400,-46%,131300,-51%,21387,-29.00%,898451,-2.20%
10/31/2021,1748679,-30.50%,656203,-37.60%,68700,-27%,66300,-18%,12233,-37.00%,824978,-3.90%
10/30/2021,2046487,-38.90%,819620,-40.90%,76500,-32%,69300,-28%,12642,-30.60%,854656,-7.70%
10/29/2021,3258376,-45.30%,1426938,-37.00%,153300,-49%,122600,-54%,22477,-25.70%,963442,-2.80%
10/28/2021,3373576,-41.60%,1515489,-30.20%,159600,-45%,132200,-49%,24814,-14.50%,959835,8.30%
10/27/2021,3307634,-45.10%,1503535,-36.30%,155900,-46%,129900,-50%,24144,-24.80%,914494,-1.20%
10/26/2021,2707913,-54.70%,1233660,-46.90%,130100,-55%,104500,-60%,21220,-31.80%,738636,-19.10%
10/25/2021,3001962,-47.90%,1461023,-37.00%,158300,-46%,125800,-53%,21724,-24.80%,883887,-3.30%
10/24/2021,1601835,-27.30%,659283,-24.40%,69600,-26%,68200,-15%,12314,-28.10%,883371,13.70%
10/23/2021,2079731,-37.70%,847596,-39.40%,74700,-34%,82900,-14%,13556,-24.00%,914737,-3.90%
10/22/2021,3232113,-45.30%,1471199,-35.90%,145800,-51%,126600,-53%,22843,-24.30%,986548,-2.00%
10/21/2021,3275195,-46.50%,1476434,-38.00%,149900,-48%,127300,-51%,24007,-25.20%,948652,-3.70%
10/20/2021,3241475,-46.50%,1525608,-36.40%,155200,-46%,131100,-49%,24474,-25.30%,916246,-3.10%
10/19/2021,3185458,-45.10%,1510722,-33.30%,153400,-47%,130000,-50%,23403,-22.00%,899389,2.80%
10/18/2021,2989693,-47.30%,1461843,-36.20%,153700,-47%,127400,-52%,21454,-21.90%,889996,1.80%
10/17/2021,1631844,-33.00%,663944,-32.20%,74800,-20%,69700,-13%,12564,-32.60%,891527,6.90%
10/16/2021,2044396,-39.20%,856990,-38.00%,83400,-26%,74900,-22%,13307,-24.70%,896392,-6.10%
10/15/2021,3233854,-46.10%,1491099,-34.70%,150900,-50%,124700,-54%,23251,-22.80%,990940,-3.70%
10/14/2021,3248072,-46.60%,1527543,-34.00%,154600,-46%,126800,-51%,24144,-23.00%,952876,-1.70%
10/13/2021,3164655,-45.90%,1511356,-31.10%,151300,-47%,124800,-52%,24396,-21.60%,907632,-0.20%
10/12/2021,3110171,-47.10%,1514608,-35.60%,154600,-46%,128200,-51%,23848,-21.30%,910639,-0.40%
10/11/2021,2267498,-46.80%,1045865,-36.00%,131700,-55%,114500,-57%,16917,-11.10%,878443,2.90%
10/10/2021,1499551,-43.60%,601821,-44.20%,65600,-30%,59000,-27%,11794,-36.20%,806025,-10.00%
10/9/2021,2052746,-37.20%,856308,-37.90%,84600,-25%,82000,-15%,13634,-22.10%,919384,-2.20%
10/8/2021,3175133,-45.90%,1473912,-35.40%,153800,-49%,123600,-54%,23356,-21.70%,1001210,-3.00%
10/7/2021,3198045,-47.10%,1523168,-35.80%,150100,-48%,121400,-53%,24571,-21.90%,951212,-2.10%
10/6/2021,3147958,-47.10%,1532668,-36.60%,149600,-48%,123100,-52%,24678,-20.50%,913993,-1.30%
10/5/2021,3098187,-45.90%,1499767,-35.00%,150200,-48%,124700,-52%,23644,-22.20%,887129,1.00%
10/4/2021,2870940,-49.80%,1419155,-39.60%,152600,-47%,121300,-54%,21794,-25.20%,871945,-3.60%
10/3/2021,1577642,-37.40%,673253,-37.40%,74900,-20%,66800,-17%,12936,-32.80%,887540,2.00%
10/2/2021,2066222,-38.10%,883902,-37.20%,86600,-23%,80900,-16%,14145,-20.20%,923455,-1.30%
10/1/2021,3169206,-47.20%,1492942,-36.00%,140000,-53%,116200,-57%,23098,-22.70%,985786,-1.90%
9/30/2021,3153965,-47.60%,1516081,-34.30%,144800,-50%,121800,-53%,23555,-25.40%,953501,1.80%
9/29/2021,3070509,-48.40%,1513184,-37.40%,137500,-52%,120000,-54%,23323,-24.90%,886785,-4.20%
9/28/2021,2934542,-51.20%,1457421,-38.90%,141200,-51%,118300,-55%,21727,-27.80%,831192,-9.90%
9/27/2021,2880083,-50.00%,1489441,-36.40%,146200,-50%,121500,-54%,21209,-24.30%,881116,-4.60%
9/26/2021,1616915,-36.30%,657257,-39.90%,80100,-14%,64900,-19%,12034,-35.70%,895286,-2.50%
9/25/2021,2132211,-33.60%,872490,-37.40%,88500,-22%,81300,-16%,13909,-18.30%,953628,-1.80%
9/24/2021,3128041,-46.90%,1469705,-36.30%,142800,-52%,116700,-57%,21941,-23.50%,986694,-3.40%
9/23/2021,3022830,-50.20%,1483075,-37.40%,140100,-51%,115500,-56%,23031,-24.70%,915198,-6.00%
9/22/2021,3027925,-50.10%,1506211,-37.30%,139900,-51%,120100,-54%,23157,-27.20%,872883,-7.90%
9/21/2021,3025310,-49.70%,1505803,-36.80%,142700,-51%,123900,-52%,22399,-25.50%,860050,-6.80%
9/20/2021,2889759,-49.80%,1481676,-36.80%,148100,-49%,122100,-54%,21889,-21.90%,895109,-3.00%
9/19/2021,1598720,-38.90%,674024,-39.80%,69400,-26%,64100,-20%,12612,-32.60%,914623,-2.10%
9/18/2021,2017430,-39.30%,871175,-38.90%,77300,-31%,76300,-21%,14054,-20.50%,949178,-2.50%
9/17/2021,3034676,-49.30%,1456201,-37.40%,142100,-53%,119300,-56%,23282,-19.30%,982085,-3.20%
9/16/2021,2539853,-57.90%,1210069,-50.00%,128000,-56%,107700,-59%,20826,-32.80%,864413,-11.80%
9/15/2021,2993744,-50.10%,1503627,-38.20%,139900,-51%,116400,-55%,23966,-25.40%,904733,-4.20%
9/14/2021,3017947,-49.40%,1511145,-37.60%,144900,-50%,120500,-54%,23132,-24.70%,908024,-2.50%
9/13/2021,2858929,-49.70%,1441516,-39.10%,147800,-49%,122500,-54%,21898,-22.50%,914827,-1.50%
9/12/2021,1591655,-37.90%,694561,-37.40%,77000,-18%,59000,-27%,12239,-33.80%,899864,-2.10%
9/11/2021,1985273,-36.70%,870791,-37.10%,82200,-27%,65300,-32%,13070,-22.60%,917704,-2.30%
9/10/2021,2845820,-51.60%,1322430,-43.60%,150900,-50%,113500,-58%,23037,-21.90%,995486,-2.00%
9/9/2021,2708091,-54.50%,1249341,-48.00%,139500,-52%,111700,-57%,23653,-23.90%,911040,-6.20%
9/8/2021,2534847,-54.00%,1192895,-45.30%,135700,-53%,110900,-57%,22354,-26.60%,896020,-4.40%
9/7/2021,2238469,-57.90%,1102372,-48.10%,137600,-52%,113700,-56%,21143,-26.20%,902400,-5.20%
9/6/2021,1523354,-31.70%,733947,-22.60%,77900,-17%,51300,-81%,10077,5.50%,812884,9.60%
9/5/2021,1416893,-43.20%,618622,-42.90%,71000,-24%,45200,-44%,11931,-36.30%,832200,-7.20%
9/4/2021,1779743,-39.00%,834456,-37.70%,84800,-25%,57100,-41%,13382,-18.20%,927358,-1.50%
9/3/2021,2394842,-51.20%,1221668,-39.00%,139800,-53%,97900,-64%,22585,-15.50%,1014806,-1.90%
9/2/2021,1664178,-68.50%,1188941,-43.00%,105600,-63%,N/A,N/A,21179,-24.20%,851145,-16.70%
9/1/2021,2298999,-55.80%,1086148,-46.30%,118400,-59%,90600,-65%,20878,-28.10%,811053,-14.20%
8/31/2021,2537974,-51.30%,1246463,-39.40%,133600,-54%,99900,-62%,22724,-19.40%,936181,-0.50%
8/30/2021,2325695,-52.30%,1182908,-39.00%,131600,-55%,97100,-63%,19224,-24.30%,911105,-1.60%
8/29/2021,1400642,-43.90%,630281,-41.80%,68800,-26%,54100,-33%,11558,-38.30%,890505,-0.70%
8/28/2021,1661095,-43.00%,776489,-42.00%,69000,-39%,56200,-42%,12760,-22.00%,890293,-5.40%
8/27/2021,2392602,-51.30%,1147249,-42.70%,119700,-60%,90500,-66%,21211,-20.60%,973335,-5.90%
8/26/2021,2485132,-52.90%,1222996,-41.30%,122100,-58%,91000,-65%,22068,-21.10%,950534,-6.90%
8/25/2021,2503420,-51.80%,1236342,-38.90%,127400,-56%,93300,-64%,23351,-19.60%,957036,1.30%
8/24/2021,2467406,-52.70%,1234884,-40.00%,130600,-55%,98300,-62%,22679,-19.60%,942935,0.20%
8/23/2021,2056731,-57.80%,1032792,-46.70%,110000,-62%,84200,-68%,18809,-25.90%,821654,-11.20%
8/22/2021,745800,-68.00%,369246,-66.50%,27500,-71%,16100,-80%,7979,-55.00%,489334,-47.30%
8/21/2021,1716439,-40.80%,822340,-40.30%,72800,-35%,62000,-36%,13046,-21.00%,941331,-4.40%
8/20/2021,2460924,-49.60%,1183308,-37.70%,124600,-58%,99500,-63%,21451,-20.70%,969814,-4.20%
8/19/2021,2444495,-52.10%,1194375,-39.90%,117400,-59%,93000,-64%,21838,-22.80%,939085,-5.80%
8/18/2021,2450516,-51.70%,1210760,-38.80%,117200,-59%,97900,-62%,22715,-22.10%,917872,-3.60%
8/17/2021,2432692,-52.40%,1209633,-39.90%,120700,-58%,103600,-60%,22245,-21.50%,909180,-4.50%
8/16/2021,2292396,-52.50%,1170216,-39.00%,123900,-57%,100300,-62%,20087,-22.70%,910779,-3.20%
8/15/2021,1430620,-37.10%,661705,-39.20%,73000,-22%,54400,-32%,12395,-30.90%,918288,0.70%
8/14/2021,1718222,-40.00%,811826,-41.30%,75700,-33%,57700,-40%,13157,-20.70%,904780,-4.50%
8/13/2021,2434624,-51.50%,1189426,-39.90%,123800,-59%,91900,-66%,21336,-21.20%,973883,-3.40%
8/12/2021,2453353,-53.90%,1223666,-40.40%,119700,-58%,90800,-65%,22427,-22.10%,965578,-3.20%
8/11/2021,2480877,-52.70%,1246306,-38.50%,119700,-58%,94700,-63%,23338,-22.20%,931264,-1.70%
8/10/2021,2447231,-52.40%,1245670,-36.90%,122500,-58%,95300,-63%,23079,-18.20%,905508,-0.10%
8/9/2021,2294279,-54.40%,1183050,-40.50%,109900,-62%,95600,-64%,20540,-21.60%,891525,-5.80%
8/8/2021,1333885,-46.20%,598574,-45.60%,61100,-35%,54300,-32%,11934,-33.00%,843489,-7.80%
8/7/2021,1780458,-41.10%,836715,-39.30%,76800,-32%,67300,-30%,14108,-17.00%,923751,-5.60%
8/6/2021,2523944,-51.20%,1222343,-39.30%,123200,-59%,101200,-62%,22179,-19.00%,979833,-4.20%
8/5/2021,2534287,-53.40%,1259332,-40.10%,120000,-58%,98300,-62%,22610,-22.20%,956306,-4.40%
8/4/2021,2534018,-51.80%,1257876,-36.80%,123700,-57%,99300,-62%,23611,-19.70%,921068,0.60%
8/3/2021,2489064,-53.50%,1262043,-40.30%,123900,-57%,103200,-60%,22828,-21.70%,904753,-3.20%
8/2/2021,2338722,-54.50%,1208484,-41.40%,126200,-57%,102300,-62%,19824,-26.10%,903514,-4.00%
8/1/2021,1351294,-44.80%,629963,-44.30%,66000,-29%,52000,-35%,11627,-37.00%,869092,-6.10%
7/31/2021,1841007,-38.80%,857333,-38.60%,85400,-24%,67100,-30%,13932,-16.40%,953445,1.50%
7/30/2021,2562489,-50.90%,1235623,-39.70%,131900,-56%,103500,-61%,22127,-19.20%,988596,-3.00%
7/29/2021,2433507,-55.50%,1186642,-44.90%,120300,-58%,94700,-64%,22164,-23.30%,918380,-9.00%
7/28/2021,2539760,-52.60%,1276296,-37.60%,126800,-56%,100000,-61%,23145,-21.40%,932094,-1.30%
7/27/2021,2493079,-53.80%,1267804,-40.20%,128300,-56%,103000,-60%,22609,-21.90%,918908,-3.10%
7/26/2021,2323169,-54.90%,1219135,-40.90%,129900,-55%,101300,-62%,19910,-24.60%,907205,-3.90%
7/25/2021,1364830,-44.00%,625645,-44.40%,66400,-29%,53100,-34%,11419,-36.90%,864361,-9.20%
7/24/2021,1852402,-39.30%,856250,-38.80%,84900,-25%,68600,-29%,14042,-16.90%,950568,-3.40%
7/23/2021,2557043,-51.90%,1219255,-40.20%,130500,-56%,101100,-62%,22314,-19.20%,985198,-5.10%
7/22/2021,2587338,-53.50%,1279778,-40.50%,127300,-56%,102300,-61%,23122,-21.20%,963493,-5.00%
7/21/2021,2509502,-55.20%,1225595,-43.80%,121500,-58%,104900,-59%,22865,-24.80%,914902,-6.60%
7/20/2021,2467017,-53.30%,1217802,-40.00%,125800,-56%,107000,-59%,22213,-23.50%,924495,1.00%
7/19/2021,2332473,-53.90%,1208792,-39.30%,126700,-56%,103400,-61%,20276,-23.00%,897298,-1.70%
7/18/2021,1405344,-35.50%,640618,-37.90%,67400,-28%,56200,-30%,11313,-26.80%,838604,-4.00%
7/17/2021,1717480,-35.10%,795347,-37.40%,73000,-35%,64500,-33%,13228,-11.80%,897001,-3.00%
7/16/2021,2541195,-51.20%,1219118,-40.60%,123500,-59%,104300,-61%,21730,-19.40%,983846,-4.30%
7/15/2021,2586791,-52.20%,1275846,-37.60%,125600,-56%,105200,-60%,23772,-18.00%,971048,-0.70%
7/14/2021,2522633,-54.00%,1260044,-40.40%,120500,-58%,101800,-61%,23662,-22.50%,919213,-2.90%
7/13/2021,2462643,-55.60%,1239045,-42.80%,123400,-57%,105300,-59%,22286,-25.70%,895705,-6.30%
7/12/2021,2249975,-57.50%,1171521,-44.10%,120500,-59%,99000,-63%,20623,-23.60%,866231,-8.80%
7/11/2021,1367403,-43.90%,635511,-43.70%,62600,-33%,53200,-34%,11725,-34.80%,830775,-12.50%
7/10/2021,1783921,-41.20%,855908,-41.10%,73000,-35%,64400,-33%,14518,-15.30%,925950,-6.90%
7/9/2021,2322712,-57.00%,1115969,-45.20%,109400,-63%,88300,-67%,20632,-25.70%,888932,-12.60%
7/8/2021,2369035,-56.90%,1164513,-44.00%,116300,-60%,93200,-64%,22941,-22.60%,897858,-7.50%
7/7/2021,2442092,-56.20%,1234617,-43.40%,122600,-57%,99100,-62%,23637,-21.40%,926634,-3.40%
7/6/2021,2306692,-57.80%,1181416,-45.60%,127900,-56%,100500,-61%,22648,-24.00%,903777,-4.80%
7/5/2021,1497714,-35.30%,770321,-30.10%,78400,-16%,59700,-78%,10303,-43.10%,838087,-9.30%
7/4/2021,1470325,-46.00%,615001,-44.90%,70200,-25%,63900,-20%,12816,-1.60%,773629,-11.70%
7/3/2021,1543756,-40.50%,738089,-42.20%,63800,-43%,57400,-41%,12676,-12.60%,777262,-2.10%
7/2/2021,2300302,-41.00%,1121116,-36.30%,116500,-61%,94300,-65%,21489,-3.20%,920188,7.60%
7/1/2021,2297059,-58.20%,1104516,-46.90%,114400,-60%,90000,-65%,22011,-25.70%,933638,21.40%
6/30/2021,2350864,-55.00%,1139886,-45.30%,119400,-58%,99500,-62%,23001,-23.10%,945822,-6.30%
6/29/2021,2348456,-56.00%,1169268,-43.80%,119400,-59%,97800,-62%,21612,-26.80%,930011,-1.80%
6/28/2021,2256926,-56.70%,1152019,-43.60%,122300,-58%,101500,-62%,20503,-23.10%,924740,-3.50%
6/27/2021,1561403,-48.30%,656004,-40.40%,75100,-20%,62400,-22%,11883,-30.40%,900039,-3.50%
6/26/2021,1855861,-41.80%,841585,-36.90%,76600,-32%,66700,-31%,13520,-15.90%,950086,-1.80%
6/25/2021,2587425,-52.70%,1214123,-39.10%,126700,-58%,100500,-63%,22400,-19.70%,988675,-5.50%
6/24/2021,2557684,-54.80%,1248843,-40.10%,121500,-58%,100500,-61%,22842,-22.90%,978351,-6.30%
6/23/2021,2552443,-56.00%,1264095,-44.00%,121900,-57%,101900,-61%,24223,-21.20%,946870,-6.80%
6/22/2021,2359521,-57.30%,1172110,-44.30%,116200,-60%,97600,-62%,22293,-25.30%,896868,-6.20%
6/21/2021,2268969,-58.10%,1191844,-43.90%,123900,-57%,95700,-64%,20512,-24.50%,926300,-5.50%
6/20/2021,1389352,-47.10%,652557,-41.90%,77000,-18%,60900,-24%,13189,-29.50%,951631,-1.70%
6/19/2021,1784312,-45.90%,841519,-40.00%,76500,-32%,66100,-31%,13949,-19.80%,952944,-5.00%
6/18/2021,2576562,-53.60%,1235675,-33.90%,122800,-59%,104300,-61%,22491,-21.20%,989296,-3.60%
6/17/2021,2557486,-55.10%,1281552,-37.20%,121600,-58%,98400,-62%,23292,-22.20%,973485,-2.60%
6/16/2021,2524189,-56.00%,1288040,-41.30%,119200,-58%,94700,-63%,24788,-20.60%,945955,-2.50%
6/15/2021,2474710,-55.90%,1277203,-39.20%,117600,-59%,96700,-63%,23460,-22.20%,917933,-1.30%
6/14/2021,2227391,-59.20%,1176722,-46.00%,115300,-60%,91100,-66%,21568,-20.80%,869235,-8.50%
6/13/2021,1379959,-40.80%,647385,-38.20%,59200,-37%,51700,-36%,12047,-35.40%,887098,-4.80%
6/12/2021,1775538,-44.50%,849178,-40.50%,68200,-40%,61500,-36%,14450,-19.50%,919318,-9.00%
6/11/2021,2472629,-56.70%,1221484,-45.30%,118300,-61%,94600,-65%,23324,-19.30%,968763,-7.00%
6/10/2021,2478619,-56.60%,1276901,-41.50%,113200,-61%,91300,-65%,23498,-20.40%,951274,-2.10%
6/9/2021,2390612,-59.40%,1259005,-46.00%,107900,-62%,90600,-65%,23868,-25.50%,908563,-7.30%
6/8/2021,2270152,-60.60%,1175335,-47.50%,108300,-62%,88000,-66%,22948,-21.90%,878376,-8.50%
6/7/2021,2227613,-57.80%,1200737,-41.50%,112100,-61%,89400,-66%,21511,-17.40%,897208,2.20%
6/6/2021,1363344,-47.40%,654780,-39.70%,61900,-34%,51500,-36%,12514,-30.20%,921829,3.40%
6/5/2021,1792204,-45.20%,874545,-38.20%,72800,-35%,62700,-35%,14636,-18.10%,946758,-2.30%
6/4/2021,2314340,-59.20%,1160335,-48.00%,104600,-65%,88900,-67%,22743,-21.30%,930743,-9.70%
6/3/2021,2238336,-60.90%,1143159,-47.20%,102800,-64%,84800,-67%,23026,-22.80%,895524,-10.90%
6/2/2021,2348517,-59.20%,1249102,-45.30%,112500,-61%,90800,-65%,24325,-21.30%,910385,-5.70%
6/1/2021,2263536,-59.10%,1230127,-41.70%,114800,-60%,94900,-63%,22308,-24.70%,907698,-4.60%
5/31/2021,1391302,-46.60%,702801,-39.00%,102300,-68%,63000,-78%,10380,-3.80%,756187,-20.90%
5/30/2021,1066132,-57.90%,484864,-55.30%,43400,-55%,47200,-55%,10028,-44.50%,664029,-25.90%
5/29/2021,1371467,-56.80%,648192,-54.40%,54800,-54%,71700,-52%,11734,-32.40%,744860,-22.90%
5/28/2021,2236646,-61.20%,1135369,-48.70%,112800,-65%,89300,-69%,21520,-22.90%,931760,-11.20%
5/27/2021,2356638,-59.00%,1246269,-43.00%,117300,-63%,90600,-68%,23450,-18.10%,970920,-0.50%
5/26/2021,2280311,-60.00%,1241052,-43.70%,114500,-64%,86700,-70%,23594,-19.80%,921084,-2.80%
5/25/2021,2275628,-58.10%,1253998,-42.40%,110900,-65%,85900,-70%,22854,-19.30%,902577,-2.50%
