"","date","Category","Index_NSA","Relative_Importance","Index_SA","Monthly_Contribution_NSA","Monthly_Contribution_SA","Yearly_Contribution"
"36",2021-12-01,"All",278.802,100,280.126,0.307251716148357,0.575174850282195,7.03640286554514
"37",2022-01-01,"All",281.148,100,281.933,0.841457378354534,0.6450668627689,7.47987246828912
"38",2022-02-01,"All",283.716,100,284.182,0.913397925647686,0.797707256688668,7.87106389773928
"39",2022-03-01,"All",287.504,100,287.708,1.33513795485626,1.24075416458467,8.54245555484243
"40",2022-04-01,"All",289.109,100,288.663,0.558253102565516,0.331933766179588,8.25862934088238
"41",2022-05-01,"All",292.296,100,291.474,1.10235239995988,0.973799898151114,8.58151154367653
"42",2022-06-01,"All",296.311,100,295.328,1.37360757588199,1.32224486575132,9.05975796478415
"43",2022-07-01,"All",296.276,100,295.271,-0.0118119138337676,-0.0193005742767269,8.52481474562552
"44",2022-08-01,"All",296.171,100,295.62,-0.0354399276350534,0.118196504228308,8.26269250311624
"45",2022-09-01,"All",296.808,100,296.761,0.215078451300087,0.385968473039711,8.20166964383363
"46",2022-10-01,"All",298.012,100,298.062,0.405649443411235,0.438399924518379,7.74542733080492
"47",2022-11-01,"All",297.711,100,298.349,-0.101002644188824,0.0962886916144896,7.11032279419173
"48",2019-01-01,"Food",256.417,13.3783545279509,256.381,0.0630943385831451,0.0369427481954361,0.215110512321633
"49",2019-02-01,"Food",257.222,13.3638649998736,257.233,0.0420002394342038,0.0444586691596278,0.261401126322237
"50",2019-03-01,"Food",257.724,13.3148324654866,257.752,0.026081207011595,0.0269632820630896,0.281756301407416
"51",2019-04-01,"Food",257.708,13.2438794918909,257.479,-0.000826610325182386,-0.0141025065298361,0.235824176117687
"52",2019-05-01,"Food",258.11,13.2363616672545,258.008,0.0206591939549412,0.0272100336385126,0.261626026824366
"53",2019-06-01,"Food",258.064,13.231367711968,258.043,-0.00235896569948402,0.0017955747820011,0.251880773507489
"54",2019-07-01,"Food",258.274,13.2200448358108,258.144,0.0107670470097059,0.00517885832558207,0.235969212640745
"55",2019-08-01,"Food",258.41,13.2276763716229,258.329,0.0069613127828223,0.00947420158758128,0.225681735191323
"56",2019-09-01,"Food",258.943,13.2445835077068,258.88,0.0272835861850336,0.0282138268671499,0.23670898968793
"57",2019-10-01,"Food",259.632,13.2495339645423,259.371,0.035241416206695,0.0251200961923832,0.273890432615673
"58",2019-11-01,"Food",259.467,13.2482179531194,259.902,-0.00842027602202222,0.0271252473683319,0.265119019063118
"59",2019-12-01,"Food",259.823,13.2784754361874,260.274,0.0181771307769782,0.0189622899345157,0.2411385119172
"60",2020-01-01,"Food",261.057,13.771,261.097,0.0630646197151741,0.0419872337766432,0.24208833661455
"61",2020-02-01,"Food",261.876,13.7883809662288,261.912,0.0432030131350611,0.0429854230420101,0.241796688111483
"62",2020-03-01,"Food",262.708,13.8623584472125,262.734,0.043806736638345,0.0432742644637916,0.257489116294893
"63",2020-04-01,"Food",266.757,14.1707718577383,266.505,0.213654282902549,0.198965317410151,0.465037428105143
"64",2020-05-01,"Food",268.439,14.2598456432394,268.326,0.0893518755448426,0.0968273599104794,0.529690363260126
"65",2020-06-01,"Food",269.77,14.2525595033502,269.656,0.0707045345540376,0.0706811665865725,0.600185963312576
"66",2020-07-01,"Food",268.863,14.1331517182619,268.657,-0.0479188622513202,-0.0528017434948485,0.542009860715366
"67",2020-08-01,"Food",269.079,14.1000456416985,268.958,0.0113543357440218,0.0158346094358137,0.546132422154113
"68",2020-09-01,"Food",269.163,14.0848307322885,269.124,0.00440169553886527,0.00870250216212831,0.522739148958513
"69",2020-10-01,"Food",269.828,14.1137726862101,269.557,0.034798291135747,0.0226614189261483,0.520322026185035
"70",2020-11-01,"Food",269.069,14.0826712745726,269.563,-0.0397006740176433,0.000314154839671232,0.490271937417294
"71",2020-12-01,"Food",270.023,14.1193091901196,270.469,0.0499309411189781,0.0473317932162924,0.521279676738056
"72",2021-01-01,"Food",270.938,14.1071451434334,271.035,0.0478446943740316,0.029546931447257,0.521231957005556
"73",2021-02-01,"Food",271.363,14.0523460363671,271.429,0.0221288142894647,0.0205073705850243,0.499512632798016
"74",2021-03-01,"Food",271.812,13.9765971370872,271.861,0.0232511557225159,0.0223653827988564,0.480392341700378
"75",2021-04-01,"Food",273.09,13.9278403557899,272.827,0.0657148732991821,0.0496628528344516,0.336424154474132
"76",2021-05-01,"Food",274.212,13.8738353871867,274.092,0.0572230285956881,0.0645783520328767,0.306669630338439
"77",2021-06-01,"Food",276.206,13.8460831028257,276.067,0.10088700626541,0.0999694441636159,0.340028442612457
"78",2021-07-01,"Food",278.127,13.8756329140813,277.877,0.096298869830953,0.0907801744363326,0.486974844132432
"79",2021-08-01,"Food",279.135,13.8972111813771,278.969,0.0502886737979189,0.0545284105635826,0.526945837367165
"80",2021-09-01,"Food",281.506,13.9772935309081,281.468,0.11804427144946,0.124491003452935,0.645887680433924
"81",2021-10-01,"Food",284.205,13.9950314917973,283.912,0.134010341662064,0.121365502968503,0.752011317986428
"82",2021-11-01,"Food",285.507,13.9904046935086,286.05,0.064114040929331,0.105389618365773,0.860340471817356
"83",2021-12-01,"Food",286.966,14.0188254820016,287.44,0.0714938703703538,0.0679834382939219,0.88593732981337
"84",2022-01-01,"Food",289.772,13.37,289.959,0.137078344830035,0.122854931078354,0.98064491371245
"85",2022-02-01,"Food",292.794,13.4052584816043,292.912,0.139434244854575,0.136162733351956,1.10978957302721
"86",2022-03-01,"Food",295.728,13.3611980900805,295.809,0.134330035400408,0.132582597576093,1.22976284023729
"87",2022-04-01,"Food",298.711,13.4210486978363,298.379,0.134774028508327,0.116082604286909,1.3066944881017
"88",2022-05-01,"Food",302.038,13.4225664179024,301.879,0.149481703110036,0.157429545787162,1.40786451170575
"89",2022-06-01,"Food",305.041,13.3723362906531,304.867,0.133453297111492,0.132856636124714,1.44548563850886
"90",2022-07-01,"Food",308.532,13.5269719584918,308.22,0.153037873566731,0.147072144845325,1.51689199089855
"91",2022-08-01,"Food",310.875,13.6345282008657,310.664,0.102724175446133,0.107260786018276,1.58022993496662
"92",2022-09-01,"Food",313.142,13.7044801607442,313.101,0.0994273435669069,0.106955891978183,1.57078590915934
"93",2022-10-01,"Food",315.323,13.7441771974574,314.983,0.0954502150161378,0.0823754368798575,1.53233542675796
"94",2022-11-01,"Food",315.857,13.7813725339781,316.55,0.0232757858559101,0.0683755176260821,1.48720970921198
"95",2019-01-01,"Energy",200.563,7.14320935004139,205.54,-0.190622289337973,-0.245095864420755,-0.360202313647865
"96",2019-02-01,"Energy",202.74,7.19035092572484,208.699,0.0775355711424357,0.109785921654086,-0.388097910199865
"97",2019-03-01,"Energy",211.724,7.46685312710021,216.376,0.318625395662976,0.264497309794438,-0.0298167317857958
