ID,Country,City,Line,Phase,Start year,End year,RR?,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform Length (Meters),Source1,Cost,Currency,Year,PPP rate,Real cost,Cost/km (Millions),Cheap?,Clength,Ctunnel,Anglo?,Inflation Index,Real cost (2023 dollars),Cost/km (2023 dollars),Source2,Reference,,
7706,CN,Shenzhen,Line 6,Line 6 Phase 1,2015,2020,0,37.626,34.58%,13.01,24.8358,0,20,138,Plan,"16,800.00",CNY,2017,0.239,4015.2,106.7,0,0,0,0,1.243072781,"4,991.20",132.7,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201707/W020190905497930956563.pdf,,
7713,CN,Shenzhen,Line 12,Line 12 Phase 2,2020,2022,0,8.05,100%,8.05,,,6,138,,"9,094.00",CNY,2021,0.239,2173.47,270,0,0,0,0,1.124486105,"2,444.00",303.6,,https://huacheng.gz-cmc.com/pages/2020/09/02/12217064331742859f82edec5e61f9ff.html,,
7720,CN,Shenzhen,Line 16,Line 16 Phase 2,not started,,0,9.53,100.00%,9.53,0,0,7,138,Plan,"10,995.00",CNY,2020,0.239,2627.81,275.7,0,0,0,0,1.17731472,"3,093.80",324.6,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201707/W020190905497930956563.pdf,,
7769,CN,Beijing,Line 11,Line 11 West,2019,2021,0,4.2,100%,4.2,,,4,138,,"5,715.00",CNY,2020,0.239,1365.89,325.2,0,0,0,0,1.17731472,"1,608.10",382.9,Trade,http://www.rail-transit.com/project/show.php?itemid=360,,
7801,CN,Tianjin,M7,M7 Phase 1,2019,,0,26.53,100%,26.53,,,21,138,,"26,890.00",CNY,2019,0.238,6399.82,241.2,0,0,0,0,1.191839066,"7,627.60",287.5,Trade,http://www.rail-transit.com/project/show.php?itemid=154,,
7811,CN,Guangzhou,Line 12,Line 12,2018,2023,0,37.6,100%,37.6,,,25,138,,"37,500.00",CNY,2020,0.239,8962.5,238.4,0,0,0,0,1.17731472,"10,551.70",280.6,Trade,http://www.rail-transit.com/project/show.php?itemid=252,,
7825,CN,Nanjing,Line 5,Line 5,2021,,0,37.4,100%,37.4,,,30,138,,"33,458.00",CNY,2021,0.239,7996.46,213.8,0,0,0,0,1.124486105,"8,991.90",240.4,Trade,http://www.rail-transit.com/project/show.php?itemid=105,,
7834,CN,Nanjing,Line 1,Line 1 Northern Extension,2021,,0,6.54,92%,6.04,,,5,138,,"8,180.00",CNY,2021,0.239,1955.02,298.9,0,0,0,0,1.124486105,"2,198.40",336.1,Trade,http://www.rail-transit.com/project/show.php?itemid=265,,
7835,CN,Hangzhou,Line 10,Line 10 Phase 1,,2021,0,15.184,100%,15.184,,,12,138,,"15,702.00",CNY,2021,0.239,3752.78,247.2,0,0,0,0,1.124486105,"4,219.90",277.9,Trade,http://www.rail-transit.com/project/show.php?itemid=133,,
7850,CN,Nanjing,Line 10,Line 10 Phase 2,2020,2023,0,13.33,100%,13.33,,,10,138,,"10,508.00",CNY,2021,0.239,2511.41,188.4,0,0,0,0,1.124486105,"2,824.00",211.9,Trade,http://www.rail-transit.com/project/show.php?itemid=359,,
7881,CN,Wuhan,Line 5,Line 5,2017,2021,0,33.59,75%,25.33,,,26,138,,"23,266.00",CNY,2019,0.238,5537.31,164.8,0,0,0,0,1.191839066,"6,599.60",196.5,Trade,http://www.rail-transit.com/project/show.php?itemid=200,,
7912,CN,Guangzhou,Line 8,Line 8 Northern Extension,2017,2023,0,20,57%,11.3,,,9,138,,"15,083.00",CNY,2020,0.239,3604.84,180.2,0,0,0,0,1.17731472,"4,244.00",212.2,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201703/W020190910670680927090.pdf,,
7914,CN,Hangzhou,Line 8,Line 8 Phase 1,2018,2022,0,17.1,100%,17.1,,,9,138,,"13,526.00",CNY,2020,0.239,3232.71,189,0,0,0,0,1.17731472,"3,805.90",222.6,Trade,http://www.rail-transit.com/project/show.php?itemid=134,,
7977,CN,Chengdu,Line 10,Line 10 Phase 3,2019,2025,0,5.5,100.00%,5.5,0,0,4,138,Plan,"3,716.00",CNY,2019,0.238,884.41,160.8,0,0,0,0,1.191839066,"1,054.10",191.6,Plan,https://www.ndrc.gov.cn/xxgk/zcfb/ghwb/201908/W020190905497973740066.pdf,,
8002,CN,Taiyuan,Line 1,Line 1 Phase 1,2021,,0,28.737,100%,28.737,,,24,138,,"22,458.70",CNY,2021,0.239,5367.63,186.8,0,0,0,0,1.124486105,"6,035.80",210,Trade,http://www.rail-transit.com/project/show.php?itemid=159,,
8017,CN,Zhengzhou,Line 10,Line 10 Phase 1,2019,2024,0,21.3,100%,21.3,,,12,138,,"13,823.00",CNY,2021,0.239,3303.7,155.1,0,0,0,0,1.124486105,"3,715.00",174.4,Trade,http://www.rail-transit.com/project/show.php?itemid=142,,
8025,CN,Zhengzhou,Line 8,Line 8 Phase 1,2019,2024,0,50.63,100%,50.63,,,27,138,,"31,019.49",CNY,2021,0.239,7413.66,146.4,0,0,0,0,1.124486105,"8,336.60",164.7,Media,https://4g.dahe.cn/news/20191106554486,,
8027,CN,Zhengzhou,Line 3,Line 3 Phase 2,2021,,0,6.305,100%,6.305,,,4,138,Trade,"3,573.00",CNY,2021,0.239,853.95,135.4,0,0,0,0,1.124486105,960.3,152.3,Trade,http://www.rail-transit.com/project/show.php?itemid=458,,
8106,CN,Wuhan,Line 16,Line 16,2020,,0,33,38%,12.7,,,12,138,,"16,974.00",CNY,2020,0.239,4056.79,122.9,0,0,0,0,1.17731472,"4,776.10",144.7,Trade,http://www.rail-transit.com/project/show.php?itemid=184,http://www.gov.cn/xinwen/2019-01/06/5355294/files/c3d503decf1d4b6b924324b210ee0f1a.pdf,
8154,CN,Lanzhou,Line 2,Line 2 Phase 1,2021,,0,9.6,100%,9.6,,,9,138,,"8,960.00",CNY,2021,0.239,2141.44,223.1,0,0,0,0,1.124486105,"2,408.00",250.8,Trade,http://www.rail-transit.com/project/show.php?itemid=241,,
8155,CN,Lanzhou,Line 1,Line 1 Phase 1,,2019,0,25.9,100%,25.9,,,20,138,,"19,816.00",CNY,2019,0.238,4716.21,182.1,0,0,0,0,1.191839066,"5,621.00",217,Trade,http://www.rail-transit.com/project/show.php?itemid=419,,
9461,CN,Shanghai,Line 15,Line 15,2016,2021,0,42.3,100%,42.3,,,30,138,,"47,683.00",CNY,2019,0.238,11348.55,268.3,0,0,0,0,1.191839066,"13,525.60",319.8,Trade,http://www.rail-transit.com/project/show.php?itemid=287,,
9485,CN,Shenzhen,Line 8,Line 8 Phase 2,2019,2024,0,8.023,100%,8.023,,,4,138,,"6,316.00",CNY,2021,0.239,1509.52,188.1,0,0,0,0,1.124486105,"1,697.40",211.6,Trade,http://www.rail-transit.com/project/show.php?itemid=354,,
9493,CN,Chengdu,Line 8,Line 8 Phase 1,2021,,0,29.1,100%,29.1,,,25,138,,"23,757.00",CNY,2019,0.238,5654.166,194.3,0,0,0,0,1.191839066,"6,738.90",231.6,Plan,rail-transit.com/project/show.php?itemid=77,https://www.ndrc.gov.cn/xxgk/zcfb/tz/201607/W020190905517098302181.pdf,
9499,CN,Chengdu,Line 10,Line 10 Phase 2,2016,2020,0,26.7,38.95%,10.4,16.554,0,9,138,Plan,"13,156",CNY,2016,0.251,3302.156,123.7,0,0,0,0,1.269554638,"4,192.30",157,Plan,https://www.ndrc.gov.cn/fggz/zcssfz/zdgc/201607/W020190910671924062945.pdf,,
,CN,Wenzhou,S3,S3 Phase 1,2022,,0,31.17,9%,2.8,,,12,138,,"12,240.00",CNY,2021,0.239,2925.36,93.9,0,0,0,0,1.124486105,"3,289.50",105.5,,https://www.163.com/dy/article/GT2J4GU20545AOQT.html,,
,CN,Fuzhou,F1,F1 Express Line,2021,,0,62.4,76%,47.2,,,15,138,,"39,890.00",CNY,2021,0.239,9533.71,152.8,0,0,0,0,1.124486105,"10,720.50",171.8,,https://new.qq.com/omn/20210613/20210613A08PZJ00.html,,
,CN,Jinan,Line 4,Line 4 Phase 1,2021,,0,40.3,1,40.3,,,33,138,,39900,CNY,2021,0.239,9536.1,236.6,0,0,0,0,1.124486105,"10,723.20",266.1,,http://www.rail-transit.com/project/show.php?itemid=617,,
,CN,Urumqi,Line 4,Line 4 Phase 1,2018,,0,20.556,1,20.556,,,16,138,,"16,787",CNY,2018,0.237,3978.52,193.5,0,0,0,0,1.21343491,"4,827.70",234.9,,http://www.rail-transit.com/project/show.php?itemid=195,,
,CN,Urumqi,Line 2,Line 2,,2021,0,19.35,,,,,16,138,,"16,260",CNY,2021,0.239,3886.14,200.8,0,0,0,0,1.124486105,"4,369.90",225.8,,http://www.rail-transit.com/project/show.php?itemid=130,,
,CN,Urumqi,Line 1,Line 1,2014,2019,0,27.615,100%,27.615,,,21,138,,"21,694.00",CNY,2017,0.239,5184.87,187.8,0,0,0,0,1.243072781,"6,445.20",233.4,,http://www.rail-transit.com/project/show.php?itemid=428,https://web.archive.org/web/20191106163139/http://www.bjgdjs.com/html/2019-09/797.html,
,CN,Shijiazhuang,Line 1,Line 1 Phase 2,2012,2021,0,12.7,100%,12.7,,,7,138,,"7,731.00",CNY,2016,0.251,1940.48,152.8,0,0,0,0,1.269554638,"2,463.50",194,,http://www.rail-transit.com/project/show.php?itemid=196,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201601/W020190910670584360634.pdf,
,CN,Shijiazhuang,Line 3,Line 3 Phase 2,2012,2021,0,8.1,100%,8.1,,,5,138,,"5,465.00",CNY,2016,0.251,1371.72,169.3,0,0,0,0,1.269554638,"1,741.50",215,,http://www.rail-transit.com/project/show.php?itemid=226,https://www.ndrc.gov.cn/fggz/zcssfz/zcgh/201601/W020190910670584360634.pdf,
,CN,Shijiazhuang,First,First,2012,2020,0,59.6,100%,59.6,,,52,138,,"42,190.00",CNY,2016,0.251,10589.69,177.7,0,0,0,0,1.269554638,"13,444.20",225.6,,http://www.gov.cn/jrzg/2012-09/28/content_2235330.htm,,
,CN,Taiyuan,Line 3,Line 3,2018,,0,30.523,100%,30.523,,,25,138,,"24,300.00",CNY,2018,0.237,5759.1,188.7,0,0,0,0,1.21343491,"6,988.30",229,,http://www.rail-transit.com/project/show.php?itemid=260,,
,CN,Zhengzhou,Line 3,Line 3 Phase 1,2017,2020,0,25.487,100%,25.487,,,21,138,Trade,"20,608.00",CNY,2019,0.238,4904.7,192.4,0,0,0,0,1.191839066,"5,845.60",229.4,Trade,http://www.rail-transit.com/project/show.php?itemid=192,,
,CN,Beijing,Line M101,Line M101,2022,2027,0,19,100%,19,,,14,138,,"18,753.93",CNY,2021,0.239,4482.19,235.9,0,0,0,0,1.124486105,"5,040.20",265.3,,https://web.archive.org/web/20220515142603/https://www.rails.cn/download/2022/20220418_%E9%99%84%E4%BB%B61%EF%BC%9A%E5%8C%97%E4%BA%AC%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9AM101%E7%BA%BF%E4%B8%80%E6%9C%9F%E5%B7%A5%E7%A8%8B%E7%8E%AF%E5%A2%83%E5%BD%B1%E5%93%8D%E6%8A%A5%E5%91%8A%E4%B9%A6%EF%BC%88%E5%BE%81%E6%B1%82%E6%84%8F%E8%A7%81%E7%A8%BF%EF%BC%89.pdf,,
,CN,Chengdu,Line 10,Line 10 Phase 1,2013,2020,0,10.9,100%,10.9,,,5,138,,"5,520.00",CNY,2017,0.239,1319.28,121,0,0,0,0,1.243072781,"1,640.00",150.5,,https://www.ndrc.gov.cn/fggz/zcssfz/zdgc/201505/t20150518_1146000.html,,
,CN,Chengdu,Line 7,Line 7,2013,2020,0,38.6,100%,38.6,,,31,138,,"27,010.00",CNY,2017,0.239,6455.39,167.2,0,0,0,0,1.243072781,"8,024.50",207.9,,https://www.ndrc.gov.cn/fggz/zcssfz/zdgc/201505/t20150518_1146000.html,,
