Selected Geographies,Total,"N/A (not a worker-not in the labor force, including persons under 16 years; unemployed; employed, with a job but not at work; Armed Forces, with a job but not at work)","Car, truck, or van",Bus,Subway or elevated rail,Long-distance train or commuter rail,"Light rail, streetcar, or trolley",Ferryboat,Taxicab,Motorcycle,Bicycle,Walked,Worked from home,Other method
NYC-Queens Community District 14--The Rockaways PUMA; New York,10547,0,4816,1653,3583,197,0,177,0,0,0,121,0,0
Nassau County (West Central)--Hempstead Town (Northwest) PUMA; New York,7867,0,2442,358,2964,1969,0,0,0,0,0,22,0,112
"NYC-Queens Community District 11--Auburndale, Bayside, & Douglaston PUMA; New York",6948,0,1886,1204,2577,1177,0,0,0,0,0,0,0,104
Nassau County (Central)--Hempstead Town (East Central) PUMA; New York,6766,0,1099,0,2399,3141,0,0,0,0,0,127,0,0
Nassau County (South Central)--Hempstead Town (Southeast) PUMA; New York,6169,0,708,133,2344,2984,0,0,0,0,0,0,0,0
Westchester County (South Central East)--Mount Vernon City PUMA; New York,12648,0,2908,1020,2284,6085,119,0,69,0,0,0,0,163
Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA; New York,7784,0,597,165,2219,4344,380,0,0,0,0,0,0,79
Essex County (Southeast)--Newark (North & East) PUMA; New Jersey,5543,0,1618,500,2163,743,88,0,0,0,0,0,0,431
"Hudson County (South & West)--Bayonne, Kearney & Harrison PUMA; New Jersey",5905,0,2059,228,2152,167,940,54,0,0,0,305,0,0
Nassau County (West Central)--Hempstead Town (West Central) PUMA; New York,7563,0,3739,367,1816,1531,0,0,58,0,0,52,0,0
Nassau County (West Central)--North Hempstead Town (South) PUMA; New York,7941,0,2561,244,1804,3332,0,0,0,0,0,0,0,0
Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA; New York,8147,0,2598,1851,1770,1857,0,0,0,0,0,0,0,71
Westchester County (Southeast)--White Plains & Rye City PUMA; New York,9239,0,1643,764,1717,4797,221,0,97,0,0,0,0,0
NYC-Staten Island Community District 1--North Shore PUMA; New York,16493,0,3117,6386,1627,0,37,4834,0,0,0,321,0,171
Nassau County (Northwest)--North Hempstead Town (North) PUMA; New York,10482,0,1537,552,1557,6042,176,618,0,0,0,0,0,0
Essex County (Southwest)--West Orange & Livingston PUMA; New Jersey,5837,0,975,943,1472,2288,159,0,0,0,0,0,0,0
Suffolk County (East) PUMA; New York,3871,0,1298,742,1283,104,0,0,187,0,56,201,0,0
NYC-Staten Island Community District 2--Mid-Island PUMA; New York,11240,0,3132,5707,1166,0,0,1179,56,0,0,0,0,0
Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA; New York,5454,0,895,0,1094,3438,0,0,0,0,0,27,0,0
NYC-Staten Island Community District 3--South Shore PUMA; New York,10295,0,2249,5855,954,78,0,1159,0,0,0,0,0,0
Western Central PUMA; Connecticut,5232,0,469,0,891,3840,32,0,0,0,0,0,0,0
Westchester County (Northwest) PUMA; New York,7772,0,2269,376,830,4297,0,0,0,0,0,0,0,0
"Bergen County (Southwest)--Rutherford, North Arlington & Hasbrouck Heights PUMA; New Jersey",5317,0,1253,2135,788,1141,0,0,0,0,0,0,0,0
Nassau County (East Central)--Oyster Bay Town (Central) PUMA; New York,6560,0,2175,395,785,3205,0,0,0,0,0,0,0,0
Union County (Northeast)--Elizabeth PUMA; New Jersey,4414,0,1427,1216,782,777,0,212,0,0,0,0,0,0
