year,Catetory,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1992,65-74,100,100,96.767746,91.181801,88.868523,31.133701,13.781815,7.5051708,16.186863,14.292075,39.440403,5.8055596,35.054119,10.271255,30.239693,91.636147,79.329926,86.090927,17.853403,11.471082,10.39017,6.37573,83.072502,51.434429,18.523275,3.1469884,22.937082,1.0447644,32.052937,6.0221086,17.224678,3.3774388,14.781873,2.0002356,8.5298815
1992,75 or older,100,100,97.518341,92.068794,91.817093,37.710217,14.290311,8.5094223,19.412445,14.431102,34.903709,5.9385295,6.3017778,6.3310385,25.703579,91.278366,77.245895,72.973618,11.305595,6.8709078,4.5596519,8.0168114,81.236359,31.576237,8.5683832,0.65989918,8.267252,1.0797318,20.060671,4.4402609,8.5582619,0.010120718,4.5702538,0.002786281,3.6969981
1995,Less than 35,100,100,94.4161,87.022728,80.942703,7.2123327,20.358261,0.59986407,10.787566,8.0465164,22.810673,1.58687,40.918091,14.131482,36.698627,87.088554,37.894032,83.842186,4.2901869,3.5148318,9.5549049,6.8617887,47.340454,83.478958,32.973808,2.0998898,62.451576,2.6812806,54.646828,7.437387,32.942486,1.3603913,40.131927,24.368952,22.796167
1995,35-44,100,100,96.191933,92.3218,87.58149,8.1303968,30.969593,1.6706526,14.590087,11.151339,29.340811,3.5086801,54.769947,11.221705,46.548588,90.629379,64.711563,84.727921,9.8501883,6.901258,16.731817,9.6445007,69.007896,86.975311,54.253162,5.0054474,59.849098,2.1154032,55.922421,10.507641,53.972942,3.3688288,41.648365,12.955018,22.774822
1995,45-54,100,100,97.306572,93.001526,89.179054,12.477993,25.309595,4.4796495,17.701738,16.313148,38.394569,2.9722836,57.444401,13.313235,49.044544,93.645042,75.341103,88.157959,16.295977,14.299769,17.989759,11.033283,78.658936,86.285179,61.788464,8.4369192,53.26659,2.1591873,56.40823,12.954147,61.1367,5.1153712,37.942177,11.329433,17.553812
1995,55-64,100,100,96.429756,91.161797,88.769997,17.105612,20.321552,3.1136234,14.977736,16.271547,37.397068,7.6691895,50.955418,11.356626,40.099884,93.911903,82.007286,88.431824,19.992535,13.253564,13.326074,8.0568743,83.434906,73.682335,45.228893,8.4251184,34.808643,1.6564935,43.169106,7.7963901,44.083752,3.7427166,28.056829,4.0528846,8.6985416
1995,65-74,100,100,97.717789,92.979523,91.651711,23.987186,16.968351,5.6509471,18.633852,14.991561,37.518093,5.9241104,36.637489,10.966073,34.560738,92.579399,79.497734,82.517654,16.277042,15.541,9.9168997,7.9631476,81.71666,53.355713,24.691231,3.5137029,16.538687,1.3492329,30.483469,5.357264,23.917553,1.5760186,11.836918,1.3618172,4.8557568
1995,75 or older,100,100,98.385452,94.201591,93.182625,34.689735,15.326377,6.9601359,19.718218,10.255999,35.812443,5.2410131,15.859838,5.9817634,27.941727,89.92984,72.81707,72.210556,11.636837,6.652873,4.9620709,5.0037489,77.61306,28.358168,6.7766609,1.0493819,8.7599783,0.004796901,17.485029,2.8587751,4.9236875,1.8529735,4.6211319,1.712906,3.3124063
1998,Less than 35,100,100,94.806015,88.759453,84.749413,6.2020507,17.147575,1.003994,13.126338,12.197805,18.060148,1.8799136,39.81168,10.394632,40.802116,83.287926,38.919724,78.284058,3.4859929,2.7426121,7.7817206,7.1555896,48.39756,81.164314,33.223709,1.8441737,59.961632,2.3550298,50.737408,9.6162605,32.940712,1.3818899,36.869976,23.247129,19.802525
1998,35-44,100,100,97.615288,93.314293,90.473747,9.3890848,24.906122,1.4786755,18.902353,16.009876,29.01969,3.8768964,59.730434,11.963454,56.722927,92.050316,67.061462,85.794533,12.543206,7.1670504,15.46908,8.6018209,70.979576,87.597847,58.673321,6.5518541,53.292706,3.6151695,51.331623,11.434526,58.06139,5.3356991,39.195374,12.882425,16.017485
1998,45-54,100,100,96.730804,95.29335,94.141068,11.790047,21.752119,2.7878177,22.576487,22.956205,32.868641,6.5000892,59.325348,9.443471,58.717972,92.946571,74.412567,87.500893,16.293085,11.880252,19.249773,8.7583189,80.047707,87.026321,58.816479,6.5570965,51.389843,3.599714,52.471306,11.130586,57.575718,7.8945417,40.132221,10.183755,12.780509
1998,55-64,100,100,98.239052,95.634941,93.940468,18.772776,18.098215,3.6735282,25.156235,15.175216,35.985703,6.7142901,58.321354,8.6735735,56.064304,93.857193,80.325806,88.70726,20.40897,10.35942,16.191584,8.144331,81.988655,76.220474,49.322857,7.8056903,37.855263,1.6072872,45.638916,8.2626324,47.012962,6.5028176,29.116413,5.5562568,7.616076
1998,65-74,100,100,98.529449,95.553795,94.0634,29.946884,16.059269,7.1679668,21.052191,18.046246,39.125546,11.797935,46.12447,8.6299906,42.650574,92.004028,81.466858,83.381287,18.41684,14.861535,10.585024,9.3167315,83.061966,51.43787,26.023354,5.1593423,20.166765,0.26240706,29.186831,4.1461477,24.725056,2.0410182,16.590443,1.6875199,6.2117977
1998,75 or older,100,100,96.374939,92.143967,90.013908,35.929787,12.00296,5.9483171,17.972168,15.074953,32.569241,11.596639,16.726028,7.0786824,29.363356,86.820374,76.990845,69.798172,14.027963,7.6814184,3.0276737,6.3141785,78.983101,24.570614,11.546248,1.8432107,4.18784,8.47E-05,11.190936,2.0064902,9.109189,3.1472797,4.1178837,0.069894306,0.27822042
2001,Less than 35,100,100,93.185204,89.72168,87.106071,6.3389602,12.736388,0.40430704,17.400871,11.480943,15.024162,2.112551,45.316761,10.67617,49.677776,83.030647,39.870975,78.770981,3.4099712,2.8001757,8.1179438,6.6202812,47.993473,82.703545,35.731689,2.6985662,63.812984,1.7187207,49.623081,8.7567511,35.6008,2.93995,44.99094,25.998905,18.138247
2001,35-44,100,100,97.447464,93.469917,91.107254,9.811079,22.602774,2.099946,21.596306,17.488647,27.01911,3.1346543,61.599972,9.8798218,60.665775,93.153023,67.799866,88.895203,9.4040756,7.2389436,15.53886,7.4691997,73.714149,88.613937,59.556549,4.8850269,57.128521,1.7344581,54.119144,8.0278645,58.682407,4.8154936,46.040562,11.899663,14.077218
2001,45-54,100,100,98.116249,94.704002,92.711723,15.239693,21.118368,2.9125376,22.085548,20.263407,31.098398,6.4097733,63.688572,9.1259022,60.208599,95.224586,76.254623,90.498421,14.79358,10.033037,19.451355,6.4898677,78.485977,84.582939,59.814419,6.4271798,45.868286,1.4709734,50.422516,7.442276,58.730217,7.241785,37.810192,10.743559,8.7830687
2001,55-64,100,100,98.440025,95.213036,93.75647,14.449245,14.276214,6.0868049,26.64883,21.274946,35.757088,12.999396,59.800316,10.972135,58.710373,95.418785,83.192741,90.745209,18.561014,12.016233,18.747511,7.4874682,85.815102,75.586464,48.97374,7.6527033,39.746273,3.0922141,41.625694,7.4222794,45.270256,7.2400317,31.884865,5.1896863,8.9422646
2001,65-74,100,100,97.115517,94.594803,93.759018,29.698057,11.262821,3.9347823,20.453432,19.854059,36.707432,11.870499,45.094433,8.7439537,40.021534,91.605385,82.532585,81.31691,13.64237,12.820318,13.050762,9.4690437,84.836723,56.777954,31.998661,3.4432843,21.064535,0.17631395,29.959007,5.0005517,30.142771,4.3765612,14.969949,0.62413883,6.727994
2001,75 or older,100,100,97.782013,95.384674,93.688095,36.537315,12.496324,5.7728405,21.820395,19.495707,33.298992,11.228968,27.691534,8.1518106,35.698914,86.44696,76.230026,73.86557,15.227015,8.323514,3.3580418,5.2801771,78.384285,29.190041,9.4763737,1.9551609,9.4609251,0.38096812,18.359615,3.5651016,8.4091902,1.0671842,7.9079409,0.090643831,1.5453684
2004,Less than 35,100,100,96.528374,90.148178,86.400291,5.5997934,15.250938,0.21268511,13.256482,8.3329639,11.001782,2.9390512,40.245464,11.581461,40.823666,88.559166,41.573963,82.938164,5.1069031,3.2731762,8.4810972,5.5186372,49.95459,79.78093,37.711597,1.9259607,59.441856,2.1974905,47.469822,6.2158337,37.711597,3.5448565,41.261131,28.294458,13.305591
2004,35-44,100,100,97.664421,93.596123,90.802895,6.6807456,23.288065,0.60563147,18.476042,12.271202,20.106314,3.6716499,55.892971,10.042521,54.459095,92.950165,68.284004,89.355614,9.381794,6.4370518,15.446094,5.995522,71.783806,88.556107,62.847351,4.0371623,55.730564,1.5210598,58.839088,11.304636,62.189335,10.507274,45.531841,14.518741,10.278335
2004,45-54,100,100,98.3423,93.606094,91.799416,11.884741,21.045139,1.8074286,23.218266,18.219187,26.010548,6.1532216,58.21381,12.68162,56.568813,94.737709,77.273445,88.802223,16.18681,11.444442,18.218538,9.1443377,79.942032,88.417603,64.649612,6.333282,50.187248,2.8757339,54.045422,9.3814831,62.459942,13.139915,39.008068,12.600286,8.4129992
2004,55-64,100,100,97.502518,95.208626,93.224388,18.072945,15.177566,3.2726247,29.129522,20.629471,32.147778,9.4152651,63.474125,7.5534616,63.190937,92.616882,79.116936,88.608009,19.976204,12.312,17.834177,8.8728199,82.439613,76.341507,50.980915,6.1157498,42.841385,0.71031314,42.142002,8.3607111,46.304127,11.701443,34.741405,8.6621408,6.4436817
2004,65-74,100,100,99.505531,96.483528,93.9384,19.942141,14.885233,4.3108096,25.430573,18.628626,34.777966,12.837476,43.222149,8.4263334,46.911991,95.642899,81.326225,89.071503,19.918238,10.586677,10.254147,8.7131901,82.552849,58.757,32.114429,3.1925206,27.491287,0.43399432,31.906399,4.0112896,29.084923,6.4220185,24.185259,0.79125518,4.5982637
2004,75 or older,100,100,99.615372,97.621948,96.388474,25.73601,11.043441,2.9938412,18.43301,16.623365,34.016907,16.679089,29.203659,8.574585,34.797066,92.538338,85.190285,76.870056,9.7294645,7.6765089,6.4610529,8.0538816,86.25116,40.338566,18.723139,1.5296804,13.865803,0.10369409,23.534924,2.5297565,15.720293,4.0446939,10.540379,1.0427982,2.6244617
2007,Less than 35,100,100,97.084526,89.199867,87.278038,6.695621,13.672849,0.25544772,13.725988,5.2778292,11.431558,0.81138355,42.051086,10.033772,41.553268,88.163071,40.637108,85.369537,5.4311366,3.361378,8.0362511,5.8435135,46.517284,83.589882,37.311554,3.3173211,65.206383,2.1402578,48.494057,5.8702126,37.15049,4.0334058,44.328545,33.609188,13.70295
2007,35-44,100,100,96.869568,93.093262,91.151863,8.9961691,16.7908,0.72947502,17.040491,11.623601,17.46278,2.1717994,57.796364,9.4180651,55.918457,91.28952,66.123779,87.524628,12.163739,7.3737826,18.151594,5.5438027,71.298271,86.223152,59.50111,6.4687867,56.320557,2.1998081,51.674377,7.4519114,59.311111,8.7626266,42.56369,14.710268,14.561848
2007,45-54,100,100,97.630142,93.322525,91.728363,14.287929,19.023682,1.1411262,18.677994,12.591682,22.252131,5.0784879,65.442337,10.826182,63.087635,94.970947,77.318283,90.259354,15.665448,9.4825754,17.178003,8.4011421,79.583412,86.83062,65.533577,7.950151,51.871735,1.9056646,53.588207,9.7590046,63.789276,11.727871,39.06493,14.526581,10.911944
2007,55-64,100,100,99.090919,97.767609,96.425529,20.542492,16.206617,2.1190255,21.312054,14.303392,35.182693,7.6722279,61.214275,9.6068516,60.825806,95.589653,81.024109,92.162285,20.761478,11.576781,18.057632,8.1842432,83.059074,81.769119,55.31781,7.8104544,44.607227,1.1503192,49.949085,8.7175121,50.156647,12.632235,35.236679,10.580812,8.8454018
2007,65-74,100,100,98.420898,96.067627,94.633179,24.237875,10.339247,4.2234802,19.091084,14.607461,34.436363,13.167088,51.698696,9.6784067,53.114143,94.508278,85.471794,90.55072,18.521914,12.744764,11.161149,8.7576752,87.038887,65.507072,42.862675,5.024765,26.090141,1.5040594,37.046413,4.3587146,35.455784,9.6236153,21.614687,1.7083826,5.9621496
2007,75 or older,100,100,98.059784,97.409492,95.252495,36.976448,7.9456453,3.4732511,20.182585,13.222988,27.593506,14.023016,29.977041,5.9543538,40.216827,87.282379,77.024376,71.548027,13.035889,7.2099323,4.470181,5.096149,79.849457,31.439676,13.921961,0.55342382,7.0331264,0.80943686,18.773689,1.2901986,10.97362,3.3986158,6.0719256,0.33722001,0.96120059
2010,Less than 35,100,100,95.516396,91.304382,88.983734,5.7311316,10.037573,0.30861241,10.071425,3.5990424,9.6418629,0.89972365,41.116272,9.130538,39.761673,82.754494,37.51202,79.380867,4.5579886,2.2569208,8.4361115,6.1137586,43.347118,77.799126,34.033413,2.8916495,61.881779,1.7995346,38.724758,5.4641509,33.917599,2.2547331,32.158546,40.034954,12.831706
2010,35-44,100,100,97.367836,92.716324,90.595421,5.7343388,11.621183,0.37179071,12.113459,7.6839156,12.301354,1.9675522,52.171127,8.5772266,50.033978,92.619476,63.79105,88.928856,9.7231045,3.9247849,11.139604,3.9255071,66.650101,86.048019,57.579922,5.0772333,59.988811,2.1760461,45.65918,8.6141014,57.295017,5.5697627,40.813499,26.177429,14.709916
2010,45-54,100,100,98.279343,94.189423,92.523788,9.9461403,14.962444,1.3761656,15.991347,9.5662994,19.823071,4.4655151,59.96365,7.8639121,57.91283,94.694176,75.174789,90.961182,16.971136,7.4458776,16.766167,6.3872409,76.872086,84.079437,60.404625,7.6526194,49.904976,2.6549566,46.240341,9.745244,58.493328,10.917331,35.946819,17.47364,12.465878
2010,55-64,100,100,98.25518,95.749504,94.156693,14.607706,14.275874,2.4340546,19.439571,11.255696,25.72381,7.7070913,59.792587,9.6513672,59.692638,94.415405,78.064575,90.258194,22.095732,12.294051,19.598951,8.7686443,80.12471,77.702728,53.647446,7.6079569,40.760654,3.0288477,41.369473,6.7346597,50.586212,10.597068,28.250626,9.3068762,12.560229
2010,65-74,100,100,97.11969,96.173973,95.755173,20.551201,9.0918884,3.439748,16.071192,11.079365,28.415644,11.39766,48.922688,9.4416943,45.482918,92.568642,82.573906,86.488045,22.751637,10.991711,15.825566,9.1898527,84.436234,65.206551,40.495106,5.0131798,30.378174,1.1786567,31.910301,2.3410516,36.599598,8.6967649,22.825857,3.9959443,8.3379574
2010,75 or older,100,100,98.73671,96.3461,96.3461,27.191851,10.084689,3.5952456,19.999428,11.827459,32.426186,14.070872,32.73999,5.6654649,41.887238,92.969177,81.874786,83.369888,14.83047,13.488596,6.0350094,5.0527768,83.068863,38.529873,24.177132,2.8432744,12.272046,0.5147801,21.685728,2.0121632,21.1894,4.8727202,8.1586676,1.2363441,4.3211203
2013,Less than 35,100,100,97.138168,92.586632,90.239571,5.2065811,8.9915695,0.40306079,7.1506648,4.2004476,9.2039585,1.2534927,39.2836,9.1943398,38.594868,84.921936,35.557819,82.697212,4.6639881,1.7946312,6.4521794,5.1037216,40.44899,77.129768,28.631006,2.3772333,63.491547,2.0565045,36.761684,5.7103124,28.631006,0.73647779,35.24786,41.433155,12.027774
2013,35-44,100,100,97.535889,93.051514,91.756035,4.3833866,12.509319,0.63788354,14.285104,6.3100657,13.290142,2.022048,55.391109,5.4380779,53.928394,92.754509,61.709782,89.850891,9.4678879,5.6342192,15.56093,4.4009972,64.192047,84.792595,53.450546,5.0252562,58.228268,2.5617652,41.657513,7.6597686,52.695202,5.2374067,37.035667,28.652191,11.547413
2013,45-54,100,100,97.865692,93.334717,91.790207,6.6905956,10.39631,0.64416504,14.721249,8.2155476,17.115896,3.9159777,56.518463,9.0103273,54.871082,91.78688,69.058342,87.697517,15.887877,6.9261975,14.624858,6.9918332,72.000107,82.299362,56.133812,7.8900585,52.829063,1.676348,44.312611,9.6792355,55.251595,5.7261343,36.502514,18.44232,11.478267
2013,55-64,100,100,98.066917,95.683601,94.579445,5.7612929,10.775638,1.6040508,15.497586,10.612576,24.42388,7.0651417,59.331459,7.4897823,57.163742,92.924606,74.241119,89.232376,18.58824,8.6679211,15.453103,7.4398837,75.869347,78.65033,48.882336,7.7898035,43.290344,1.7294195,43.413586,7.7368503,45.845528,8.828907,30.779976,12.00069,11.284471
2013,65-74,100,100,98.883499,97.405579,97.077911,11.673981,9.4290066,3.9680102,18.388754,11.745141,29.372725,11.902675,48.03352,8.1865692,49.178421,95.920616,85.80014,89.449738,21.532476,13.914671,11.035649,10.420507,86.152267,66.436127,42.171886,4.7968268,29.313114,2.1462367,32.751324,4.1556053,38.882244,6.7727771,24.432978,3.079778,6.4853544
2013,75 or older,100,100,98.985039,97.159012,96.673759,18.824034,6.8475914,2.6979017,15.263124,10.267881,30.374411,9.1918135,28.988558,5.4728565,34.523132,89.627304,80.16993,75.993996,12.346023,9.2953138,4.3544459,6.0300107,80.494354,41.351791,19.852028,2.7072136,15.666273,0.6720286,21.107033,1.9771318,18.622461,2.293534,10.744369,0.97065526,5.3104143
2016,Less than 35,100,100,99.134361,98.066071,97.665733,2.3601758,5.7945719,0.26452547,9.9935579,4.8393888,9.2609644,1.3596076,42.204544,9.5085335,41.071911,84.166,33.132359,80.159737,4.1395235,2.1439185,5.5742407,4.9297614,38.806423,80.971825,28.286634,2.283952,67.538277,1.8848532,45.35704,4.0233788,28.146339,0.29275414,38.696598,44.758068,15.616266
2016,35-44,100,100,98.687927,97.906151,97.336029,4.6522827,10.187716,0.698883,11.389926,6.9180431,12.640837,1.7160095,56.701397,6.9839368,55.744804,91.265602,57.799522,86.726395,11.847808,3.9566286,15.037257,3.6781404,63.146339,86.247917,50.085197,6.5869198,64.175362,2.5709171,49.125771,5.9258718,49.624138,2.8507392,44.305058,34.31007,14.813415
2016,45-54,100,100,99.896637,98.95369,98.462654,4.6120305,9.3036203,0.57475829,14.551664,9.9434938,18.417191,2.6020813,59.75272,8.354455,57.374725,93.550674,68.787758,89.128281,13.26053,5.3846145,17.250401,5.9992318,73.442848,86.579147,53.5196,6.5148106,55.19722,2.2265406,52.280754,8.2158508,52.146358,5.412571,37.765484,23.658243,11.407979
2016,55-64,100,100,99.465538,98.593582,97.975555,6.7287755,8.567112,1.5785443,15.506474,12.637586,23.427443,6.4127021,59.253429,9.4364367,57.521477,91.309021,73.724236,86.107124,19.506414,9.0013866,17.334217,6.2102175,76.01239,77.07296,49.026402,9.0346956,44.975597,1.9389417,41.414543,6.9746261,45.826176,7.4747639,32.428707,12.889834,8.8253651
