year,Category,Before_Tax_Income,Net_Worth,Assets,Financial_Assets,Transaction_Accounts,Certificates_of_Deposit,Savings_Bonds,Directly_Held_Bonds,Directly_Held_Stocks,Pooled_Investment_Funds,Cash_Value_Life_Insurance,Other_Managed_Assets,Retirement_Accounts,Other_Financial_Assets,Stock_Holdings,Nonfinancial_Assets,Primary_Residence,Owned_Vehicles,Other_Residential_Real_Estate,Net_Equity_in_Nonres_Real_Estate,Business_Equity,Other_Non_Financial_Assets,Unrealized_Capital_Gains,Debt,Home_Secured_Debt,Other_Res_Real_Estate_Debt,Installment_Loans,Other_Lines_of_Credit,Credit_Card_Balances,Other_Debt,Mortgages_Home_Equity_Loans,Home_Equity_Lines_of_Credit,Vehicle_Installment_Loans,Education_Installment_Loans,Other_Installment_Loans
1992,65-74,36.100632,204.5034,221.38997,52.835228,7.8734846,41.439392,1.5539773,66.303032,31.079546,62.159092,4.7655301,66.303032,41.439392,14.503788,34.1875,163.47841,142.96591,10.359848,93.23864,85.98674,121.72822,18.647728,91.166664,10.152652,35.223484,35.223484,8.287879,8.287879,1.574697,3.1079545,35.223484,33.514111,8.5572348,12.639015,3.8538637
1992,75 or older,27.606365,180.05417,185.60704,43.614964,8.287879,49.727272,2.2791667,72.518936,51.799244,43.511364,3.9367423,41.439392,58.015152,10.359848,51.799244,145.03787,145.03787,9.2202654,118.20587,38.33144,124.31818,13.467803,74.590912,4.8691287,58.015152,496.29889,6.4231062,2.0719697,1.0359849,5.5943184,58.015152,66.303032,7.0446968,2.5692425,6.4231062
1995,Less than 35,49.552917,23.225122,61.682053,10.548076,2.3225121,10.257762,0.96771342,3.8708537,5.8062806,10.644848,6.773994,8.7094202,11.612561,1.9354268,9.6771336,42.579391,147.09244,17.18659,59.514374,25.934719,27.095976,9.6771336,9.6771336,29.166882,119.99646,48.38567,13.74153,2.7095976,2.5160549,2.9031403,119.99646,12.580275,13.935073,7.7417073,1.9354268
1995,35-44,73.338318,100.83574,213.98079,26.321804,3.8708537,10.257762,1.9354268,21.289696,8.7094202,19.354267,10.257762,21.289696,28.257231,3.8708537,19.354267,186.1687,183.86554,20.709066,90.965057,38.708534,58.062805,19.354267,37.738888,72.09465,116.12561,58.062805,10.741619,3.8708537,3.6773109,3.8708537,116.12561,19.354267,12.580275,6.1933656,3.1934543
1995,45-54,77.302551,179.41406,290.31403,51.888794,5.8062806,23.225122,1.9354268,48.38567,19.354267,40.643963,15.096329,110.31933,54.191952,9.6771336,49.353382,219.45804,193.54268,24.967007,116.12561,38.708534,59.99823,19.354267,61.933659,75.481644,94.835915,58.062805,13.935073,11.612561,3.8708537,5.8062806,94.835915,32.902256,14.515701,10.064219,3.6773109
1995,55-64,65.409851,223.56116,310.63602,63.965855,5.9998231,27.095976,2.9031403,19.354267,36.773109,108.3839,10.257762,96.771339,61.933659,17.41884,59.99823,209.02609,168.38213,21.676781,106.44847,123.48023,96.771339,19.354267,87.094208,40.643963,71.610794,67.739937,9.6771336,6.5417428,2.5160549,7.7417073,71.610794,14.322159,12.386731,7.7417073,1.7418841
1995,65-74,37.660217,214.75496,242.31543,40.837505,6.2514286,38.708534,2.3225121,96.771339,38.708534,105.90656,9.6771336,67.739937,56.127377,17.41884,61.933659,183.09137,164.51128,15.8705,111.67413,82.255638,193.54268,29.031403,100.83574,13.60605,36.773109,63.869083,9.4835911,7.3546219,1.5483414,3.8708537,36.773109,27.095976,11.612561,9.4835911,2.1289694
1995,75 or older,31.713867,179.99469,186.76869,44.708359,9.6771336,25.160549,9.2900486,77.417068,34.837681,97.351967,9.6771336,125.80274,45.482529,58.062805,38.708534,152.89871,154.83414,10.219053,54.191952,14.709244,58.062805,15.483415,96.771339,3.6773109,23.225122,15.483415,6.580451,963.84253,0.6773994,7.7417073,14.322159,56.127377,9.6771336,1.9354268,1.3547988
1998,Less than 35,49.897526,16.592333,52.767265,8.2779331,2.7349999,4.5583334,0.82050002,5.4699998,9.1166668,12.763333,4.9229999,38.290001,12.763333,1.8233334,12.763333,41.389668,153.16,16.227667,77.491669,45.583332,54.700001,9.1166668,14.586667,34.916832,129.45667,68.375,16.592333,1.8233334,2.7349999,3.0996666,129.45667,18.233334,14.951333,18.233334,2.188
1998,35-44,77.61837,115.78167,233.569,41.754333,5.1782665,14.586667,1.2763333,101.01266,21.879999,25.581367,15.498333,45.583332,36.466667,4.5583334,36.466667,188.53267,184.15666,20.785999,82.050003,41.936668,102.10667,14.586667,40.113335,101.4138,127.63333,72.933334,14.039667,2.5526667,3.6466668,5.4699998,127.63333,18.233334,14.222,9.1166668,4.0113335
