Contract,Last,Change,Open,High,Low,Previous,Volume,"Open Int",Time
"CLU30 (Sep '30)",62.56,-1.18,62.56,62.56,62.56,63.74,N/A,N/A,2022-08-18
"CLV30 (Oct '30)",62.52,-1.18,62.52,62.52,62.52,63.7,N/A,N/A,2022-08-18
"CLX30 (Nov '30)",62.47,-1.18,62.47,62.47,62.47,63.65,N/A,N/A,2022-08-18
"CLZ30 (Dec '30)",62.12,-1.18,0,62.12,62.12,63.3,0,6,2022-08-18
"CLF31 (Jan '31)",62.43,-1.18,62.43,62.43,62.43,63.61,N/A,N/A,2022-08-18
"CLG31 (Feb '31)",62.48,-1.18,62.48,62.48,62.48,63.66,N/A,N/A,2022-08-18
"CLH31 (Mar '31)",62.51,-1.18,62.51,62.51,62.51,63.69,N/A,N/A,2022-08-18
"CLJ31 (Apr '31)",62.51,-1.18,62.51,62.51,62.51,63.69,N/A,N/A,2022-08-18
"CLK31 (May '31)",62.48,-1.18,62.48,62.48,62.48,63.66,N/A,N/A,2022-08-18
"CLM31 (Jun '31)",62.07,-1.18,62.07,62.07,62.07,63.25,N/A,N/A,2022-08-18
"CLN31 (Jul '31)",62.39,-1.18,62.39,62.39,62.39,63.57,N/A,N/A,2022-08-18
"CLQ31 (Aug '31)",62.33,-1.18,62.33,62.33,62.33,63.51,N/A,N/A,2022-08-18
"CLU31 (Sep '31)",62.32,-1.18,62.32,62.32,62.32,63.5,N/A,N/A,2022-08-18
"CLV31 (Oct '31)",62.35,-1.18,62.35,62.35,62.35,63.53,N/A,N/A,2022-08-18
"CLX31 (Nov '31)",62.4,-1.18,62.4,62.4,62.4,63.58,N/A,N/A,2022-08-18
"CLZ31 (Dec '31)",62.12,-1.18,0,62.12,62.12,63.3,0,9,2022-08-18
"CLF32 (Jan '32)",62.43,-1.18,0,62.43,62.43,63.61,0,0,2022-08-18
"CLG32 (Feb '32)",62.58,-1.18,0,62.58,62.58,63.76,0,0,2022-08-18
"CLH32 (Mar '32)",62.63,-1.18,0,62.63,62.63,63.81,0,0,2022-08-18
"CLJ32 (Apr '32)",62.65,-1.18,0,62.65,62.65,63.83,0,0,2022-08-18
"CLK32 (May '32)",62.63,-1.18,0,62.63,62.63,63.81,0,0,2022-08-18
"CLM32 (Jun '32)",62.44,-1.18,0,62.44,62.44,63.62,0,0,2022-08-18
"CLN32 (Jul '32)",62.46,-1.18,0,62.46,62.46,63.64,0,0,2022-08-18
"CLQ32 (Aug '32)",62.44,-1.18,62.44,62.44,62.44,63.62,N/A,N/A,2022-08-18
"CLU32 (Sep '32)",62.46,-1.18,62.46,62.46,62.46,63.64,N/A,N/A,2022-08-18
"CLV32 (Oct '32)",62.52,-1.18,62.52,62.52,62.52,63.7,N/A,N/A,2022-08-18
"CLX32 (Nov '32)",62.62,-1.18,62.62,62.62,62.62,63.8,N/A,N/A,2022-08-18
"CLZ32 (Dec '32)",62.37,-1.18,62.37,62.37,62.37,63.55,N/A,N/A,2022-08-18
"CLF33 (Jan '33)",62.49,-1.18,62.49,62.49,62.49,63.67,N/A,N/A,2022-08-18
"CLG33 (Feb '33)",62.66,-1.18,62.66,62.66,62.66,63.84,N/A,N/A,2022-08-18
"Downloaded from Barchart.com as of 08-19-2022 12:12am CDT"
