date,value
2002-12-01,6312
2003-01-01,6300
2003-02-01,6306
2003-03-01,6326
2003-04-01,6305
2003-05-01,6309
2003-06-01,6351
2003-07-01,6331
2003-08-01,6312
2003-09-01,6310
2003-10-01,6306
2003-11-01,6311
2003-12-01,6333
2004-01-01,6320
2004-02-01,6320
2004-03-01,6339
2004-04-01,6350
2004-05-01,6331
2004-06-01,6312
2004-07-01,6324
2004-08-01,6348
2004-09-01,6330
2004-10-01,6323
2004-11-01,6317
2004-12-01,6336
2005-01-01,6360
2005-02-01,6334
2005-03-01,6320
2005-04-01,6342
2005-05-01,6368
2005-06-01,6355
2005-07-01,6365
2005-08-01,6361
2005-09-01,6399
2005-10-01,6382
2005-11-01,6343
2005-12-01,6350
2006-01-01,6369
2006-02-01,6383
2006-03-01,6374
2006-04-01,6357
2006-05-01,6379
2006-06-01,6383
2006-07-01,6389
2006-08-01,6396
2006-09-01,6406
2006-10-01,6421
2006-11-01,6417
2006-12-01,6400
2007-01-01,6381
2007-02-01,6416
2007-03-01,6423
2007-04-01,6436
2007-05-01,6436
2007-06-01,6449
2007-07-01,6443
2007-08-01,6429
2007-09-01,6408
2007-10-01,6420
2007-11-01,6447
2007-12-01,6450
2008-01-01,6424
2008-02-01,6406
2008-03-01,6413
2008-04-01,6426
2008-05-01,6429
2008-06-01,6424
2008-07-01,6406
2008-08-01,6403
2008-09-01,6390
2008-10-01,6396
2008-11-01,6410
2008-12-01,6391
2009-01-01,6394
2009-02-01,6377
2009-03-01,6325
2009-04-01,6327
2009-05-01,6311
2009-06-01,6289
2009-07-01,6287
2009-08-01,6309
2009-09-01,6301
2009-10-01,6287
2009-11-01,6286
2009-12-01,6290
2010-01-01,6314
2010-02-01,6294
2010-03-01,6297
2010-04-01,6285
2010-05-01,6281
2010-06-01,6285
2010-07-01,6302
2010-08-01,6304
2010-09-01,6319
2010-10-01,6307
2010-11-01,6286
2010-12-01,6307
2011-01-01,6319
2011-02-01,6329
2011-03-01,6287
2011-04-01,6287
2011-05-01,6285
2011-06-01,6282
2011-07-01,6284
2011-08-01,6277
2011-09-01,6289
2011-10-01,6285
2011-11-01,6294
2011-12-01,6301
2012-01-01,6275
2012-02-01,6287
2012-03-01,6269
2012-04-01,6274
2012-05-01,6265
2012-06-01,6281
2012-07-01,6282
2012-08-01,6285
2012-09-01,6279
2012-10-01,6299
2012-11-01,6293
2012-12-01,6263
2013-01-01,6297
2013-02-01,6305
2013-03-01,6309
2013-04-01,6325
2013-05-01,6317
2013-06-01,6312
2013-07-01,6319
2013-08-01,6322
2013-09-01,6333
2013-10-01,6346
2013-11-01,6374
2013-12-01,6357
2014-01-01,6332
2014-02-01,6352
2014-03-01,6370
2014-04-01,6363
2014-05-01,6383
2014-06-01,6367
2014-07-01,6369
2014-08-01,6379
2014-09-01,6381
2014-10-01,6376
2014-11-01,6385
2014-12-01,6398
2015-01-01,6377
2015-02-01,6400
2015-03-01,6397
2015-04-01,6377
2015-05-01,6392
2015-06-01,6406
2015-07-01,6395
2015-08-01,6398
2015-09-01,6423
2015-10-01,6425
2015-11-01,6405
2015-12-01,6431
2016-01-01,6468
2016-02-01,6433
2016-03-01,6419
2016-04-01,6434
2016-05-01,6445
2016-06-01,6482
2016-07-01,6497
2016-08-01,6484
2016-09-01,6486
2016-10-01,6493
2016-11-01,6487
2016-12-01,6518
2017-01-01,6519
2017-02-01,6490
2017-03-01,6490
2017-04-01,6519
2017-05-01,6531
2017-06-01,6552
2017-07-01,6563
2017-08-01,6572
2017-09-01,6569
2017-10-01,6561
2017-11-01,6566
2017-12-01,6578
2018-01-01,6619
2018-02-01,6646
2018-03-01,6679
2018-04-01,6695
2018-05-01,6693
2018-06-01,6667
2018-07-01,6666
2018-08-01,6684
2018-09-01,6699
2018-10-01,6713
2018-11-01,6725
2018-12-01,6698
2019-01-01,6697
2019-02-01,6728
2019-03-01,6745
2019-04-01,6736
2019-05-01,6737
2019-06-01,6740
2019-07-01,6742
2019-08-01,6758
2019-09-01,6762
2019-10-01,6784
2019-11-01,6780
2019-12-01,6783
2020-01-01,6768
2020-02-01,6767
2020-03-01,6760
2020-04-01,6662
2020-05-01,6674
2020-06-01,6673
2020-07-01,6671
2020-08-01,6687
2020-09-01,6692
2020-10-01,6710
2020-11-01,6738
2020-12-01,6721
2021-01-01,6730
2021-02-01,6741
2021-03-01,6725
2021-04-01,6707
2021-05-01,6704
2021-06-01,6709
2021-07-01,6737
2021-08-01,6717
2021-09-01,6697
2021-10-01,6682
2021-11-01,6684
2021-12-01,6716
2022-01-01,6696
2022-02-01,6708
2022-03-01,6716
2022-04-01,6731
2022-05-01,6724
2022-06-01,6727
2022-07-01,6729
2022-08-01,6728
2022-09-01,6736
2022-10-01,6737
2022-11-01,6715
2022-12-01,6725
2023-01-01,6737
2023-02-01,6720
2023-03-01,6733
2023-04-01,6743
2023-05-01,6740
2023-06-01,6751
2023-07-01,6744
2023-08-01,6749
2023-09-01,6756
2023-10-01,6755
2023-11-01,6772
2023-12-01,6764
2024-01-01,6761
2024-02-01,6783
2024-03-01,6760
2024-04-01,6751
2024-05-01,6761
2024-06-01,6786
2024-07-01,6766
2024-08-01,6791
2024-09-01,6782
