"","date","value"
"156",2002-12-01,0.193154034229829
"157",2003-01-01,0.189971463514064
"158",2003-02-01,0.191122071516646
"159",2003-03-01,0.192515592515592
"160",2003-04-01,0.191391558712913
"161",2003-05-01,0.191355434326479
"162",2003-06-01,0.189144050104384
"163",2003-07-01,0.188102220360285
"164",2003-08-01,0.188102220360285
"165",2003-09-01,0.1875
"166",2003-10-01,0.187340696686491
"167",2003-11-01,0.187181663837012
"168",2003-12-01,0.187181663837012
"169",2004-01-01,0.185153583617747
"170",2004-02-01,0.183368869936034
"171",2004-03-01,0.183638687686408
"172",2004-04-01,0.181431005110733
"173",2004-05-01,0.180968564146134
"174",2004-06-01,0.181587837837838
"175",2004-07-01,0.183733670459334
"176",2004-08-01,0.182619647355164
"177",2004-09-01,0.182278481012658
