"","date","CA","CA_yoy_raw","US","US_yoy_raw","CA_Share","US_X_CA_yoy_raw","CA_yoy_pct","US_yoy_pct","US_X_CA_yoy_pct"
"168",2003-12-01,305.9,-9.30000000000001,1908.7,-35.5999999999999,0.160266149735422,-26.2999999999999,-0.0306526038233356,-0.117336849044166,-0.016143883125652
"169",2004-01-01,299.8,-8.60000000000002,1894.2,-31.4000000000001,0.158272621687256,-22.8000000000001,-0.0281137626675385,-0.102647924158222,-0.0140984417511748
"170",2004-02-01,300.1,-7.69999999999999,1895.6,-23.5,0.158313990293311,-15.8,-0.0256837891927952,-0.0783855903935957,-0.00980574691243107
"171",2004-03-01,300.6,-7.30000000000001,1907,-9.10000000000014,0.157629785002622,-1.80000000000013,-0.024325224925025,-0.03032322559147,-0.00111926377316251
"172",2004-04-01,299.8,-4.19999999999999,1907.7,-16.6000000000001,0.157152592126645,-12.4000000000001,-0.0139720558882235,-0.0552228875582174,-0.00765290378325007
"173",2004-05-01,300,-3.30000000000001,1914.3,-1.30000000000018,0.156715248393669,1.99999999999983,-0.0110073382254837,-0.00433622414943356,0.00124046393351099
"174",2004-06-01,301.1,-1.69999999999999,1931.4,15.4000000000001,0.155897276586932,17.1000000000001,-0.00566666666666663,0.0513333333333336,0.0106000495908754
"175",2004-07-01,302.2,0.5,1928.2,27.6000000000001,0.156726480655534,27.1000000000001,0.00166057788110262,0.0916638990368653,0.016949152542373
"176",2004-08-01,303,0.800000000000011,1938.5,45.4000000000001,0.156306422491617,44.6000000000001,0.00264725347452022,0.150231634679021,0.0280344459111196
"177",2004-09-01,302.7,0.699999999999989,1937.2,44.9000000000001,0.156256452612017,44.2000000000001,0.00231023102310227,0.148184818481848,0.0277934980821229
"178",2004-10-01,304.8,2.80000000000001,1946.7,46.3999999999999,0.15657266142703,43.5999999999999,0.00925008259002316,0.153287082920383,0.0272789839204154
"179",2004-11-01,306.3,2.89999999999998,1960.6,56.4000000000001,0.156227685402428,53.5000000000001,0.00951443569553798,0.18503937007874,0.0334207896051975
"180",2004-12-01,308,2.10000000000002,1964.1,55.3999999999999,0.156814826129016,53.2999999999998,0.00685602350636638,0.180868429644139,0.0332543049663088
"181",2005-01-01,304.3,4.5,1945.8,51.6000000000001,0.156388117997739,47.1000000000001,0.0146103896103896,0.167532467532468,0.0295408931259409
"182",2005-02-01,306.9,6.79999999999995,1946.3,50.7,0.157683810306736,43.9000000000001,0.0223463687150836,0.16661189615511,0.0275148856157945
"183",2005-03-01,307.2,6.59999999999997,1955.1,48.0999999999999,0.157127512659199,41.4999999999999,0.0215053763440859,0.156728576083415,0.0258341633466134
"184",2005-04-01,310,10.2,1955.1,47.4000000000001,0.158559664467291,37.2000000000001,0.033203125,0.154296875,0.0231357671496984
"185",2005-05-01,311.3,11.3,1955.9,41.6000000000001,0.15915946623038,30.3000000000001,0.0364516129032258,0.134193548387097,0.0187697454004833
"186",2005-06-01,312.7,11.6,1976.7,45.3,0.158192947842364,33.7,0.0372630902666237,0.145518792161902,0.0206710421394834
"187",2005-07-01,310.6,8.40000000000003,1974.2,46,0.157329551210617,37.6,0.0268628078030062,0.147105852254557,0.0231242312423124
"188",2005-08-01,312.1,9.10000000000002,1983.8,45.3,0.157324327049098,36.1999999999999,0.0292981326464907,0.145846748229234,0.0221339040048914
"189",2005-09-01,313.6,10.9,1980.4,43.2,0.158351848111493,32.3,0.0349247036206345,0.138417173982698,0.0197613949219946
"190",2005-10-01,316.1,11.3,2001.7,55,0.157915771594145,43.7,0.0360331632653062,0.175382653061224,0.0266155064254826
"191",2005-11-01,318,11.7,2012.8,52.1999999999998,0.157988871224165,40.4999999999998,0.037013603290098,0.165137614678899,0.0244816538717281
"192",2005-12-01,321.4,13.4,2018.5,54.4000000000001,0.159227148872925,41.0000000000001,0.0421383647798743,0.171069182389937,0.024756959120826
"193",2006-01-01,318.9,14.6,2019.5,73.7,0.157910373854915,59.1000000000001,0.0454262601120098,0.229309271935283,0.0360036551934206
"194",2006-02-01,321.8,14.9,2032.6,86.2999999999997,0.15831939387976,71.3999999999997,0.0467231106930073,0.270617748510504,0.0435525192143466
"195",2006-03-01,323.6,16.4,2041.4,86.3000000000002,0.158518663662193,69.9000000000002,0.0509633312616531,0.268178993163456,0.0424176224285456
"196",2006-04-01,322.9,12.9,2050.2,95.0999999999999,0.157496829577602,82.1999999999999,0.0398640296662546,0.293881334981458,0.049966567381922
"197",2006-05-01,322.5,11.2,2061.8,105.9,0.156416723251528,94.7000000000001,0.0346856611954165,0.327965314338805,0.0575823908549192
"198",2006-06-01,323,10.3,2081.4,104.7,0.155184010761987,94.4,0.0319379844961241,0.324651162790698,0.0567307692307693
"199",2006-07-01,322.2,11.6,2085.8,111.6,0.154473103845047,99.9999999999997,0.0359133126934983,0.345510835913312,0.0601106035104591
"200",2006-08-01,322.5,10.4,2097.1,113.3,0.153783796671594,102.9,0.0322780881440099,0.351644941030416,0.0615541065980739
"201",2006-09-01,319.9,6.29999999999995,2093.1,112.7,0.152835507142516,106.4,0.0195348837209301,0.349457364341085,0.0638348932085431
"202",2006-10-01,320.4,4.30000000000001,2105.7,104,0.152158427126371,99.6999999999998,0.0134417005314161,0.325101594248202,0.0591480778357854
"203",2006-11-01,320.3,2.30000000000001,2111,98.2,0.151729038370441,95.9,0.00717852684144822,0.306491885143571,0.0565848477696484
"204",2006-12-01,320.5,-0.900000000000034,2124.7,106.2,0.150844825151786,107.1,-0.00280986575085868,0.331564158601311,0.0631076542336927
"205",2007-01-01,322,3.10000000000002,2107.5,88,0.152787663107948,84.9,0.00967238689547589,0.274570982839314,0.0499235563918618
"206",2007-02-01,324.8,3,2123,90.4000000000001,0.152991050400377,87.4000000000001,0.0093167701863354,0.280745341614907,0.0510872106616788
"207",2007-03-01,325.5,1.90000000000003,2139.4,98,0.152145461344302,96.1,0.00584975369458139,0.301724137931034,0.0559436488531842
"208",2007-04-01,324.4,1.5,2152.6,102.4,0.150701477283285,100.9,0.00460829493087558,0.314592933947773,0.0584148671336769
"209",2007-05-01,326.4,3.90000000000003,2169.5,107.7,0.150449412306983,103.8,0.0120221948212085,0.331997533908754,0.0596791812798251
"210",2007-06-01,328.3,5.30000000000001,2186.5,105.1,0.150148639378001,99.7999999999999,0.0162377450980392,0.321997549019608,0.0567561419472247
"211",2007-07-01,329.5,7.30000000000001,2200.3,114.5,0.149752306503659,107.2,0.0222357599756321,0.348766372220531,0.0607847584486281
