date,PX_MD,PX5_MD
2014-05-01,3.2,2.9
2014-06-01,3.2,2.9
2014-07-01,3.2,2.8
2014-08-01,3.2,2.8
2014-09-01,3.2,2.8
2014-10-01,3,2.8
2014-11-01,2.9,2.7
2014-12-01,2.8,2.7
2015-01-01,2.7,2.7
2015-02-01,2.7,2.8
2015-03-01,2.8,2.8
2015-04-01,2.8,2.7
2015-05-01,2.8,2.7
2015-06-01,2.7,2.7
2015-07-01,2.8,2.7
2015-08-01,2.8,2.7
2015-09-01,2.8,2.7
2015-10-01,2.8,2.6
2015-11-01,2.7,2.6
2015-12-01,2.7,2.6
2016-01-01,2.6,2.6
2016-02-01,2.5,2.6
2016-03-01,2.6,2.6
2016-04-01,2.7,2.6
2016-05-01,2.6,2.6
2016-06-01,2.6,2.5
2016-07-01,2.6,2.6
2016-08-01,2.6,2.6
2016-09-01,2.5,2.6
2016-10-01,2.4,2.5
2016-11-01,2.4,2.5
2016-12-01,2.3,2.4
2017-01-01,2.4,2.5
2017-02-01,2.5,2.5
2017-03-01,2.6,2.5
2017-04-01,2.6,2.4
2017-05-01,2.5,2.4
2017-06-01,2.6,2.4
2017-07-01,2.6,2.5
2017-08-01,2.6,2.5
2017-09-01,2.6,2.5
2017-10-01,2.6,2.5
2017-11-01,2.5,2.5
2017-12-01,2.5,2.4
2018-01-01,2.6,2.4
2018-02-01,2.7,2.5
2018-03-01,2.7,2.5
2018-04-01,2.7,2.5
2018-05-01,2.8,2.5
2018-06-01,2.8,2.5
2018-07-01,2.9,2.5
2018-08-01,3,2.5
2018-09-01,2.9,2.5
2018-10-01,2.9,2.5
2018-11-01,2.8,2.5
2018-12-01,2.8,2.5
2019-01-01,2.7,2.6
2019-02-01,2.7,2.5
2019-03-01,2.6,2.5
2019-04-01,2.5,2.4
2019-05-01,2.6,2.5
2019-06-01,2.7,2.4
2019-07-01,2.7,2.5
2019-08-01,2.7,2.5
2019-09-01,2.7,2.5
2019-10-01,2.7,2.4
2019-11-01,2.6,2.4
2019-12-01,2.4,2.3
2020-01-01,2.4,2.4
2020-02-01,2.4,2.3
2020-03-01,2.4,2.4
2020-04-01,2.2,2.4
2020-05-01,2.5,2.5
2020-06-01,2.8,2.6
2020-07-01,3.1,2.6
2020-08-01,3,2.6
2020-09-01,2.9,2.7
2020-10-01,2.8,2.6
2020-11-01,2.7,2.5
2020-12-01,2.6,2.5
2021-01-01,2.8,2.6
2021-02-01,2.9,2.6
2021-03-01,3.1,2.7
2021-04-01,3.3,2.7
2021-05-01,3.7,2.8
2021-06-01,4.1,2.8
2021-07-01,4.5,2.9
2021-08-01,4.5,2.8
2021-09-01,4.6,2.9
2021-10-01,4.7,2.9
2021-11-01,4.8,3
2021-12-01,4.8,2.9
2022-01-01,4.9,3
2022-02-01,4.9,3
2022-03-01,5.1,3
2022-04-01,5.2,3
2022-05-01,5.4,3
2022-06-01,5.3,3
2022-07-01,5.3,3
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
