date,1Y,CurrentCalendarYear,NextCalendarYear
2022-01-20,3.43,3.43,2.91
2022-01-21,3.45,3.45,2.88
2022-01-24,3.45,3.45,2.9
2022-01-25,3.51,3.51,2.95
2022-01-26,3.52,3.52,2.96
2022-01-27,3.44,3.44,2.96
2022-01-28,3.47,3.47,3.01
2022-01-31,3.46,3.46,2.96
2022-02-01,3.44,3.44,2.89
2022-02-02,3.47,3.47,2.87
2022-02-03,3.48,3.48,2.79
2022-02-04,3.6,3.6,2.75
2022-02-07,3.62,3.62,2.72
2022-02-08,3.58,3.58,2.75
2022-02-09,3.63,3.63,2.76
2022-02-10,3.45,4.08,2.76
2022-02-11,3.61,4.21,2.74
2022-02-14,3.85,4.45,2.87
2022-02-15,3.8,4.4,2.8
2022-02-16,3.85,4.45,2.74
2022-02-17,3.88,4.48,2.79
2022-02-18,3.87,4.46,2.81
2022-02-22,3.99,4.57,2.87
2022-02-23,4.21,4.79,3.01
2022-02-24,4.35,4.94,3.11
2022-02-25,4.25,4.82,3.02
2022-02-28,4.45,5,3.06
2022-03-01,4.73,5.29,3.16
2022-03-02,4.75,5.32,3.24
2022-03-03,4.61,5.18,3.13
2022-03-04,4.68,5.25,3.17
2022-03-07,4.82,5.4,3.23
2022-03-08,5.13,5.71,3.31
2022-03-09,4.82,5.4,3.28
2022-03-10,4.36,5.5,3.45
2022-03-11,4.78,5.88,3.66
2022-03-14,4.71,5.81,3.68
2022-03-15,4.57,5.68,3.69
2022-03-16,4.39,5.54,3.5
2022-03-17,4.76,5.87,3.67
2022-03-18,4.88,5.97,3.75
2022-03-21,5.02,6.09,3.8
2022-03-22,5.1,6.16,3.76
2022-03-23,5.3,6.35,3.79
2022-03-24,5.31,6.37,3.78
2022-03-25,5.32,6.38,3.85
2022-03-28,5.2,6.25,3.85
2022-03-29,5.01,6.1,3.62
2022-03-30,4.96,6.05,3.6
2022-03-31,4.76,5.88,3.51
2022-04-01,4.7,5.83,3.47
2022-04-04,4.71,5.85,3.46
2022-04-05,4.7,5.84,3.37
2022-04-06,4.64,5.77,3.34
2022-04-07,4.64,5.83,3.32
2022-04-08,4.87,5.99,3.41
2022-04-11,4.93,6.05,3.41
2022-04-12,3.98,6.03,3.4
2022-04-13,3.98,6.04,3.34
2022-04-14,4.06,6.11,3.49
2022-04-18,4.13,6.16,3.53
2022-04-19,4.1,6.12,3.65
2022-04-20,4.13,6.17,3.69
2022-04-21,4.35,6.34,3.86
2022-04-22,4.34,6.35,3.87
2022-04-25,4.15,6.19,3.76
2022-04-26,4.17,6.24,3.68
2022-04-27,4.21,6.26,3.72
2022-04-28,4.29,6.32,3.82
2022-04-29,4.28,6.32,3.84
2022-05-02,4.17,6.26,3.6
2022-05-03,4.18,6.27,3.59
2022-05-04,4.16,6.27,3.56
2022-05-05,4.19,6.27,3.48
2022-05-06,4.32,6.42,3.55
2022-05-09,4.21,6.36,3.34
2022-05-10,3.91,6.1,3.22
2022-05-11,3.95,6.27,3.3
2022-05-12,3.93,6.31,3.12
2022-05-13,4.16,6.49,3.3
2022-05-16,4.31,6.64,3.31
2022-05-17,4.33,6.65,3.4
2022-05-18,4.41,6.72,3.34
2022-05-19,4.35,6.71,3.26
2022-05-20,4.48,6.81,3.23
2022-05-23,4.54,6.84,3.24
2022-05-24,4.44,6.83,3.15
2022-05-25,4.51,6.9,3.18
2022-05-26,4.59,6.96,3.23
2022-05-27,4.67,7.04,3.27
2022-05-31,4.66,7.05,3.28
2022-06-01,4.76,7.13,3.31
2022-06-02,4.83,7.15,3.33
2022-06-03,4.91,7.21,3.42
2022-06-06,4.92,7.26,3.35
2022-06-07,4.96,7.28,3.4
2022-06-08,5.04,7.32,3.47
2022-06-09,5.14,7.43,3.54
2022-06-10,4.69,7.76,3.61
2022-06-13,4.78,7.82,3.54
