date,Alabama ,Alaska ,Arizona ,Arkansas ,California ,Colorado ,Connecticut ,Delaware ,District of Columbia ,Florida ,Georgia ,Hawaii ,Idaho ,Illinois ,Indiana ,Iowa ,Kansas ,Kentucky ,Louisiana ,Maine ,Maryland ,Massachusetts ,Michigan ,Minnesota ,Mississippi ,Missouri ,Montana ,Nebraska ,Nevada ,New Hampshire ,New Jersey ,New Mexico ,New York ,North Carolina ,North Dakota ,Ohio ,Oklahoma ,Oregon ,Pennsylvania ,Rhode Island ,South Carolina ,South Dakota ,Tennessee ,Texas ,Utah ,Vermont ,Virginia ,Washington ,West Virginia ,Wisconsin ,Wyoming 
1972,3539400,324464,2008291,2018638,20585469,2404619,3068699,572913,,7511463,4809490,828331,763237,11251948,5302435,2860287,2256375,3335728,3761646,1034292,4073499,5760302,9028944,3869747,2307117,4758780,718732,1519013,546789,781107,7335042,1078697,18339400,5301150,631119,10746993,2658646,2197297,11908233,974790,2719197,677234,4094611,11759148,1135449,463143,4824472,3447885,1797648,4502412,347345
1973,3579780,330543,2124438,2059256,20868728,2495868,3067814,577759,,7913696,4910374,851595,782074,11251367,5338277,2863715,2265603,3371024,3788375,1045655,4097974,5781172,9077956,3889332,2349546,4782645,726798,1529567,568991,800951,7333083,1105529,18177063,5389852,632675,10767314,2695931,2241932,11890527,975738,2776605,678715,4147401,12019543,1170040,468430,4901292,3478782,1806360,4524244,354061
1974,3626499,341063,2223196,2101403,21173865,2541406,3074047,581418,,8298762,4999419,867978,807990,11262145,5361890,2867530,2269499,3416315,3820109,1059040,4118815,5773548,9117507,3903925,2378268,4795930,736419,1539191,596822,815914,7332411,1131309,18049775,5470911,634559,10765759,2734768,2285013,11870884,950615,2844749,679585,4213509,12268629,1200471,473002,4971069,3549946,1815447,4545782,365501
1975,3678814,376170,2284847,2159526,21537849,2586192,3082500,586589,,8518422,5064075,886160,831982,11291743,5365766,2880847,2280578,3467769,3886104,1071995,4139096,5757756,9117668,3932515,2399449,4808308,748208,1543117,619972,828555,7337765,1159944,18003485,5547188,638886,10770425,2774683,2329661,11906095,942788,2902028,681042,4275566,12568843,1236030,479713,5047395,3621339,1842250,4578986,381695
1976,3735139,400969,2346157,2170161,21935909,2632306,3083335,590166,,8667379,5132812,904191,856983,11342853,5389088,2903082,2301001,3529257,3950605,1088412,4150539,5743672,9129205,3964680,2429756,4839029,757317,1550911,646975,845248,7339745,1189295,17940541,5607964,645797,10752662,2826815,2378262,11897378,946089,2943657,686390,4346928,12904089,1274928,484928,5121863,3693610,1879503,4595904,396952
1977,3780403,403436,2425197,2209010,22352396,2696140,3085722,591829,,8856183,5219697,918259,883469,11386316,5425638,2913573,2320647,3573693,4014459,1103578,4169595,5738199,9171110,3989364,2459201,4863173,769953,1556842,678333,869763,7337169,1215720,17812602,5685607,649769,10771394,2870014,2446673,11893591,950230,2991681,688480,4422921,13193050,1319512,491931,5193112,3776050,1908088,4626514,413354
1978,3831836,404766,2515316,2243127,22835958,2766748,3091627,594776,,9102032,5295751,931584,910690,11412561,5470214,2918069,2335657,3609976,4068579,1113566,4183603,5736469,9217761,4015341,2487816,4889399,782317,1563884,719436,891520,7350804,1238034,17680589,5759492,651301,10795581,2917336,2518298,11879396,951816,3044364,688580,4486314,13500429,1367510,498109,5270240,3889073,1923395,4646108,432880
1979,3866248,402753,2635571,2271333,23256880,2849234,3095917,594984,,9426159,5401384,953306,932627,11396837,5501174,2915739,2350906,3641804,4137665,1122563,4191160,5738404,9266268,4050316,2507069,4912430,787305,1567344,765367,909074,7366512,1284722,17583838,5823491,652896,10798298,2975310,2588012,11887975,950382,3090267,688335,4560473,13888371,1420238,505372,5307945,4017632,1942146,4682811,454378
1980,3918531,418488,2810127,2293195,24285937,2977895,3128839,595971,,10192778,5568343,978174,962203,11443461,5480425,2907975,2384859,3670385,4283298,1133021,4261908,5768683,9209284,4111674,2539051,4932079,795317,1578528,847639,936644,7407475,1332709,17567729,5956661,659524,10788324,3096157,2667984,11858571,953007,3179235,689569,4627667,14746313,1515469,515605,5444106,4235731,1954115,4726336,491715
1981,3925229,449611,2889865,2294262,24820007,3061569,3139012,599136,,10471407,5649793,993802,973729,11423414,5467927,2888190,2401211,3683437,4352610,1136684,4282917,5771226,9115202,4131444,2556768,4929442,803990,1581786,881545,947717,7430968,1363794,17589746,6019141,668969,10757088,3206124,2664922,11845148,954176,3207618,690615,4646043,15331410,1558316,519107,5492773,4276545,1949606,4728876,506408
1982,3934103,488417,2968928,2305754,25360023,3133628,3162343,605415,,10749845,5728254,1012717,981858,11408823,5450402,2870550,2415537,3694480,4395316,1144769,4313319,5799403,9047753,4141438,2567730,4943727,814028,1584301,901974,958125,7467789,1394352,17686905,6077066,676685,10737635,3290404,2653058,11837728,956376,3234074,692985,4659755,15751678,1594939,523308,5564658,4300270,1945065,4721445,510329
1983,3951826,513703,3067142,2319774,25844389,3169987,3180023,611517,,11039921,5834957,1027935,990841,11412138,5458328,2858624,2424076,3695451,4400474,1155630,4365238,5840772,9049446,4157698,2578058,4975283,820893,1588629,924905,976864,7515478,1416665,17745690,6164014,680498,10737746,3285528,2666592,11815171,961901,3271861,697239,4686740,16007077,1622341,526658,5643860,4343650,1927701,4735576,504893
1984,3972520,532492,3183535,2327044,26441112,3208717,3201128,618284,,11351122,5962668,1039683,994046,11399804,5459216,2829685,2427412,3694827,4408121,1162935,4413075,5880743,9076297,4184286,2588097,5000254,822305,1584662,951024,996757,7565519,1438371,17791670,6253989,676991,10734920,3271332,2672648,11770855,968950,3303208,698400,4715287,16272735,1642907,530029,5715156,4400098,1906828,4747753,499692
1985,3991562,544269,3308262,2331990,27102241,3237447,3223737,627557,,11667504,6084660,1051759,990226,11387258,5454114,2791966,2432616,3687813,4406918,1170121,4486957,5902682,9127776,4205208,2593596,5023068,813748,1574336,980653,1025055,7622150,1462727,17833419,6321582,669489,10730268,3252731,2683531,11782745,977343,3342769,695980,4738713,16561112,1662838,534055,5811691,4452722,1882350,4755625,495624
1986,4015257,539310,3437102,2342359,27777153,3260478,3247291,636957,,11997290,6208470,1067911,985004,11391176,5473009,2767005,2445387,3683325,4344129,1184570,4565578,5935209,9187485,4235140,2588539,5056695,805064,1566558,1023418,1054283,7670743,1478519,17868849,6403696,661167,10760081,3210117,2700999,11810864,989603,3380506,696042,4782930,16621799,1678115,540273,5932267,4531891,1857579,4777930,476967
1987,4023848,541982,3535179,2342638,28464253,3262281,3271958,647585,,12306396,6316153,1079823,985669,11390176,5491734,2768392,2461987,3680003,4288835,1203830,4657908,5979981,9218000,4296162,2580353,5081730,800194,1571464,1075027,1082576,7712334,1490329,17941310,6480598,655273,10798562,3167058,2741307,11845753,996417,3412091,698148,4822437,16667025,1689366,549766,6036911,4639893,1830211,4822402,465098
1988,4030224,547153,3622176,2346387,29218161,3275821,3283409,658233,,12637709,6411085,1094584,994426,11409785,5523684,2770585,2472847,3677312,4252906,1219944,4727298,6015479,9253290,4338045,2574273,5095819,799642,1574881,1137369,1104523,7726086,1503892,17983088,6565467,646341,10829211,3150299,2790568,11866008,1000665,3456770,696691,4854461,16806734,1705867,557699,6120232,4746321,1806552,4856575,458377
1989,4040587,550043,3665228,2350725,29760021,3294394,3287116,666168,,12937926,6478216,1108229,1006749,11430602,5544159,2776755,2477574,3685296,4219973,1227928,4781468,6016425,9295297,4375099,2573216,5117073,799065,1578385,1201833,1109252,7730188,1515069,17990455,6628637,638800,10847115,3145585,2842321,11881643,1003464,3486703,696004,4877185,16986510,1722850,562758,6187358,4866692,1793477,4891769,453588
1990,4048526,553120,3679056,2354343,29950111,3303862,3289056,669063,,13018365,6506531,1112703,1011882,11446979,5555097,2779769,2480683,3692584,4219179,1231296,4797431,6018664,9310462,4387283,2577426,5126370,799824,1580664,1218629,1111831,7757158,1519933,18002855,6656987,637364,10861837,3147105,2858547,11895604,1004649,3499064,696667,4890626,17044714,1729722,564526,6213526,4900780,1792481,4902265,453401
1991,4091397,569273,3762394,2370666,30414114,3367567,3288640,680495,,13289497,6621279,1131412,1038915,11535973,5602062,2791227,2495209,3714686,4240950,1235439,4856176,5998652,9395022,4427429,2591230,5157770,807837,1590805,1285046,1107055,7784269,1547115,18029532,6748135,634199,10933683,3166471,2918745,11943160,1003990,3559470,701445,4946886,17339904,1771941,567141,6283853,5013443,1798212,4952675,457739
1992,4139880,587073,3867333,2394098,30875920,3459995,3274997,690158,,13504775,6759474,1149926,1066490,11635197,5648649,2806923,2526042,3756358,4270849,1235748,4902545,5993474,9470323,4471503,2610193,5193686,822436,1602406,1330694,1112766,7827770,1580750,18082032,6831850,635427,11007609,3204174,2973934,11980819,1000571,3600576,708698,5013999,17650479,1821498,570115,6383315,5139011,1805462,5004636,463491
1993,4193639,596993,3993390,2423743,31147208,3560884,3272325,699475,,13713593,6894092,1161508,1101204,11725984,5701965,2820525,2547605,3792288,4284749,1238256,4942504,6010884,9529240,4521709,2635574,5237757,839876,1612149,1380197,1122191,7874891,1614937,18140894,6947412,637229,11070385,3228829,3034490,12022128,997852,3634507,716258,5085666,17996764,1875993,574004,6464795,5247704,1816179,5055318,469033
1994,4233214,600624,4147561,2450605,31317179,3653910,3268346,708416,,13961798,7045900,1173903,1135459,11804986,5745626,2829422,2569118,3823215,4306500,1237687,4985411,6031352,9584481,4566028,2663450,5281206,854923,1621551,1456388,1133054,7918796,1653329,18156652,7060959,639762,11111451,3246119,3087142,12042545,993412,3666456,723038,5163016,18338319,1930436,578900,6536771,5334896,1818490,5095504,474982
1995,4263125,601345,4306908,2480121,31493525,3738061,3265293,718265,,14185403,7188538,1180490,1165000,11884935,5791819,2840860,2586942,3855248,4327978,1237438,5023650,6062335,9659871,4605445,2690788,5324610,868522,1635142,1525777,1145604,7965523,1682417,18150928,7185403,641548,11155493,3265547,3141421,12044780,989203,3699943,728251,5241168,18679706,1976774,582827,6601392,5431024,1820560,5137004,478447
1996,4290678,604918,4432308,2504858,31780829,3812716,3267030,727090,,14426911,7332225,1184434,1187706,11953003,5834908,2848473,2598266,3881051,4338763,1241436,5057142,6085393,9739184,4647723,2709925,5367888,876656,1647657,1596476,1160768,8009624,1706151,18143805,7307658,642858,11187032,3289634,3195087,12038008,987858,3738974,730699,5313576,19006240,2022253,586352,6665491,5509963,1818983,5173828,480085
1997,4320692,608846,4552207,2524007,32217708,3891293,3268514,735024,,14683350,7486094,1189322,1210638,12011509,5872370,2854396,2616339,3907816,4351390,1245215,5092914,6115476,9785450,4687726,2731826,5407113,878706,1656042,1675581,1173239,8054178,1722939,18143184,7428672,640945,11212498,3314259,3243254,12015888,986966,3790066,730855,5378433,19355427,2065397,588665,6732878,5604105,1815588,5200235,480031
1998,4350594,615205,4667277,2538202,32682794,3968967,3272563,744066,,14908230,7636522,1190472,1230923,12069774,5907617,2861025,2638667,3934310,4362758,1247554,5130072,6144407,9820231,4726411,2751335,5437562,879533,1660772,1743772,1185823,8095542,1733535,18159175,7545828,637808,11237752,3339478,3282055,12002329,987704,3839578,730789,5432679,19712389,2100562,590579,6789225,5687832,1811688,5222124,480045
1999,4369224,619500,4778332,2551373,33145121,4056133,3282031,753538,,15111244,7788240,1185497,1251700,12128370,5942901,2869413,2654052,3960825,4372035,1253040,5171634,6175169,9863775,4775508,2768619,5468338,882779,1666028,1809253,1201134,8143412,1739844,18196601,7650789,633666,11256654,3358044,3316154,11994016,990819,3885736,733133,5483535,20044141,2129836,593740,6872912,5756361,1806928,5250446,479602
2000,4385739,622091,4882966,2576476,33634154,4136998,3297615,762269,,15332382,7942706,1178955,1273338,12185213,5976510,2877770,2666127,3985794,4375055,1258725,5223866,6204260,9918208,4828097,2787021,5502695,887885,1670458,1879800,1215986,8204412,1746843,18279410,7747707,629316,11270877,3379999,3341584,11984572,996110,3923807,737333,5533756,20393784,2164765,597921,6970263,5811180,1802555,5280411,480893
2001,4463343,633538,5303869,2690743,34481753,4432779,3428043,794954,,16350988,8418687,1218790,1320791,12506636,6124090,2929240,2701167,4068775,4460400,1284295,5374009,6411336,10005334,4982180,2853090,5642852,905782,1717672,2094338,1256685,8488427,1828437,19087486,8202468,636225,11395572,3463996,3469878,12296977,1057707,4062301,758803,5754748,21330190,2290966,611889,7191579,5988346,1798190,5408099,492976
2002,4471462,641974,5451472,2704471,34867773,4502883,3448145,804636,,16675166,8582756,1226410,1341704,12557032,6148648,2929379,2711741,4090824,4465089,1293181,5437880,6440762,10039223,5017355,2858076,5679158,909722,1724577,2165828,1270962,8543281,1849187,19161568,8311105,633210,11420660,3483149,3516661,12324237,1066919,4102227,761633,5802304,21705766,2334425,614753,7277452,6056348,1799219,5446571,496930
2003,4489876,647671,5590820,2722804,35236589,4545766,3468319,815525,,16974177,8727810,1231632,1363672,12599246,6184552,2934585,2720361,4117691,4473198,1302365,5491971,6455028,10072219,5050393,2866386,5713051,916620,1733099,2236378,1282146,8585567,1868121,19235015,8399815,631680,11450398,3495502,3551290,12360988,1072453,4141080,765980,5856712,22048452,2378255,616700,7352164,6108738,1802916,5479542,498865
2004,4510588,659305,5758692,2746215,35538256,4595674,3474379,827154,,17366358,8907292,1246872,1391127,12644218,6214844,2942311,2729378,4145777,4487246,1307227,5537913,6452636,10091511,5080031,2884920,5755931,925711,1741417,2327547,1292566,8610474,1890215,19297907,8517909,635480,11465854,3511467,3573214,12387357,1075835,4196549,773087,5918897,22408514,2438195,618120,7453994,6181646,1803462,5512205,502742
2005,4542912,667114,5973970,2776257,35770688,4655731,3477185,840296,,17773291,9090479,1259147,1425226,12672835,6253142,2950517,2739997,4179655,4495113,1310424,5576889,6453694,10092426,5106992,2899300,5803587,934656,1750772,2407073,1301050,8619564,1914699,19329398,8655414,634528,11475559,3530037,3617086,12415908,1069226,4250989,778775,5997481,22790696,2498863,618797,7547753,6258988,1804128,5542096,506002
2006,4594911,675322,6190987,2814910,35947461,4747872,3484531,853301,,18076361,9323575,1269228,1463631,12714588,6300341,2965203,2754018,4216783,4237693,1313479,5605552,6466069,10082414,5147857,2896691,5857974,946059,1759327,2491122,1311184,8619354,1940631,19353588,8853849,636019,11490596,3571612,3675743,12466485,1064193,4334146,786973,6090290,23356591,2582234,619916,7633859,6371097,1808136,5571510,512664
2007,4634063,679893,6360238,2841595,36185908,4837229,3488084,865314,,18262096,9526642,1269796,1498390,12775864,6344771,2979867,2773740,4254513,4373448,1315749,5627211,6499672,10051145,5191267,2920312,5905750,957123,1768745,2564816,1316496,8630810,1966357,19419540,9047856,637534,11518989,3608759,3730833,12517701,1059706,4417059,795521,6172788,23824518,2662908,620438,7705466,6464167,1812295,5601508,523226
2008,4673889,685532,6499207,2867099,36538008,4928676,3502664,876794,,18410241,9690277,1280001,1526295,12836402,6386601,2994658,2795257,4287259,4448806,1318133,5650870,6544089,9999456,5230247,2939234,5951844,967717,1780143,2612460,1320981,8657319,1984179,19464482,9230086,640525,11526691,3640241,3780596,12562536,1058368,4497746,803047,6239542,24290611,2724685,620967,7780691,6566085,1816352,5627257,532626
2009,4707496,694690,6587653,2887331,36887615,5015155,3514826,884124,,18509936,9813588,1288285,1544465,12893278,6417276,3008331,2817430,4312268,4489490,1315889,5688399,6592205,9955260,5262824,2949943,5982234,974163,1794852,2638588,1322181,8693723,2007315,19522612,9357107,645903,11531860,3685640,3823058,12602112,1057451,4554258,810814,6291220,24770651,2780871,621436,7862480,6671597,1821290,5650751,544391
2010,4729656,708862,6676627,2910236,37266600,5095309,3526937,891464,,18678049,9908357,1300086,1559796,12944410,6445295,3023081,2841121,4339435,4529426,1312939,5737274,6631280,9931235,5290447,2960467,6011741,980152,1811072,2654751,1323531,8732811,2033875,19577730,9458888,653778,11532111,3724447,3855536,12632780,1056870,4596958,820077,6338112,25213445,2830753,622433,7952119,6746199,1825513,5668519,547637
2011,4799069,722128,6472643,2940667,37638369,5121108,3588283,907381,593955,19053237,9802431,1379329,1583910,12867454,6516528,3066336,2869225,4369821,4575625,1328284,5839419,6613583,9882412,5346143,2978731,6010275,997316,1840672,2712730,1320202,8828117,2080450,19499241,9657592,685225,11544663,3788379,3872036,12745815,1053649,4671994,823579,6399291,25645629,2814384,627049,8101155,6826627,1856301,5705288,567299
2012,4815588,730443,6554978,2952164,37948800,5192647,3594547,915179,605759,19297822,9901430,1394804,1595324,12882510,6537703,3076190,2885257,4386346,4600972,1327729,5886992,6663005,9897145,5376643,2983816,6024367,1003783,1853303,2743996,1324232,8844942,2087309,19572932,9749476,701176,11548923,3818814,3899001,12767118,1054621,4717354,833566,6453898,26084481,2853375,626090,8185080,6897058,1856872,5719960,576305
2013,4830081,737068,6632764,2959400,38260787,5269035,3594841,923576,619371,19545621,9972479,1408243,1611206,12895129,6568713,3092997,2893212,4404659,4624527,1328009,5923188,6713315,9913065,5413479,2988711,6040715,1013569,1865279,2775970,1326622,8856972,2092273,19624447,9843336,722036,11576684,3853214,3922468,12776309,1055081,4764080,842316,6494340,26480266,2897640,626210,8252427,6963985,1853914,5736754,582122
2014,4841799,736283,6730413,2967392,38596972,5350101,3594524,932487,633736,19845911,10067278,1414538,1631112,12884493,6593644,3109350,2900475,4414349,4644013,1330513,5957283,6762596,9929848,5451079,2990468,6056202,1021869,1879321,2817628,1333341,8864525,2089568,19651049,9932887,737401,11602700,3878187,3963244,12788313,1055936,4823617,849129,6541223,26964333,2936879,625214,8310993,7054655,1849489,5751525,582531
2015,4852347,737498,6829676,2978048,38918045,5450623,3587122,941252,647484,20209042,10178447,1422052,1651059,12858913,6608422,3120960,2909011,4425976,4664628,1328262,5985562,6794228,9931715,5482032,2988471,6071732,1030475,1891277,2866939,1336350,8867949,2089291,19654666,10031646,754066,11617527,3909500,4015792,12784826,1056065,4891938,853988,6591170,27470056,2981835,625216,8361808,7163657,1842050,5760940,585613
2016,4863525,741456,6941072,2989918,39167117,5539215,3578141,948921,659009,20613477,10301890,1427559,1682380,12820527,6634304,3131371,2910844,4438182,4678135,1331317,6003323,6823608,9950571,5522744,2987938,6087135,1040859,1905616,2917563,1342307,8870827,2091630,19633428,10154788,754434,11634370,3926331,4089976,12782275,1056770,4957968,862996,6646010,27914410,3041868,623657,8410106,7294771,1831023,5772628,584215
2017,4874486,739700,7044008,3001345,39358497,5611885,3573297,956823,672391,20963613,10410330,1424393,1717715,12778828,6658078,3141550,2908718,4452268,4670560,1334612,6023868,6859789,9973114,5566230,2988510,6106670,1052482,1915947,2969905,1348787,8885525,2091784,19589572,10268233,754942,11659650,3931316,4143625,12787641,1055673,5021268,872868,6708799,28295273,3101042,624344,8463587,7423362,1817004,5790186,578931
2018,4887681,735139,7158024,3009733,39461588,5691287,3571520,965479,684498,21244317,10511131,1420593,1750536,12723071,6695497,3148618,2911359,4461153,4659690,1339057,6035802,6882635,9984072,5606249,2981020,6121623,1060665,1925614,3027341,1353465,8886025,2092741,19530351,10381615,758080,11676341,3940235,4181886,12800922,1058287,5084156,878698,6771631,28628666,3153550,624358,8501286,7523869,1804291,5807406,577601
2019,4903185,731545,7278717,3017804,39512223,5758736,3565287,973764,692683,21477737,10617423,1415872,1787065,12671821,6732219,3155070,2913314,4467673,4648794,1344212,6045680,6892503,9986857,5639632,2976149,6137428,1068778,1934408,3080156,1359711,8882190,2096829,19453561,10488084,762062,11689100,3956971,4217737,12801989,1059361,5148714,884659,6829174,28995881,3205958,623989,8535519,7614893,1792147,5822434,578759
