state,year,quarter,pi_nt,pi_t,pi
Alaska,1983,1,4.4485245,1.3707408,3.0310166
Alaska,1983,2,7.5759645,2.6385729,5.3025122
Alaska,1983,3,6.8984404,3.4618764,5.3210998
Alaska,1983,4,7.3362517,2.444613,5.0934982
Alaska,1984,1,6.9433055,2.2403619,4.8198195
Alaska,1984,2,4.3971491,1.2247291,2.9725156
Alaska,1984,3,4.5794492,-0.38970646,2.337364
Alaska,1984,4,4.5780129,-0.98941547,2.0857685
Alaska,1985,1,2.9433396,0.011520368,1.6490897
Alaska,1985,2,2.9208353,-1.162082,1.1001511
Alaska,1985,3,3.6124451,-0.32435343,1.8256601
Alaska,1985,4,1.9779929,1.2185223,1.5954225
Alaska,1986,1,1.7697058,0.082182772,0.96705449
Alaska,1986,2,2.6609602,0.28007931,1.5782288
Alaska,1986,3,2.5169604,0.16285484,1.4899925
Alaska,1986,4,3.5509102,-1.2033237,1.4778254
Alaska,1989,1,2.3616409,4.1963396,3.1299393
Alaska,1989,2,3.0795298,4.6397219,3.7624328
Alaska,1989,3,2.4293175,4.6336975,3.3688223
Alaska,1989,4,2.9147289,3.5919509,3.2269604
Alaska,1990,1,3.9518697,4.3932943,4.1813169
Alaska,1990,2,3.5374038,2.9098947,3.299547
Alaska,1990,3,3.7621005,3.3851957,3.6179836
Alaska,1990,4,3.8345079,3.4556978,3.7075639
Alaska,1991,1,4.6266751,3.0773585,4.034688
Alaska,1991,2,4.8010502,2.9911575,4.1097598
Alaska,1991,3,4.3671746,2.0051708,3.4387326
Alaska,1991,4,1.9897395,0.95125073,1.5572028
Alaska,1992,1,0.76367784,0.89531296,0.7951768
Alaska,1992,2,0.83734894,1.8277321,1.2106937
Alaska,1992,3,1.1073446,1.8993841,1.3966709
Alaska,1992,4,2.963094,2.5088775,2.7647185
Alaska,1993,1,3.8214126,1.5408139,2.9086959
Alaska,1993,2,3.676908,0.75596964,2.4833493
Alaska,1993,3,4.0344176,-0.3497439,2.245398
Alaska,1993,4,3.8834414,-1.3964516,1.7398111
Alaska,1994,1,2.8528585,-1.2263364,1.1804632
Alaska,1994,2,2.3675652,-0.61538488,1.145476
Alaska,1994,3,2.3378744,0.5190078,1.5739671
Alaska,1994,4,2.5151162,1.3467332,1.9910498
Alaska,1995,1,2.6560733,2.0839117,2.3197587
Alaska,1995,2,2.476259,1.6187636,2.0092108
Alaska,1995,3,1.8104483,0.85413241,1.3446372
Alaska,1995,4,2.2139931,1.62843,1.9226513
Alaska,1996,1,3.107897,1.2216971,2.3345494
Alaska,1996,2,3.5224993,2.5662665,3.1505947
Alaska,1996,3,3.2227137,3.0651383,3.1452746
Alaska,1996,4,3.8994868,1.7022668,3.0044105
Alaska,1997,1,2.9283142,1.4477906,2.3311577
Alaska,1997,2,3.3461883,-0.12586896,1.9897888
Alaska,1997,3,3.3396921,-0.35497725,1.9270132
Alaska,1997,4,1.6839858,1.8016443,1.7955515
Alaska,1998,1,1.1578058,2.1917787,1.5854623
Alaska,1998,2,0.48013419,2.0432792,1.0879705
Alaska,1998,3,0.42535478,1.6987655,0.91767853
Alaska,1998,4,0.35918504,1.7917352,0.91221118
