period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
11/1/2017,11/30/2017,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,271189,0.00947333,0.061938454,274732,-0.002225993,0.077315224,147,0.003404645,0.062705533,149,-0.008440983,0.075109796,490688,-0.05917221,0.039285069,383485,-0.131363989,0.07717288,458970,-0.201229819,0.034906408,1460138,-0.078794691,-0.088587769,2.975695373,-0.063384922,-0.417495617,46,2,-5,0.980790051,-0.000874537,0.002878024,0.226428738,-0.007067286,0.015737686,0.114821072,-0.024356973,-0.028149865,0.326247335,-0.022518442,0.020962849,,,5/19/2024 14:18
5/1/2018,5/31/2018,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,301283,0.029374716,0.101924482,327746,0.018978997,0.116842426,138,0.007774841,0.045414812,150,0.022533886,0.076584045,11970,0.133699741,0.06039483,11963,0.076076891,0.082813062,18107,0.074761573,0.051189724,37770,0.061186776,-0.073824631,3.155332171,-0.21561001,-0.457264354,29,-7,-9,0.974614613,0.003491761,0.003569659,0.29030323,0.013175856,-0.001624992,0.100047926,0.011579407,0.007972639,0.416160133,-0.033086818,-0.004113018,,,5/19/2024 14:18
7/1/2017,7/31/2017,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,274193,-0.013246845,0.063059537,276880,-0.021642745,0.043155901,147,-0.003669153,0.065456154,149,-0.004127572,0.05264003,574437,-0.146951516,0.009654938,498858,-0.083103904,0.076623266,672941,-0.123560878,0.008161034,1663395,0.00593968,-0.091959745,2.895695375,0.440112203,-0.324044189,36,1,-5,0.986979465,-0.000894274,0.003054984,0.275051082,-0.010531272,0.021009815,0.136525387,0.005292069,0.000681308,0.36999142,-0.024984484,0.027318902,,,5/19/2024 14:18
7/1/2018,7/31/2018,30,national,11,1400,t, National,National,U.S.,US,Single Units Only,-2,280822.9853,0.0002587,0.054194949,292149.5616,-0.005550803,0.052314274,152.2938796,-0.00057472,0.057344032,157.7931325,0.00405857,0.061089181,514604.0211,0.001115577,0.001637183,449203.8574,0.007662621,0.030734641,612997.9262,-0.012182697,0.028422755,1481249.359,-0.004546245,-0.033054933,2.861156302,-0.006428066,-0.145075843,41.62514602,2,-3,0.983197804,-7.30E-05,0.000868252,0.248519714,-0.007167306,0.002995862,0.142902699,0.003101861,0.022416145,0.388485683,-0.007630551,0.003710934,,,5/19/2024 0:00
1/1/2021,1/31/2021,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,345745.296,0.012963012,0.142682286,353670.3281,-0.019156391,0.115514827,187.1159026,0.018825607,0.15479179,191.6831834,-0.012015908,0.142092055,670245.1024,0.018254477,0.230923141,609738.6091,0.030832937,0.315177167,619305.3828,-0.111249596,-0.032870689,944764.0123,-0.0533937,-0.34071098,1.39304051,-0.074824277,-1.381235445,23.69274365,-1,-21,1.001927346,0.001493683,0.01661574,0.414289295,0.01365513,0.179710913,0.098504629,-0.010483741,-0.036229548,0.495220598,-0.027073037,0.099851299,,,5/19/2024 0:00
8/1/2023,8/31/2023,30,national,11,1400,f, National,National,U.S.,US,Single Family Residential,6,440479,-0.000411505,0.029371722,435049,-0.012281263,0.033164649,225,0.001652908,0.02201081,224,-0.002834279,0.033213389,373392,0.075329805,-0.131117398,333958,0.002052849,-0.21394548,430004,0.031280841,-0.104320229,797148,0.027213121,-0.155278554,2.134882904,-0.100002116,-0.061063017,30,2,4,0.999205413,-0.002738938,-0.000295647,0.365588816,-0.020971247,-0.018501501,0.184847984,0.021115847,-0.029591382,0.391813441,-0.015642969,0.053517289,,,5/19/2024 14:18
10/1/2016,10/31/2016,30,national,11,1400,f, National,National,U.S.,US,Condo/Co-op,3,223933,-0.009834153,0.104956761,233179,-0.057217556,0.062672722,191,-0.038327535,0.094787224,199,-0.039604266,0.054599401,56184,-0.119967458,-0.015506018,47523,-0.045170419,0.019118308,61180,-0.159592602,-0.072492001,182541,-0.047671351,-0.093829012,3.248978229,0.246646446,-0.280818637,46,1,-4,0.977113132,-0.000793347,0.002956985,0.189716836,-0.005475558,0.013381765,0.108015196,0.003265832,-0.009196943,0.327702744,-0.016209939,0.015301406,,,5/19/2024 14:18
1/1/2022,1/31/2022,30,national,11,1400,t, National,National,U.S.,US,Single Family Residential,6,415462.7595,0.003146286,0.151266021,420934.7402,0.001908012,0.149188112,213.1554104,0.013868014,0.173904633,216.7055632,0.009527323,0.173989987,485079.1846,0.046007371,-0.039038352,434309.3517,-0.022946194,-0.068269177,446470.4492,-0.097019919,-0.050976877,584453.9718,-0.009454283,-0.120965236,1.137249229,-0.024222674,-0.133694619,19.3408522,-1,-5,1.015220036,0.001116606,0.011070799,0.555019508,0.017587149,0.112817318,0.091741809,-0.015317165,-0.009002311,0.531316767,-0.033960005,0.022762927,,,5/19/2024 0:00
8/1/2013,8/31/2013,30,national,11,1400,f, National,National,U.S.,US,All Residential,-1,217117,-0.013320745,0.13885126,215892,-0.023674479,0.127516317,117,0.005979614,0.127747183,118,-0.010387246,0.11649889,533837,-0.017197429,0.107286343,382266,-0.051179884,0.209104426,615861,-0.056861916,0.140997891,1981612,6.10E-05,-0.03002232,3.712010968,0.064059571,-0.525467,54,1,-16,0.978272503,-0.001888123,0.008363035,0.23473729,-0.012224234,0.028678192,0.06531929,0.002410544,0.003215906,0.290398502,-0.020443482,0.002986838,,,5/19/2024 14:18
3/1/2012,3/31/2012,30,national,11,1400,f, National,National,U.S.,US,Multi-Family (2-4 Unit),4,154658,0.08688252,0.075207617,174570,0.008550975,-0.024153023,73,0.088223539,0.05530513,81,0.030578869,-0.035957128,8955,0.265282753,0.010380501,6962,0.297222561,0.035971429,14781,0.173532126,-0.126245532,59123,-0.014581351,-0.166146187,6.601563575,-1.874878942,-1.397549708,87,-3,-2,0.939564262,0.002334077,-0.00312631,0.20367136,0.009485318,-0.015489614,0.058027648,-0.002425761,-0.015369294,0.323296644,-0.011295296,0.055366823,,,5/19/2024 14:18
7/1/2015,7/31/2015,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,223531,-0.014301386,0.059426958,225259,0.001316416,0.042088461,140,-0.007340255,0.053188984,142,-0.002553435,0.038690471,52136,-0.033352901,0.191990279,42438,-0.053134161,0.221002089,58982,-0.041493208,0.050557424,148023,0.002486061,-0.021466235,2.839129612,0.101499125,-0.619325293,40,3,1,0.983602901,-0.00039108,0.003199356,0.229308013,-0.005438945,0.017041667,0.106870277,-0.002186147,0.011080287,0.340490145,-0.023358302,-0.007259226,,,5/19/2024 14:18
8/1/2017,8/31/2017,30,national,11,1400,t, National,National,U.S.,US,All Residential,-1,267662.4323,0.005376679,0.067130215,281508.3307,0.008203682,0.060203155,144.9135148,0.006630639,0.068477862,149.3085003,0.008941833,0.057795279,522878.9706,-0.000630209,0.031374621,442054.7769,-0.008354083,0.071061606,616416.2282,0.017049003,0.01730731,1553822.112,-0.010449599,-0.096073885,2.997689652,-0.021959969,-0.372792,45.23408805,0,-5,0.982676299,0.000648816,0.003058878,0.246213976,0.000461486,0.017404579,0.119656667,-0.00128944,0.001893733,0.386637376,0.00170135,0.024744929,,,5/19/2024 0:00
2/1/2022,2/28/2022,30,national,11,1400,f, National,National,U.S.,US,Townhouse,13,347319,0.046974826,0.138015002,362466,0.029964397,0.117907553,217,0.036861029,0.158216271,227,0.038151924,0.137690224,43019,-0.00533123,-0.078251122,44904,0.041245744,-0.074782405,53682,0.115073253,-0.011237872,60292,0.026446073,-0.121385582,1.401515894,0.043388928,-0.068805645,23,-2,-8,1.01478206,0.009472844,0.015887559,0.487073769,0.065705689,0.12951682,0.053801961,-0.010265926,-0.004672554,0.619135483,0.073247451,0.03896592,,,5/19/2024 14:18
12/1/2023,12/31/2023,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,345664.8339,-0.007531743,0.067528211,365702.3783,0.012715127,0.057619108,302.246995,-0.015357882,0.070630604,326.9103287,0.021936269,0.082323043,44627.2762,-0.008275737,-0.020059079,45194.92953,0.051356796,0.026626262,61910.30404,-0.039109278,0.11739954,144728.4995,0.030382163,0.118501541,3.343533125,0.147077851,0.481159504,37.54884651,2,0,0.98828514,-0.001945137,0.002232423,0.28172012,-0.011266576,0.032178012,0.136078375,-0.00150991,0.004981494,0.319708072,-0.012247163,-0.016110699,,,5/19/2024 0:00
5/1/2023,5/31/2023,30,national,11,1400,t, National,National,U.S.,US,Condo/Co-op,3,331577.6572,0.01360284,-0.017812638,351832.8131,-0.000185166,0.028890787,296.2239685,0.01957149,-0.038734771,312.8377192,0.008756439,0.011301792,46187.18998,-0.001087281,-0.237547418,42702.82528,0.006620611,-0.233760373,55693.94526,0.012336292,-0.219410556,117130.4957,-0.016832498,0.034192983,2.584168326,-0.070371953,0.670832408,39.16956159,1,12,0.989021402,0.001386807,-0.025683662,0.276465146,0.012150194,-0.153704886,0.122641948,-0.00345655,0.028052273,0.355694185,0.012451241,-0.065553779,,,5/19/2024 0:00
12/1/2020,12/31/2020,30,national,11,1400,f, National,National,U.S.,US,Single Units Only,-2,334604,-0.001697162,0.127398012,329320,0.002524333,0.154007736,180,0.005616011,0.130212497,184,0.001833232,0.168285472,616940,0.075744354,0.235527377,423155,-0.127272868,0.348734698,385120,-0.186938402,0.216078491,801091,-0.164550012,-0.355485708,1.298491191,-0.373475519,-1.190703285,31,3,-20,0.994221598,-0.001641198,0.014281162,0.339081608,-0.015172493,0.138374003,0.082380217,-0.038513723,-0.015599978,0.391473354,-0.029733414,0.12293196,,,5/19/2024 14:18
