date,USA,Japan,China_HK,ASEAN,Europe,Others,
7/1/2021,5806.415941,786.553258,1324.340702,1131.126168,4505.414097,1523.935808, 
8/1/2021,5283.430085,731.434591,1416.096636,1302.867684,3658.003325,1446.348459, 
9/1/2021,7160.895224,667.724455,1713.836611,1357.892206,7004.547055,1483.904142, 
10/1/2021,6306.517762,649.605084,1468.038164,1361.115842,7141.515248,1583.715543, 
11/1/2021,7792.77238,738.917774,1491.502813,1650.650183,7735.643481,1776.360177, 
12/1/2021,8269.086116,737.091503,1396.934501,1532.618027,7869.129698,1837.514631, 
1/1/2022,5584.208846,686.773913,1117.314125,1262.098604,5597.732661,1439.004041, 
2/1/2022,5339.972304,572.267328,974.311724,1091.246887,5454.201198,1343.295972, 
3/1/2022,6256.844849,676.093358,1343.236511,1286.330902,5980.164766,1754.211813, 
4/1/2022,4762.553775,443.864664,866.759191,1094.578974,4006.082476,966.169101, 
5/1/2022,5119.578619,561.777756,1071.271974,1075.485499,4828.270813,1279.548863, 
6/1/2022,6623.23365,763.147554,1254.894996,1246.873114,5463.818131,1589.797237, 
7/1/2022,5679.489087,865.724742,1175.199405,1145.531008,4547.541294,1542.5739, 
8/1/2022,5361.355444,850.216574,1029.861063,1075.323071,4487.152889,1467.10439, 
9/1/2022,7349.965704,882.333273,1207.6913,1101.232433,8480.445075,1339.42414, 
10/1/2022,6341.858377,864.987835,1023.005108,796.723762,8281.285438,1140.687371, 
11/1/2022,5449.298887,852.952211,887.424195,742.475884,5615.125591,1180.236143, 
12/1/2022,6712.097614,853.35651,890.959693,699.942411,6078.861968,1196.575332, 
1/1/2023,5841.160146,709.610364,710.336391,598.501157,8518.575944,848.311724, 
2/1/2023,4226.015113,648.768371,719.249692,780.955877,4527.159141,870.047346, 
3/1/2023,5037.617089,702.246997,1026.872042,1458.950894,3397.200509,1118.570177, 
4/1/2023,4646.798514,632.303607,902.568154,1834.867735,3118.653721,897.219349, 
5/1/2023,4707.360239,681.699348,1047.49824,2368.428924,2785.939632,1024.134611, 
6/1/2023,4620.066951,730.271108,1040.339542,2110.303329,2666.197852,1130.117181, 
7/1/2023,4855.454139,738.085009,917.910609,2219.602124,2870.305962,1132.716451, 
8/1/2023,4589.598603,668.911682,1198.742606,1831.120701,2730.682799,1170.840289, 
9/1/2023,6039.589587,584.811952,1202.877312,3320.737508,3979.409547,1320.258271, 
10/1/2023,5581.052965,583.955296,1182.006175,4980.080713,4076.759325,1092.440354, 
11/1/2023,5470.026756,586.624463,1057.692775,3571.893039,4309.773407,1200.713493, 
12/1/2023,4408.734485,502.038741,890.816442,2149.789848,3181.025971,1141.068603, 
1/1/2024,4707.65554,487.212031,924.471487,3778.589693,3052.264402,958.141613, 
2/1/2024,3831.521176,362.764436,652.517861,1780.977893,2824.107225,995.49494, 
3/1/2024,4478.558275,526.415342,967.384298,2401.469891,3648.411989,1262.923005, 
4/1/2024,4577.30641,496.697559,815.855344,2813.011039,3245.680207,1096.599999, 
5/1/2024,4624.768458,491.528712,899.064677,3696.312037,3177.949352,1169.064868, 
6/1/2024,4519.214063,578.856175,942.12352,2378.301568,3012.761317,1312.477585, 
7/1/2024,4896.057766,783.209192,946.529832,2936.179767,3199.929114,1372.246502, 
8/1/2024,5047.676748,773.070302,1166.407011,2483.054601,3239.635463,1431.690665, 
9/1/2024,5944.622201,722.070728,1251.903206,4359.354414,3807.831887,1509.591817, 
10/1/2024,5773.357635,714.685389,1153.146822,4712.370575,4048.330741,1178.287739, 
11/1/2024,5466.770437,683.546171,1070.831906,3373.929992,3898.477882,1330.711721, 
12/1/2024,5442.252164,721.373616,880.762238,3075.59698,3764.889606,1366.231078, 
1/1/2025,4244.308947,649.54609,718.283925,2926.429123,2784.83193,1122.020758, 
2/1/2025,5014.823181,607.794721,786.22726,3232.032274,3743.575137,1252.731254, 
3/1/2025,5665.245389,760.333253,1034.852579,3077.570354,3445.137125,1534.735202, 
4/1/2025,5391.600783,718.600462,943.972407,4013.889329,4072.232372,1441.701235, 
5/1/2025,7192.126066,807.95167,1009.354307,4818.851815,3636.217309,1902.474912, 
6/1/2025,7417.062059,1052.108911,990.175199,3788.687749,3471.915005,2054.145916, 
7/1/2025,6609.209157,976.259855,862.081874,3561.666566,3759.384221,1784.069332, 
8/1/2025,6068.358407,917.035539,947.022295,3747.882664,3359.330858,2021.633641, 
9/1/2025,8751.43453,962.570022,1012.009806,5837.582105,4736.203,2126.904148, 
10/1/2025,7883.122099,844.566386,832.28899,6281.316176,4889.950051,1841.5541, 
11/1/2025,11899.95464,922.29169,961.600367,5099.411189,5479.539755,2438.494658, 
12/1/2025,11841.93598,1138.921528,858.30942,5218.912841,6602.995842,3022.854761, 
,"		","		","		","		","		","		",
