Imports/Exports,Time,Commodity Code,Description of Good,Country(Area),Value(USD$ 1000)
Exports,2023/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,73541
Exports,2023/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,835
Exports,2023/2,8542, Electronic integrated circuits,China,3176285
Exports,2023/2,8542, Electronic integrated circuits,Hong Kong,2957277
Exports,2023/2,8542, Electronic integrated circuits,Macao,531
Exports,2023/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,99382
Exports,2023/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1152
Exports,2023/3,8542, Electronic integrated circuits,China,3594365
Exports,2023/3,8542, Electronic integrated circuits,Hong Kong,4274435
Exports,2023/3,8542, Electronic integrated circuits,Macao,509
Exports,2023/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,150334
Exports,2023/4,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,868
Exports,2023/4,8542, Electronic integrated circuits,China,3609761
Exports,2023/4,8542, Electronic integrated circuits,Hong Kong,4047742
Exports,2023/4,8542, Electronic integrated circuits,Macao,238
Exports,2023/5(preliminary),8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,83613
Exports,2023/5(preliminary),8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,7353
Exports,2023/5(preliminary),8542, Electronic integrated circuits,China,3654053
Exports,2023/5(preliminary),8542, Electronic integrated circuits,Hong Kong,3927261
Exports,2023/5(preliminary),8542, Electronic integrated circuits,Macao,199
