Imports/Exports,Time,Commodity Code,Description of Good,Country(Area),Value(USD$ 1000)
Exports,2017/8,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2734
Exports,2017/8,8542, Electronic integrated circuits,China,2314859
Exports,2017/8,8542, Electronic integrated circuits,Hong Kong,2162357
Exports,2017/8,8542, Electronic integrated circuits,Macao,57
Exports,2017/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,213926
Exports,2017/9,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1700
Exports,2017/9,8542, Electronic integrated circuits,China,2726004
Exports,2017/9,8542, Electronic integrated circuits,Hong Kong,2284592
Exports,2017/9,8542, Electronic integrated circuits,Macao,5
Exports,2017/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,183763
Exports,2017/10,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1853
Exports,2017/10,8542, Electronic integrated circuits,China,2710544
Exports,2017/10,8542, Electronic integrated circuits,Hong Kong,2272713
Exports,2017/10,8542, Electronic integrated circuits,Macao,5
Exports,2017/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,186413
Exports,2017/11,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,3211
Exports,2017/11,8542, Electronic integrated circuits,China,2830705
Exports,2017/11,8542, Electronic integrated circuits,Hong Kong,2425107
Exports,2017/11,8542, Electronic integrated circuits,Macao,21
Exports,2017/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,134269
Exports,2017/12,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,834
Exports,2017/12,8542, Electronic integrated circuits,China,2999429
Exports,2017/12,8542, Electronic integrated circuits,Hong Kong,2337873
Exports,2017/12,8542, Electronic integrated circuits,Macao,78
Exports,2018/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,116994
Exports,2018/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,2230
Exports,2018/1,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Macao,1
Exports,2018/1,8542, Electronic integrated circuits,China,2082281
Exports,2018/1,8542, Electronic integrated circuits,Hong Kong,2053966
Exports,2018/1,8542, Electronic integrated circuits,Macao,95
Exports,2018/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,105092
Exports,2018/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,1423
Exports,2018/2,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Macao,1
Exports,2018/2,8542, Electronic integrated circuits,China,1728397
Exports,2018/2,8542, Electronic integrated circuits,Hong Kong,1489289
Exports,2018/2,8542, Electronic integrated circuits,Macao,7
Exports,2018/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,China,144453
Exports,2018/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Hong Kong,3566
Exports,2018/3,8486, Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor boules or wafers semiconductor devices electronic integrated circuits or flat panel displays; machines and apparatus specified in Note 9(C) to this Chapter; parts and accessories.,Macao,2
Exports,2018/3,8542, Electronic integrated circuits,China,3883685
Exports,2018/3,8542, Electronic integrated circuits,Hong Kong,2146696
