Item,Manufacture of Electronic and Semi-conductors Production Equipment,Manufacture of Integrated Circuits,Manufacture of Discrete Devices,Packaging and Testing of Semi-conductors,Manufacture of Printed Circuit Assembly,Manufacture of Other Electronic Parts and Components Not Elsewhere Classified,Manufacture of Computers, 
2020-11-01,77.93,88.88,89.52,88.55,90.86,88.9,94.84, 
2020-12-01,89.39,89.86,102.6,92.25,105.96,100.2,104.78, 
2021-01-01,83.24,90.7,90.01,92.98,94.56,91.15,93.91, 
2021-02-01,71.7,82.06,78.95,85.01,76.58,78.18,67.2, 
2021-03-01,99.47,105.25,102.42,95.12,107.34,106.51,88.35, 
2021-04-01,96.45,88.89,97.06,96.06,101.47,103.12,85.81, 
2021-05-01,95.3,93.25,101.56,96.25,102.19,98.09,87.44, 
2021-06-01,103.89,105.2,102.47,99.13,107.24,100.8,103.63, 
2021-07-01,106.21,98.5,105.6,105.54,101.66,103.61,106.92, 
2021-08-01,107.59,104.48,103.46,107.38,96.9,105.58,105.63, 
2021-09-01,106.1,112.08,106.62,106.86,99.18,105.95,109.91, 
2021-10-01,106.38,104.69,106.37,107.73,97.06,103.41,108.73, 
2021-11-01,103.25,105.7,102.76,104.1,106.23,100.89,122.3, 
2021-12-01,120.46,109.21,102.75,103.85,109.56,102.71,120.19, 
2022-01-01,95.63,111.17,93.17,102.28,93.49,88.74,102.92, 
2022-02-01,81.73,95.89,86.24,97.04,69.09,75.89,79.8, 
2022-03-01,117.07,109.08,105.16,109.07,99.54,106.17,133.27, 
2022-04-01,99.29,105.36,102.44,107.59,97.57,93.11,99.96, 
2022-05-01,101.21,105.08,91.9,107.79,103.55,93.09,113.26, 
2022-06-01,112.93,106.83,96.8,110.73,108.16,94.24,128.37, 
2022-07-01,110.52,107.66,97.43,112.35,109.87,97.53,125.14, 
2022-08-01,120.09,115.6,94.45,105.78,116.78,90.79,130.09, 
2022-09-01,129.15,105.79,92.14,100.89,118.52,90.1,139.03, 
2022-10-01,114.93,104.07,82.44,98.93,95.88,81.68,130.99, 
2022-11-01,123.7,103.99,82.23,94.99,125.13,83.8,150.87, 
2022-12-01,137.55,102.58,73.59,90.02,120.92,78.73,136.86, 
2023-01-01,85.00,90.28,66.19,80.52,93.04,58.97,100.20, 
2023-02-01,85.75,80.00,71.85,77.70,101.45,66.97,108.78, 
2023-03-01,111.15,84.15,87.11,86.79,126.33,93.36,147.02, 
2023-04-01,91.43,70.50,74.22,82.53,89.66,76.45,94.69, 
2023-05-01,98.73,77.86,82.19,89.96,106.91,75.87,123.25,
2023-06-01,90.87,79.54,78.90,88.77,98.72,78.38,121.37,
2023-07-01,87.70,80.00,81.13,90.72,104.50,83.82,187.87,
2023-08-01,100.25,91.66,81.88,91.24,121.72,86.36,201.69,
2023-09-01,104.85,95.14,82.24,86.66,122.01,79.58,204.34,
2023-10-01,89.45,104.98,77.78,90.37,138.42,78.38,206.90,
2023-11-01,98.07,102.74,75.98,88.39,138.64,84.57,197.63,
