Date of data,Commodity code,Commodity,Quantity,Unit,Supplementary Quantity,Supplementary Unit,US dollar
202203,84862031,Step and repeat alignersw,31,Number of item,333050,Kilogram,251634712
202203,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,116,Number of item,430306,Kilogram,257580993
202203,84862041,Dry plasma etching for the manufacture of semiconductor or IC,124,Number of item,669551,Kilogram,318740801
202203,84862050,Ion implanters,37,Number of item,651380,Kilogram,84546540
202204,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",135,Number of item,476161,Kilogram,149164918
202204,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,135,Number of item,736165,Kilogram,332150145
202204,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,54,Number of item,259607,Kilogram,83501943
202204,84862031,Step and repeat alignersw,20,Number of item,246276,Kilogram,100334955
202204,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,58,Number of item,513398,Kilogram,349886731
202204,84862041,Dry plasma etching for the manufacture of semiconductor or IC,135,Number of item,646915,Kilogram,325308431
202204,84862050,Ion implanters,35,Number of item,669446,Kilogram,97455873
202205,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",134,Number of item,630070,Kilogram,145687247
202205,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,143,Number of item,787751,Kilogram,327348462
202205,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,68,Number of item,382982,Kilogram,115938939
202205,84862031,Step and repeat alignersw,28,Number of item,361675,Kilogram,142716690
202205,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,36,Number of item,280877,Kilogram,167158946
202205,84862041,Dry plasma etching for the manufacture of semiconductor or IC,112,Number of item,633244,Kilogram,312616513
202205,84862050,Ion implanters,43,Number of item,720514,Kilogram,98766433
202206,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",148,Number of item,746708,Kilogram,143400087
202206,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,118,Number of item,615379,Kilogram,298450795
202206,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,48,Number of item,183710,Kilogram,51438500
202206,84862031,Step and repeat alignersw,26,Number of item,210062,Kilogram,118869699
202206,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,84,Number of item,419642,Kilogram,129114517
202206,84862041,Dry plasma etching for the manufacture of semiconductor or IC,108,Number of item,537150,Kilogram,338670138
202206,84862050,Ion implanters,25,Number of item,479602,Kilogram,72209182
202207,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",158,Number of item,743550,Kilogram,138933012
202207,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,129,Number of item,1072885,Kilogram,279174740
202207,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,47,Number of item,258418,Kilogram,106255209
202207,84862031,Step and repeat alignersw,18,Number of item,188636,Kilogram,81392573
202207,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,53,Number of item,254131,Kilogram,69663784
202207,84862041,Dry plasma etching for the manufacture of semiconductor or IC,144,Number of item,730153,Kilogram,395844900
202207,84862050,Ion implanters,27,Number of item,543133,Kilogram,77673913
