Date of data,Commodity code,Commodity,Quantity,Unit,Supplementary Quantity,Supplementary Unit,US dollar
201807,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,39,Number of item,0,Kilogram,88434281
201807,84862041,Dry plasma etching for the manufacture of semiconductor or IC,86,Number of item,0,Kilogram,167764218
201807,84862050,Ion implanters,16,Number of item,0,Kilogram,37754950
201808,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",79,Number of item,0,Kilogram,69540460
201808,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,129,Number of item,0,Kilogram,237934185
201808,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,64,Number of item,0,Kilogram,84313914
201808,84862031,Step and repeat alignersw,23,Number of item,0,Kilogram,11337707
201808,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,53,Number of item,0,Kilogram,219469549
201808,84862041,Dry plasma etching for the manufacture of semiconductor or IC,84,Number of item,0,Kilogram,213846240
201808,84862050,Ion implanters,19,Number of item,0,Kilogram,41033423
201809,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",78,Number of item,0,Kilogram,65658559
201809,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,76,Number of item,0,Kilogram,168467908
201809,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,47,Number of item,0,Kilogram,88998672
201809,84862031,Step and repeat alignersw,21,Number of item,0,Kilogram,173168892
201809,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,34,Number of item,0,Kilogram,160568131
201809,84862041,Dry plasma etching for the manufacture of semiconductor or IC,93,Number of item,0,Kilogram,111370029
201809,84862050,Ion implanters,22,Number of item,0,Kilogram,42867819
201810,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",55,Number of item,0,Kilogram,25900440
201810,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,52,Number of item,0,Kilogram,96091365
201810,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,58,Number of item,0,Kilogram,80877122
201810,84862031,Step and repeat alignersw,34,Number of item,0,Kilogram,5335351
201810,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,26,Number of item,0,Kilogram,51309827
201810,84862041,Dry plasma etching for the manufacture of semiconductor or IC,63,Number of item,0,Kilogram,95804762
201810,84862050,Ion implanters,18,Number of item,0,Kilogram,44239207
201811,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",59,Number of item,0,Kilogram,26588155
201811,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,79,Number of item,0,Kilogram,97101507
201811,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,52,Number of item,0,Kilogram,22238236
201811,84862031,Step and repeat alignersw,17,Number of item,0,Kilogram,2215816
201811,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,26,Number of item,0,Kilogram,33626701
201811,84862041,Dry plasma etching for the manufacture of semiconductor or IC,73,Number of item,0,Kilogram,70977843
201811,84862050,Ion implanters,8,Number of item,0,Kilogram,22782138
201812,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",53,Number of item,0,Kilogram,30541085
201812,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,91,Number of item,0,Kilogram,156946572
201812,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,88,Number of item,0,Kilogram,64518656
201812,84862031,Step and repeat alignersw,20,Number of item,0,Kilogram,425681129
201812,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,52,Number of item,0,Kilogram,116807292
201812,84862041,Dry plasma etching for the manufacture of semiconductor or IC,88,Number of item,0,Kilogram,141100014
201812,84862050,Ion implanters,18,Number of item,0,Kilogram,22157794
201701,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",54,-,0,-,32991357
201701,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,69,-,0,-,84544277
201701,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,29,-,0,-,16725386
201701,84862031,Step and repeat alignersw,14,-,0,-,69611545
201701,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,21,-,0,-,19091488
201701,84862041,Dry plasma etching for the manufacture of semiconductor or IC,79,-,0,-,102658772
201701,84862050,Ion implanters,7,-,0,-,12253407
201702,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",36,-,0,-,23483360
201702,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,63,-,0,-,81973765
201702,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,26,-,0,-,11163070
201702,84862031,Step and repeat alignersw,10,-,0,-,184537032
201702,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,20,-,0,-,86025972
201702,84862041,Dry plasma etching for the manufacture of semiconductor or IC,39,-,0,-,59653446
201702,84862050,Ion implanters,7,-,0,-,10219569
201703,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",29,-,0,-,21889643
201703,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,57,-,0,-,72534128
201703,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,38,-,0,-,33813127
201703,84862031,Step and repeat alignersw,14,-,0,-,18467991
201703,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,40,-,0,-,95178035
201703,84862041,Dry plasma etching for the manufacture of semiconductor or IC,52,-,0,-,71379300
201703,84862050,Ion implanters,6,-,0,-,9195152
201704,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",60,-,0,-,36369117
201704,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,78,-,0,-,114306289
201704,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,34,-,0,-,40724495
201704,84862031,Step and repeat alignersw,26,-,0,-,28882470
201704,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,44,-,0,-,68411531
201704,84862041,Dry plasma etching for the manufacture of semiconductor or IC,72,-,0,-,95654064
201704,84862050,Ion implanters,25,-,0,-,65749442
201705,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",94,-,0,-,70751956
201705,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,77,-,0,-,119693370
201705,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,37,-,0,-,33805611
201705,84862031,Step and repeat alignersw,22,-,0,-,7067566
201705,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,24,-,0,-,55008619
201705,84862041,Dry plasma etching for the manufacture of semiconductor or IC,87,-,0,-,157810069
201705,84862050,Ion implanters,6,-,0,-,14997640
201706,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",77,-,0,-,64456596
201706,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,58,-,0,-,95695541
201706,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,55,-,0,-,74787710
201706,84862031,Step and repeat alignersw,12,-,0,-,13443563
201706,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,29,-,0,-,118226199
201706,84862041,Dry plasma etching for the manufacture of semiconductor or IC,49,-,0,-,41012632
201706,84862050,Ion implanters,5,-,0,-,12637582
201707,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",78,-,0,-,59826908
201707,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,84,-,0,-,123796868
201707,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,77,-,0,-,34643914
201707,84862031,Step and repeat alignersw,26,-,0,-,20946881
201707,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,34,-,0,-,13596016
201707,84862041,Dry plasma etching for the manufacture of semiconductor or IC,59,-,0,-,86395817
201707,84862050,Ion implanters,15,-,0,-,20196454
201708,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",90,-,0,-,83195469
201708,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,66,-,0,-,123733827
201708,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,30,-,0,-,25926480
201708,84862031,Step and repeat alignersw,16,-,0,-,5737747
201708,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,28,-,0,-,18400528
201708,84862041,Dry plasma etching for the manufacture of semiconductor or IC,54,-,0,-,59587189
201708,84862050,Ion implanters,10,-,0,-,10784889
201709,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",98,-,0,-,46605087
201709,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,65,-,0,-,118624109
201709,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,39,-,0,-,24253094
201709,84862031,Step and repeat alignersw,17,-,0,-,20122099
201709,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,27,-,0,-,206832391
201709,84862041,Dry plasma etching for the manufacture of semiconductor or IC,54,-,0,-,62944632
201709,84862050,Ion implanters,9,-,0,-,22472356
201710,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",90,-,0,-,42563665
201710,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,61,-,0,-,88143230
201710,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,36,-,0,-,59278379
201710,84862031,Step and repeat alignersw,14,-,0,-,37269410
201710,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,28,-,0,-,40571724
201710,84862041,Dry plasma etching for the manufacture of semiconductor or IC,76,-,0,-,80410131
201710,84862050,Ion implanters,16,-,0,-,24686974
201711,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",70,-,0,-,35068228
201711,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,83,-,0,-,102697686
201711,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,60,-,0,-,78449615
201711,84862031,Step and repeat alignersw,63,-,0,-,101041536
201711,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,32,-,0,-,10444983
201711,84862041,Dry plasma etching for the manufacture of semiconductor or IC,69,-,0,-,75943793
201711,84862050,Ion implanters,12,-,0,-,15288578
201712,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",97,-,0,-,63626254
201712,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,85,-,0,-,133980192
201712,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,34,-,0,-,49785445
201712,84862031,Step and repeat alignersw,12,-,0,-,6773980
201712,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,35,-,0,-,59313782
201712,84862041,Dry plasma etching for the manufacture of semiconductor or IC,77,-,0,-,95312083
201712,84862050,Ion implanters,3,-,0,-,2308627
201601,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",57,Number of item,0,?,19864308
201601,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,34,Number of item,0,?,66441410
201601,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,17,Number of item,0,?,10295845
201601,84862031,Step and repeat alignersw,18,Number of item,0,?,83724574
201601,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,20,Number of item,0,?,15407818
201601,84862041,Dry plasma etching for the manufacture of semiconductor or IC,43,Number of item,0,?,32318775
201601,84862050,Ion implanters,6,Number of item,0,?,25263642
201602,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",52,Number of item,0,?,24027888
201602,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,35,Number of item,0,?,62996898
201602,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,11,Number of item,0,?,7238935
201602,84862031,Step and repeat alignersw,6,Number of item,0,?,3067862
201602,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,15,Number of item,0,?,7138259
201602,84862041,Dry plasma etching for the manufacture of semiconductor or IC,50,Number of item,0,?,55781115
201602,84862050,Ion implanters,6,Number of item,0,?,21617235
201603,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",81,Number of item,0,?,40083543
201603,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,73,Number of item,0,?,125340304
201603,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,27,Number of item,0,?,12576738
201603,84862031,Step and repeat alignersw,12,Number of item,0,?,131178457
201603,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,37,Number of item,0,?,234281592
201603,84862041,Dry plasma etching for the manufacture of semiconductor or IC,89,Number of item,0,?,97107957
201603,84862050,Ion implanters,26,Number of item,0,?,59717074
201604,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",65,Number of item,0,?,76442941
201604,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,97,Number of item,0,?,211523167
201604,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,21,Number of item,0,?,42412276
201604,84862031,Step and repeat alignersw,7,Number of item,0,?,13588399
201604,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,38,Number of item,0,?,101237435
201604,84862041,Dry plasma etching for the manufacture of semiconductor or IC,79,Number of item,0,?,220270525
201604,84862050,Ion implanters,14,Number of item,0,?,49858369
201605,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",69,Number of item,0,?,36421100
201605,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,72,Number of item,0,?,87700759
201605,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,22,Number of item,0,?,17077288
201605,84862031,Step and repeat alignersw,47,Number of item,0,?,8006730
201605,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,36,Number of item,0,?,165364182
201605,84862041,Dry plasma etching for the manufacture of semiconductor or IC,62,Number of item,0,?,89523229
201605,84862050,Ion implanters,16,Number of item,0,?,29259324
201606,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",125,Number of item,0,?,51451150
201606,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,74,Number of item,0,?,103559601
201606,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,44,Number of item,0,?,44912404
201606,84862031,Step and repeat alignersw,34,Number of item,0,?,15721040
201606,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,30,Number of item,0,?,65045081
201606,84862041,Dry plasma etching for the manufacture of semiconductor or IC,87,Number of item,0,?,41385391
201606,84862050,Ion implanters,16,Number of item,0,?,7229108
201607,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",66,Number of item,0,?,29856994
201607,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,79,Number of item,0,?,84990297
201607,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,17,Number of item,0,?,20044013
201607,84862031,Step and repeat alignersw,23,Number of item,0,?,93349048
201607,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,38,Number of item,0,?,43025434
201607,84862041,Dry plasma etching for the manufacture of semiconductor or IC,77,Number of item,0,?,41971198
201607,84862050,Ion implanters,11,Number of item,0,?,20720788
201608,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",79,Number of item,0,?,38454148
201608,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,46,Number of item,0,?,76660862
201608,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,31,Number of item,0,?,23125204
201608,84862031,Step and repeat alignersw,21,Number of item,0,?,16812958
201608,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,37,Number of item,0,?,33139208
201608,84862041,Dry plasma etching for the manufacture of semiconductor or IC,83,Number of item,0,?,105339022
201608,84862050,Ion implanters,19,Number of item,0,?,45889168
201609,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",71,Number of item,0,?,27176638
201609,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,59,Number of item,0,?,58760788
201609,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,19,Number of item,0,?,14689544
201609,84862031,Step and repeat alignersw,24,Number of item,0,?,4110685
201609,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,32,Number of item,0,?,24694188
201609,84862041,Dry plasma etching for the manufacture of semiconductor or IC,36,Number of item,0,?,17863975
201609,84862050,Ion implanters,3,Number of item,0,?,13788101
201610,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",42,Number of item,0,?,32231288
201610,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,23,Number of item,0,?,38788928
201610,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,23,Number of item,0,?,12145093
201610,84862031,Step and repeat alignersw,8,Number of item,0,?,18537317
201610,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,10,Number of item,0,?,6954456
201610,84862041,Dry plasma etching for the manufacture of semiconductor or IC,26,Number of item,0,?,19277744
201610,84862050,Ion implanters,6,Number of item,0,?,16239677
201611,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",54,Number of item,0,?,23817107
201611,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,44,Number of item,0,?,51158824
201611,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,39,Number of item,0,?,24911537
201611,84862031,Step and repeat alignersw,22,Number of item,0,?,13833967
201611,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,22,Number of item,0,?,25001587
201611,84862041,Dry plasma etching for the manufacture of semiconductor or IC,49,Number of item,0,?,41681626
201611,84862050,Ion implanters,13,Number of item,0,?,30481435
201612,84862010,"Oxidation,diffusion,annealing and other heat treatment equipment for the manufacture of semiconductor or IC",66,Number of item,0,?,24775745
201612,84862021,Chemical Vapour Deposition(CVD) equipment for the manufacture of semiconductor or IC,56,Number of item,0,?,103346147
201612,84862022,Physical Vapour Deposition(PVD) equipment for the manufacture of semiconductor or IC,49,Number of item,0,?,24972464
201612,84862031,Step and repeat alignersw,43,Number of item,0,?,18575806
201612,84862039,Other apparatus used for projected circuit onto semiconductor materials for the manufacture of semiconductor or IC,45,Number of item,0,?,55052214
201612,84862041,Dry plasma etching for the manufacture of semiconductor or IC,55,Number of item,0,?,31563610
201612,84862050,Ion implanters,16,Number of item,0,?,24313455
