DATE,CPI_Used_Vehicles,CPI_New_Vehicles
12/1/2014,105.70608,99.50493
1/1/2015,105.01384,99.52802
2/1/2015,106.74553,100.06248
3/1/2015,107.05722,100.21799
4/1/2015,107.57187,100.40135
5/1/2015,108.21409,100.43191
6/1/2015,108.35182,100.40203
7/1/2015,108.06042,99.93277
8/1/2015,107.49286,99.62717
9/1/2015,106.95574,99.53617
10/1/2015,106.11708,99.4995
11/1/2015,104.99572,99.69508
12/1/2015,104.34698,99.70391
1/1/2016,104.84205,100.13786
2/1/2016,104.36437,100.68929
3/1/2016,104.13242,100.66145
4/1/2016,105.44876,100.43598
5/1/2016,106.13085,100.26689
6/1/2016,105.02254,99.99457
7/1/2016,103.85045,99.909
8/1/2016,103.51194,99.63328
9/1/2016,104.99645,99.48796
10/1/2016,103.08717,99.75756
11/1/2016,101.46204,99.84652
12/1/2016,101.08656,100.03124
1/1/2017,100.97711,101.08317
2/1/2017,99.98333,101.18164
3/1/2017,99.27007,100.87604
4/1/2017,100.57409,100.81764
5/1/2017,101.53525,100.5297
6/1/2017,100.57626,100.00611
7/1/2017,99.68831,99.27811
8/1/2017,99.55494,98.9535
9/1/2017,101.03075,98.49511
10/1/2017,100.01087,98.38034
11/1/2017,99.27297,98.77014
12/1/2017,100.1167,99.50358
1/1/2018,100.37185,99.82547
2/1/2018,99.90359,99.69712
3/1/2018,99.65352,99.64279
4/1/2018,99.66294,99.19594
5/1/2018,99.82893,99.38609
6/1/2018,99.91084,99.53074
7/1/2018,100.52335,99.50629
8/1/2018,100.80169,99.25027
9/1/2018,99.54914,98.95554
10/1/2018,100.43999,98.86929
11/1/2018,101.56062,99.03092
12/1/2018,101.55192,99.23465
1/1/2019,102.02163,99.86825
2/1/2019,101.01553,99.98166
3/1/2019,100.09568,100.36332
4/1/2019,100.44216,100.39863
5/1/2019,100.10365,100.27572
6/1/2019,101.15542,100.11137
7/1/2019,102.00133,99.85196
8/1/2019,102.89218,99.45875
9/1/2019,102.13761,99.04993
10/1/2019,101.87376,98.96301
11/1/2019,101.10976,98.96437
12/1/2019,100.84663,99.29849
1/1/2020,100,100
2/1/2020,99.7318,100.37351
3/1/2020,100.20586,99.9124
4/1/2020,99.69121,99.83294
5/1/2020,99.7347,99.97895
6/1/2020,98.43213,99.90153
7/1/2020,101.14745,100.37351
8/1/2020,106.95719,100.10798
9/1/2020,112.59731,100.07334
10/1/2020,113.55485,100.47741
11/1/2020,111.98698,100.55007
12/1/2020,110.98088,101.24819
1/1/2021,109.99217,101.44242
2/1/2021,108.99694,101.53613
3/1/2021,109.5964,101.40439
4/1/2021,120.59757,101.79215
5/1/2021,129.39083,103.32082
6/1/2021,142.96163,105.15711
7/1/2021,143.27549,106.75708
