Date,RIG_COUNT
1992-02-14,370
1992-02-21,373
1992-02-28,387
1992-03-06,382
1992-03-13,384
1992-03-20,380
1992-03-27,377
1992-04-03,382
1992-04-10,373
1992-04-17,369
1992-04-24,355
1992-05-01,354
1992-05-08,361
1992-05-15,371
1992-05-22,361
1992-05-29,344
1992-06-05,331
1992-06-12,335
1992-06-19,352
1992-06-26,353
1992-07-03,340
1992-07-10,343
1992-07-17,352
1992-07-24,351
1992-07-31,357
1992-08-07,356
1992-08-14,330
1992-08-21,334
1992-08-28,315
1992-09-04,342
1992-09-11,325
1992-09-18,348
1992-09-25,366
1992-10-02,364
1992-10-09,377
1992-10-16,393
1992-10-23,415
1992-10-30,410
1992-11-06,412
1992-11-13,430
1992-11-20,407
1992-11-27,421
1992-12-04,432
1992-12-11,425
1992-12-18,381
1992-12-23,378
1992-12-30,368
1993-01-08,356
1993-01-15,336
1993-01-22,325
1993-01-29,321
1993-02-05,304
1993-02-12,307
1993-02-19,306
1993-02-26,327
1993-03-05,311
1993-03-12,312
1993-03-19,318
1993-03-26,320
1993-03-31,326
1993-04-08,314
1993-04-16,319
1993-04-23,320
1993-04-30,319
1993-05-07,319
1993-05-14,316
1993-05-21,321
1993-05-28,334
1993-06-04,340
1993-06-11,365
1993-06-18,344
1993-06-25,351
1993-07-02,364
1993-07-09,353
1993-07-16,362
1993-07-23,376
1993-07-30,385
1993-08-06,389
1993-08-13,404
1993-08-20,400
1993-08-27,396
1993-09-03,405
1993-09-10,405
1993-09-17,423
1993-09-24,440
1993-10-01,427
1993-10-08,435
1993-10-15,443
1993-10-22,450
1993-10-29,452
1993-11-05,444
1993-11-12,453
1993-11-19,449
1993-11-26,465
1993-12-03,443
1993-12-10,443
1993-12-17,445
1993-12-22,408
1993-12-29,385
1994-01-07,357
1994-01-14,365
1994-01-21,356
1994-01-28,345
1994-02-04,335
1994-02-11,346
1994-02-18,337
1994-02-25,330
1994-03-04,322
1994-03-11,320
1994-03-18,330
1994-03-25,323
1994-03-31,320
1994-04-08,309
1994-04-15,303
1994-04-22,318
1994-04-29,326
1994-05-06,323
1994-05-13,319
1994-05-20,314
1994-05-27,314
1994-06-03,316
1994-06-10,328
1994-06-17,342
1994-06-24,341
1994-07-01,333
1994-07-08,340
1994-07-15,337
1994-07-22,344
1994-07-29,349
1994-08-05,336
1994-08-12,311
1994-08-19,320
1994-08-26,312
1994-09-02,308
1994-09-09,306
1994-09-16,326
1994-09-23,339
1994-09-30,348
1994-10-07,343
1994-10-14,348
1994-10-21,336
1994-10-28,341
1994-11-04,355
1994-11-11,365
1994-11-18,357
1994-11-25,367
1994-12-02,359
1994-12-09,361
1994-12-16,350
1994-12-23,351
1994-12-30,348
1995-01-05,328
1995-01-13,339
1995-01-20,319
1995-01-27,315
1995-02-03,319
1995-02-10,321
1995-02-17,336
1995-02-24,326
1995-03-03,333
1995-03-10,334
1995-03-17,326
1995-03-24,313
1995-03-31,302
1995-04-07,310
1995-04-13,325
1995-04-21,334
1995-04-28,343
1995-05-05,323
1995-05-12,329
1995-05-19,323
1995-05-26,325
1995-06-02,317
1995-06-09,303
1995-06-16,307
1995-06-23,301
1995-06-30,278
1995-07-07,299
1995-07-14,298
1995-07-21,305
1995-07-28,301
1995-08-04,318
1995-08-11,327
1995-08-18,330
1995-08-25,333
1995-09-01,330
1995-09-08,332
1995-09-15,335
1995-09-22,337
1995-09-29,333
1995-10-06,333
1995-10-13,335
1995-10-20,328
1995-10-27,331
1995-11-03,332
1995-11-10,332
1995-11-17,328
1995-11-22,327
1995-12-01,322
1995-12-08,333
1995-12-15,329
1995-12-22,328
1995-12-29,314
1996-01-05,297
1996-01-12,290
1996-01-19,300
1996-01-26,291
1996-02-02,295
1996-02-09,281
1996-02-16,285
1996-02-23,269
1996-03-01,265
1996-03-08,290
1996-03-15,284
1996-03-22,297
1996-03-29,296
1996-04-05,291
1996-04-12,283
1996-04-19,285
1996-04-26,284
1996-05-03,285
1996-05-10,290
1996-05-17,285
1996-05-24,291
1996-05-31,288
1996-06-07,301
1996-06-14,304
1996-06-21,295
1996-06-28,293
1996-07-05,292
1996-07-12,291
1996-07-19,296
1996-07-26,280
1996-08-02,297
1996-08-09,305
1996-08-16,298
1996-08-23,297
1996-08-30,288
1996-09-06,293
1996-09-13,300
1996-09-20,309
1996-09-27,302
1996-10-04,311
1996-10-11,312
1996-10-18,319
1996-10-25,336
1996-11-01,346
1996-11-08,349
1996-11-15,366
1996-11-22,374
1996-11-27,382
1996-12-06,366
1996-12-13,364
1996-12-20,360
1996-12-27,353
1997-01-03,363
1997-01-10,346
1997-01-17,335
1997-01-24,333
1997-01-31,333
1997-02-07,350
1997-02-14,362
1997-02-21,354
1997-02-28,357
1997-03-07,363
1997-03-14,366
1997-03-21,379
1997-03-28,400
1997-04-04,384
1997-04-11,371
1997-04-18,372
1997-04-25,365
1997-05-02,369
1997-05-09,374
1997-05-16,368
1997-05-23,387
1997-05-30,395
1997-06-06,404
1997-06-13,393
1997-06-20,393
1997-06-27,392
1997-07-04,380
1997-07-11,368
1997-07-18,381
1997-07-25,398
1997-08-01,410
1997-08-08,429
1997-08-15,417
1997-08-22,406
1997-08-29,383
1997-09-05,404
1997-09-12,386
1997-09-19,387
1997-09-26,392
1997-10-03,384
1997-10-10,392
1997-10-17,404
1997-10-24,397
1997-10-31,373
1997-11-07,343
1997-11-14,359
1997-11-21,342
1997-11-28,371
1997-12-05,365
1997-12-12,361
1997-12-19,361
1997-12-26,357
1998-01-02,366
1998-01-09,361
1998-01-16,387
1998-01-23,396
1998-01-30,389
1998-02-06,385
1998-02-13,385
1998-02-20,372
1998-02-27,376
1998-03-06,360
1998-03-13,321
1998-03-20,321
1998-03-27,304
1998-04-03,295
1998-04-10,298
1998-04-17,294
1998-04-24,278
1998-05-01,272
1998-05-08,271
1998-05-15,281
1998-05-22,269
1998-05-29,269
1998-06-05,270
1998-06-12,267
1998-06-19,271
1998-06-26,261
1998-07-03,258
1998-07-10,266
1998-07-17,260
1998-07-24,269
1998-07-31,269
1998-08-07,235
1998-08-14,229
1998-08-21,218
1998-08-28,221
1998-09-04,218
1998-09-11,214
1998-09-18,215
1998-09-25,213
1998-10-02,229
1998-10-09,226
1998-10-16,211
1998-10-23,212
1998-10-30,193
1998-11-06,197
1998-11-13,193
1998-11-20,189
1998-11-25,179
1998-12-04,167
1998-12-11,169
1998-12-18,152
1998-12-23,149
1998-12-30,137
1999-01-08,133
1999-01-15,126
1999-01-22,122
1999-01-29,119
1999-02-05,125
1999-02-12,122
1999-02-19,111
1999-02-26,108
1999-03-05,115
1999-03-12,116
1999-03-19,114
1999-03-26,111
1999-04-02,121
1999-04-09,122
1999-04-16,130
1999-04-23,126
1999-04-30,126
1999-05-07,134
1999-05-14,142
1999-05-21,138
1999-05-28,130
1999-06-04,134
1999-06-11,136
1999-06-18,117
1999-06-25,110
1999-07-02,112
1999-07-09,120
1999-07-16,105
1999-07-23,102
1999-07-30,102
1999-08-06,98
1999-08-13,115
1999-08-20,112
1999-08-27,117
1999-09-03,121
1999-09-10,128
1999-09-17,132
1999-09-24,140
1999-10-01,131
1999-10-08,141
1999-10-15,140
1999-10-22,139
1999-10-29,136
1999-11-05,137
1999-11-12,150
1999-11-19,147
1999-11-26,146
1999-12-03,146
1999-12-10,158
1999-12-17,175
1999-12-22,162
1999-12-30,165
2000-01-07,158
2000-01-14,142
2000-01-21,140
2000-01-28,131
2000-02-04,133
2000-02-11,146
2000-02-18,153
2000-02-25,156
2000-03-03,181
2000-03-10,174
2000-03-17,168
2000-03-24,167
2000-03-31,173
2000-04-01,173
2000-04-08,186
2000-04-20,206
2000-04-28,199
2000-05-05,201
2000-05-12,196
2000-05-19,198
2000-05-26,201
2000-06-02,196
2000-06-09,197
2000-06-16,205
2000-06-23,203
2000-06-30,202
2000-07-07,198
