TPEB_date,TPEB,FEWB_date,FEWB
2020-12-28,69.53355512,2020-07-07,61.96299517
2020-12-31,70.53565819,2020-07-13,59.61213708
2021-01-05,71.59553658,2020-07-15,60.55845708
2021-01-13,72.2171194,2020-07-28,60.22375864
2021-01-16,73.38358331,2020-08-05,60.91706255
2021-01-19,74.37970962,2020-08-10,62.01944233
2021-01-23,75.30112645,2020-08-17,61.81357623
2021-01-27,76.2103181,2020-08-21,63.09857916
2021-01-31,77.00251019,2020-08-24,64.21424063
2021-02-04,77.97074496,2020-08-28,65.1406381
2021-02-08,78.9110882,2020-09-01,65.96144618
2021-02-12,79.713966,2020-09-08,64.57483836
2021-02-17,80.59055716,2020-09-14,65.57096466
2021-02-24,81.33221847,2020-09-22,64.79531431
2021-03-03,81.76456316,2020-09-25,66.03715178
2021-03-05,83.09747503,2020-10-04,67.15679775
2021-03-07,84.0714652,2020-10-11,67.33211598
2021-03-09,85.15281565,2020-10-12,66.04910529
2021-03-15,85.87455444,2020-10-21,68.88607302
2021-03-18,86.79642406,2020-10-22,67.92979177
2021-03-20,87.71950111,2020-10-30,68.83294629
2021-03-22,88.76875416,2020-11-07,69.48374881
2021-03-26,89.71175373,2020-11-11,70.73222712
2021-03-30,90.67135541,2020-11-16,72.80084942
2021-04-09,90.80809638,2020-11-15,71.71507174
2021-04-18,91.12625309,2020-11-21,73.41512731
2021-04-21,90.07367962,2020-12-05,73.52138078
2021-04-22,89.06474597,2020-12-10,72.79088815
2021-04-23,88.11131079,2020-12-12,70.87832564
2021-04-24,87.03549438,2020-12-15,69.78922754
2021-04-26,85.86006533,2020-12-19,72.53189531
2021-04-29,85.16499053,2020-12-29,74.02608478
2021-05-08,85.3188367,2021-01-04,74.30500014
2021-05-14,85.10870149,2021-01-07,75.39675458
2021-05-17,84.16000976,2021-01-08,76.5562456
2021-05-20,83.14064051,2021-01-12,77.25353402
2021-05-25,82.19900817,2021-01-19,76.08474582
2021-05-24,81.55679968,2021-01-23,77.66792256
2021-06-02,82.96845296,2021-01-27,79.03992053
2021-06-12,83.15857078,2021-02-03,80.24191295
2021-06-20,84.06397297,2021-02-10,81.39741947
2021-06-29,83.8859241,2021-02-12,82.73886956
2021-07-08,84.17208402,2021-02-14,83.44943966
2021-07-15,84.21446467,2021-02-14,84.14672808
2021-07-19,85.20262197,2021-02-27,84.40572092
2021-07-21,86.17882575,2021-02-25,85.28231207
